anchor,variant,symbol,open_side,setups,resolved,wins,hit_rate,mode
0900,close_A_B,MES,above,29,29,9,0.3103448275862069,strict
0900,close_A_B,MES,below,21,21,7,0.3333333333333333,strict
0900,close_A_B,MGC,above,40,40,11,0.275,strict
0900,close_A_B,MGC,below,27,27,8,0.2962962962962963,strict
0900,close_A_B,MNQ,above,6,6,3,0.5,strict
0900,close_A_B,MNQ,below,4,4,2,0.5,strict
0900,first_touch_1h,MES,above,139,139,7,0.050359712230215826,strict
0900,first_touch_1h,MES,below,93,93,6,0.06451612903225806,strict
0900,first_touch_1h,MGC,above,144,144,5,0.034722222222222224,strict
0900,first_touch_1h,MGC,below,116,116,4,0.034482758620689655,strict
0900,first_touch_1h,MNQ,above,46,46,6,0.13043478260869565,strict
0900,first_touch_1h,MNQ,below,43,43,8,0.18604651162790697,strict
0900,touch_A_B,MES,above,81,81,19,0.2345679012345679,strict
0900,touch_A_B,MES,below,57,57,15,0.2631578947368421,strict
0900,touch_A_B,MGC,above,88,88,18,0.20454545454545456,strict
0900,touch_A_B,MGC,below,73,73,17,0.2328767123287671,strict
0900,touch_A_B,MNQ,above,27,27,11,0.4074074074074074,strict
0900,touch_A_B,MNQ,below,26,26,13,0.5,strict
1000,close_A_B,MES,above,42,42,8,0.19047619047619047,strict
1000,close_A_B,MES,below,33,33,9,0.2727272727272727,strict
1000,close_A_B,MGC,above,45,45,11,0.24444444444444444,strict
1000,close_A_B,MGC,below,32,32,10,0.3125,strict
1000,close_A_B,MNQ,above,3,3,1,0.3333333333333333,strict
1000,close_A_B,MNQ,below,1,1,1,1.0,strict
1000,first_touch_1h,MES,above,177,177,9,0.05084745762711865,strict
1000,first_touch_1h,MES,below,133,133,11,0.08270676691729323,strict
1000,first_touch_1h,MGC,above,178,178,7,0.03932584269662921,strict
1000,first_touch_1h,MGC,below,133,133,4,0.03007518796992481,strict
1000,first_touch_1h,MNQ,above,51,51,10,0.19607843137254902,strict
1000,first_touch_1h,MNQ,below,41,41,4,0.0975609756097561,strict
1000,touch_A_B,MES,above,108,108,24,0.2222222222222222,strict
1000,touch_A_B,MES,below,83,83,23,0.27710843373493976,strict
1000,touch_A_B,MGC,above,99,99,25,0.25252525252525254,strict
1000,touch_A_B,MGC,below,79,79,16,0.20253164556962025,strict
1000,touch_A_B,MNQ,above,24,24,6,0.25,strict
1000,touch_A_B,MNQ,below,22,22,11,0.5,strict
1100,close_A_B,MES,above,35,35,10,0.2857142857142857,strict
1100,close_A_B,MES,below,36,36,13,0.3611111111111111,strict
1100,close_A_B,MGC,above,61,61,17,0.2786885245901639,strict
1100,close_A_B,MGC,below,58,58,23,0.39655172413793105,strict
1100,close_A_B,MNQ,above,1,1,0,0.0,strict
1100,close_A_B,MNQ,below,5,5,2,0.4,strict
1100,first_touch_1h,MES,above,149,149,6,0.040268456375838924,strict
1100,first_touch_1h,MES,below,143,143,5,0.03496503496503497,strict
1100,first_touch_1h,MGC,above,209,209,12,0.05741626794258373,strict
1100,first_touch_1h,MGC,below,207,207,12,0.057971014492753624,strict
1100,first_touch_1h,MNQ,above,35,35,4,0.11428571428571428,strict
1100,first_touch_1h,MNQ,below,39,39,7,0.1794871794871795,strict
1100,touch_A_B,MES,above,101,101,23,0.22772277227722773,strict
1100,touch_A_B,MES,below,85,85,27,0.3176470588235294,strict
1100,touch_A_B,MGC,above,119,119,26,0.2184873949579832,strict
1100,touch_A_B,MGC,below,130,130,33,0.25384615384615383,strict
1100,touch_A_B,MNQ,above,14,14,4,0.2857142857142857,strict
1100,touch_A_B,MNQ,below,19,19,7,0.3684210526315789,strict
0900,close_A_B,MES,above,29,29,23,0.7931034482758621,loose
0900,close_A_B,MES,below,21,21,16,0.7619047619047619,loose
0900,close_A_B,MGC,above,40,40,24,0.6,loose
0900,close_A_B,MGC,below,27,27,20,0.7407407407407407,loose
0900,close_A_B,MNQ,above,6,6,6,1.0,loose
0900,close_A_B,MNQ,below,4,4,4,1.0,loose
0900,first_touch_1h,MES,above,139,139,105,0.7553956834532374,loose
0900,first_touch_1h,MES,below,93,93,67,0.7204301075268817,loose
0900,first_touch_1h,MGC,above,144,144,85,0.5902777777777778,loose
0900,first_touch_1h,MGC,below,116,116,78,0.6724137931034483,loose
0900,first_touch_1h,MNQ,above,46,46,41,0.8913043478260869,loose
0900,first_touch_1h,MNQ,below,43,43,41,0.9534883720930233,loose
0900,touch_A_B,MES,above,81,81,65,0.8024691358024691,loose
0900,touch_A_B,MES,below,57,57,41,0.7192982456140351,loose
0900,touch_A_B,MGC,above,88,88,55,0.625,loose
0900,touch_A_B,MGC,below,73,73,53,0.726027397260274,loose
0900,touch_A_B,MNQ,above,27,27,27,1.0,loose
0900,touch_A_B,MNQ,below,26,26,25,0.9615384615384616,loose
1000,close_A_B,MES,above,42,42,27,0.6428571428571429,loose
1000,close_A_B,MES,below,33,33,26,0.7878787878787878,loose
1000,close_A_B,MGC,above,45,45,32,0.7111111111111111,loose
1000,close_A_B,MGC,below,32,32,25,0.78125,loose
1000,close_A_B,MNQ,above,3,3,3,1.0,loose
1000,close_A_B,MNQ,below,1,1,1,1.0,loose
1000,first_touch_1h,MES,above,177,177,130,0.7344632768361582,loose
1000,first_touch_1h,MES,below,133,133,107,0.8045112781954887,loose
1000,first_touch_1h,MGC,above,178,178,117,0.6573033707865169,loose
1000,first_touch_1h,MGC,below,133,133,87,0.6541353383458647,loose
1000,first_touch_1h,MNQ,above,51,51,49,0.9607843137254902,loose
1000,first_touch_1h,MNQ,below,41,41,38,0.926829268292683,loose
1000,touch_A_B,MES,above,108,108,76,0.7037037037037037,loose
1000,touch_A_B,MES,below,83,83,64,0.7710843373493976,loose
1000,touch_A_B,MGC,above,99,99,68,0.6868686868686869,loose
1000,touch_A_B,MGC,below,79,79,56,0.7088607594936709,loose
1000,touch_A_B,MNQ,above,24,24,21,0.875,loose
1000,touch_A_B,MNQ,below,22,22,21,0.9545454545454546,loose
1100,close_A_B,MES,above,35,35,28,0.8,loose
1100,close_A_B,MES,below,36,36,29,0.8055555555555556,loose
1100,close_A_B,MGC,above,61,61,40,0.6557377049180327,loose
1100,close_A_B,MGC,below,58,58,42,0.7241379310344828,loose
1100,close_A_B,MNQ,above,1,1,1,1.0,loose
1100,close_A_B,MNQ,below,5,5,5,1.0,loose
1100,first_touch_1h,MES,above,149,149,110,0.738255033557047,loose
1100,first_touch_1h,MES,below,143,143,114,0.7972027972027972,loose
1100,first_touch_1h,MGC,above,209,209,127,0.6076555023923444,loose
1100,first_touch_1h,MGC,below,207,207,123,0.5942028985507246,loose
1100,first_touch_1h,MNQ,above,35,35,30,0.8571428571428571,loose
1100,first_touch_1h,MNQ,below,39,39,37,0.9487179487179487,loose
1100,touch_A_B,MES,above,101,101,69,0.6831683168316832,loose
1100,touch_A_B,MES,below,85,85,70,0.8235294117647058,loose
1100,touch_A_B,MGC,above,119,119,76,0.6386554621848739,loose
1100,touch_A_B,MGC,below,130,130,83,0.6384615384615384,loose
1100,touch_A_B,MNQ,above,14,14,11,0.7857142857142857,loose
1100,touch_A_B,MNQ,below,19,19,18,0.9473684210526315,loose
