symbol,variant,open_side,setups,resolved,wins,hit_rate
MES,close_A_B,above,29,29,9,0.3103448275862069
MES,close_A_B,below,21,21,7,0.3333333333333333
MES,first_touch_1h,above,139,139,7,0.050359712230215826
MES,first_touch_1h,below,93,93,6,0.06451612903225806
MES,touch_A_B,above,81,81,19,0.2345679012345679
MES,touch_A_B,below,57,57,15,0.2631578947368421
MGC,close_A_B,above,40,40,11,0.275
MGC,close_A_B,below,27,27,8,0.2962962962962963
MGC,first_touch_1h,above,144,144,5,0.034722222222222224
MGC,first_touch_1h,below,116,116,4,0.034482758620689655
MGC,touch_A_B,above,88,88,18,0.20454545454545456
MGC,touch_A_B,below,73,73,17,0.2328767123287671
MNQ,close_A_B,above,6,6,3,0.5
MNQ,close_A_B,below,4,4,2,0.5
MNQ,first_touch_1h,above,46,46,6,0.13043478260869565
MNQ,first_touch_1h,below,43,43,8,0.18604651162790697
MNQ,touch_A_B,above,27,27,11,0.4074074074074074
MNQ,touch_A_B,below,26,26,13,0.5
