symbol,anchor,target_mode,year,n,avg_r,total_r,wr
MES,0900,FAR,2019,6,-0.8172693572078084,-4.90361614324685,0.16666666666666666
MES,0900,FAR,2020,9,-0.0379834800009991,-0.3418513200089919,0.4444444444444444
MES,0900,FAR,2021,10,-0.8613911798488681,-8.613911798488681,0.1
MES,0900,FAR,2022,2,0.6444517983283525,1.288903596656705,1.0
MES,0900,FAR,2023,5,-0.05437195530365091,-0.27185977651825455,0.6
MES,0900,FAR,2024,4,0.3821026977652731,1.5284107910610925,0.5
MES,0900,FAR,2025,2,-1.0,-2.0,0.0
MES,0900,MID,2019,6,0.0015836101909903106,0.009501661145941864,0.5
MES,0900,MID,2020,9,-0.2897818851526449,-2.6080369663738043,0.4444444444444444
MES,0900,MID,2021,10,-0.2610172825609946,-2.610172825609946,0.5
MES,0900,MID,2022,2,-0.10302629182090144,-0.20605258364180287,0.5
MES,0900,MID,2023,5,-0.48420288471109085,-2.4210144235554543,0.2
MES,0900,MID,2024,4,0.30931546601005816,1.2372618640402326,0.5
MES,0900,MID,2025,2,0.2253779202931545,0.450755840586309,0.5
MES,0900,SPLIT70,2019,6,-0.2440722800286493,-1.4644336801718958,0.16666666666666666
MES,0900,SPLIT70,2020,9,-0.21424236360715118,-1.9281812724643606,0.5555555555555556
MES,0900,SPLIT70,2021,10,-0.4411294517473566,-4.411294517473566,0.2
MES,0900,SPLIT70,2022,2,0.12121713522387476,0.2424342704477495,0.5
MES,0900,SPLIT70,2023,5,-0.3552536058888589,-1.7762680294442945,0.4
MES,0900,SPLIT70,2024,4,0.33115163553662263,1.3246065421464905,0.5
MES,0900,SPLIT70,2025,2,-0.1422354557947919,-0.2844709115895838,0.5
MES,0900,SPLIT70_BE,2019,6,-0.0882751737656694,-0.5296510425940164,0.5
MES,0900,SPLIT70_BE,2020,9,-0.30650123317621947,-2.7585110985859753,0.4444444444444444
MES,0900,SPLIT70_BE,2021,10,-0.3164366605080621,-3.164366605080621,0.4
MES,0900,SPLIT70_BE,2022,2,-0.08398561730115231,-0.16797123460230462,0.5
MES,0900,SPLIT70_BE,2023,5,-0.47861945120089266,-2.3930972560044634,0.0
MES,0900,SPLIT70_BE,2024,4,0.36425132827123835,1.4570053130849534,0.5
MES,0900,SPLIT70_BE,2025,2,-0.0008016491067476261,-0.0016032982134952523,0.5
MGC,0900,FAR,2016,7,0.09899105959669408,0.6929374171768585,0.2857142857142857
MGC,0900,FAR,2017,6,0.48101017526977197,2.886061051618632,0.5
MGC,0900,FAR,2018,2,-1.0,-2.0,0.0
MGC,0900,FAR,2019,7,0.24069665813344737,1.6848766069341317,0.7142857142857143
MGC,0900,FAR,2020,5,0.42950839246738637,2.147541962336932,0.4
MGC,0900,FAR,2021,5,0.24241901542069438,1.212095077103472,0.2
MGC,0900,FAR,2022,2,-0.2198581560283665,-0.439716312056733,0.5
MGC,0900,FAR,2023,3,-0.4131097560975534,-1.2393292682926602,0.3333333333333333
MGC,0900,FAR,2024,4,0.38810259679081327,1.552410387163253,0.5
MGC,0900,FAR,2025,9,-0.6983124371666756,-6.28481193450008,0.2222222222222222
MGC,0900,MID,2016,7,-0.16339469868280146,-1.1437628907796102,0.42857142857142855
MGC,0900,MID,2017,6,-0.11695059100357452,-0.7017035460214471,0.5
MGC,0900,MID,2018,2,-0.41176470588234376,-0.8235294117646875,0.5
MGC,0900,MID,2019,7,-0.3232563682908493,-2.2627945780359453,0.14285714285714285
MGC,0900,MID,2020,5,-0.22026814956324428,-1.1013407478162214,0.4
MGC,0900,MID,2021,5,-0.3223169006796199,-1.6115845033980993,0.2
MGC,0900,MID,2022,2,0.3853813502763885,0.770762700552777,0.5
MGC,0900,MID,2023,3,-0.6798780487804822,-2.0396341463414465,0.0
MGC,0900,MID,2024,4,0.11028588442977097,0.4411435377190839,0.5
MGC,0900,MID,2025,9,-0.4373074989810091,-3.935767490829082,0.2222222222222222
MGC,0900,SPLIT70,2016,7,-0.08467897119895276,-0.5927527983926694,0.2857142857142857
MGC,0900,SPLIT70,2017,6,0.06243763887842938,0.3746258332705763,0.5
MGC,0900,SPLIT70,2018,2,-0.5882352941176406,-1.1764705882352813,0.0
MGC,0900,SPLIT70,2019,7,-0.1540704603635603,-1.0784932225449222,0.42857142857142855
MGC,0900,SPLIT70,2020,5,-0.025335186954055143,-0.12667593477027572,0.4
MGC,0900,SPLIT70,2021,5,-0.1528961258495256,-0.764480629247628,0.2
MGC,0900,SPLIT70,2022,2,0.20380949838496187,0.40761899676992375,1.0
MGC,0900,SPLIT70,2023,3,-0.5998475609756034,-1.7995426829268104,0.3333333333333333
MGC,0900,SPLIT70,2024,4,0.19363089813808365,0.7745235925523346,0.25
MGC,0900,SPLIT70,2025,9,-0.5156089804367091,-4.640480823930382,0.2222222222222222
MGC,0900,SPLIT70_BE,2016,7,-0.022105922589047866,-0.15474145812333506,0.2857142857142857
MGC,0900,SPLIT70_BE,2017,6,0.0018440181525459416,0.01106410891527565,0.5
MGC,0900,SPLIT70_BE,2018,2,-0.49999999999999223,-0.9999999999999845,0.5
MGC,0900,SPLIT70_BE,2019,7,-0.1901242572993716,-1.3308698010956013,0.42857142857142855
MGC,0900,SPLIT70_BE,2020,5,-0.18295237445405776,-0.9147618722702888,0.4
MGC,0900,SPLIT70_BE,2021,5,-0.1528961258495256,-0.764480629247628,0.2
MGC,0900,SPLIT70_BE,2022,2,0.19999866520734838,0.39999733041469676,0.5
MGC,0900,SPLIT70_BE,2023,3,-0.6951219512195084,-2.085365853658525,0.0
MGC,0900,SPLIT70_BE,2024,4,0.229290742149388,0.917162968597552,0.5
MGC,0900,SPLIT70_BE,2025,9,-0.4601656933667751,-4.141491240300976,0.2222222222222222
MNQ,0900,FAR,2024,2,0.5743575449171221,1.1487150898342442,1.0
MNQ,0900,FAR,2025,5,-0.46280724450193256,-2.314036222509663,0.2
MNQ,0900,FAR,2026,1,0.00274455989028923,0.00274455989028923,1.0
MNQ,0900,MID,2024,2,-0.14125952095428512,-0.28251904190857025,0.0
MNQ,0900,MID,2025,5,-0.4036813943979654,-2.018406971989827,0.2
MNQ,0900,MID,2026,1,-0.4530484218780435,-0.4530484218780435,0.0
MNQ,0900,SPLIT70,2024,2,0.07342559880713706,0.14685119761427412,0.5
MNQ,0900,SPLIT70,2025,5,-0.4214191494291555,-2.1070957471457774,0.2
MNQ,0900,SPLIT70,2026,1,-0.31631052734754367,-0.31631052734754367,0.0
MNQ,0900,SPLIT70_BE,2024,2,-0.12296719911702804,-0.24593439823405608,0.0
MNQ,0900,SPLIT70_BE,2025,5,-0.4124038234425762,-2.062019117212881,0.2
MNQ,0900,SPLIT70_BE,2026,1,-0.31631052734754367,-0.31631052734754367,0.0
MES,1000,FAR,2019,4,-0.6104146990641275,-2.44165879625651,0.25
MES,1000,FAR,2020,10,-0.14269350421009175,-1.4269350421009175,0.5
MES,1000,FAR,2021,5,-0.5691382765531048,-2.8456913827655237,0.2
MES,1000,FAR,2022,9,-0.7109169434939739,-6.398252491445765,0.2222222222222222
MES,1000,FAR,2023,6,-0.5840209020902277,-3.5041254125413666,0.16666666666666666
MES,1000,FAR,2024,10,0.5769263866570878,5.769263866570879,0.5
MES,1000,FAR,2025,14,-0.01289623324464947,-0.18054726542509258,0.2857142857142857
MES,1000,FAR,2026,1,-1.0,-1.0,0.0
MES,1000,MID,2019,4,0.6903655844370027,2.7614623377480108,0.5
MES,1000,MID,2020,10,-0.07854096207641417,-0.7854096207641418,0.3
MES,1000,MID,2021,5,0.25406700355987016,1.2703350177993509,0.8
MES,1000,MID,2022,9,-0.5592569561476264,-5.0333126053286374,0.2222222222222222
MES,1000,MID,2023,6,-0.60636617017267,-3.63819702103602,0.3333333333333333
MES,1000,MID,2024,10,0.4974060808659816,4.974060808659816,0.6
MES,1000,MID,2025,14,0.21991253511983783,3.0787754916777295,0.42857142857142855
MES,1000,MID,2026,1,-1.0,-1.0,0.0
MES,1000,SPLIT70,2019,4,0.3001314993866636,1.2005259975466545,0.75
MES,1000,SPLIT70,2020,10,-0.09778672471651743,-0.9778672471651744,0.4
MES,1000,SPLIT70,2021,5,0.007105419525977696,0.03552709762988848,0.6
