instrument,session,filter,dow,dow_name,n,avg_r,wr,total_r
MGC,0900,G4+,0,Mon,86,0.2448,0.4767,21.0488
MGC,0900,G4+,1,Tue,25,0.6706,0.6000,16.7653
MGC,0900,G4+,2,Wed,25,0.5382,0.5200,13.4545
MGC,0900,G4+,3,Thu,25,0.5840,0.5600,14.5996
MGC,0900,G4+,4,Fri,21,0.7143,0.5714,15.0000
MGC,0900,G5+,0,Mon,70,0.3160,0.5000,22.1228
MGC,0900,G5+,1,Tue,21,0.6396,0.5714,13.4320
MGC,0900,G5+,2,Wed,18,0.5000,0.5000,9.0000
MGC,0900,G5+,3,Thu,15,0.5372,0.5333,8.0580
MGC,0900,G5+,4,Fri,15,1.0000,0.6667,15.0000
MGC,0900,G6+,0,Mon,55,0.3087,0.4909,16.9776
MGC,0900,G6+,1,Tue,11,0.5959,0.5455,6.5548
MGC,0900,G6+,2,Wed,12,0.2500,0.4167,3.0000
MGC,0900,G6+,3,Thu,10,0.4058,0.5000,4.0580
MGC,0900,G6+,4,Fri,12,1.0000,0.6667,12.0000
MGC,1000,G4+,0,Mon,39,0.5943,0.5385,23.1774
MGC,1000,G4+,1,Tue,30,0.5661,0.5333,16.9818
MGC,1000,G4+,2,Wed,30,0.1444,0.4000,4.3333
MGC,1000,G4+,3,Thu,26,-0.0667,0.3077,-1.7333
MGC,1000,G4+,4,Fri,21,-0.1900,0.2857,-3.9907
MGC,1000,G5+,0,Mon,25,0.6471,0.5600,16.1774
MGC,1000,G5+,1,Tue,19,0.6833,0.5789,12.9818
MGC,1000,G5+,2,Wed,25,0.2000,0.4000,5.0000
MGC,1000,G5+,3,Thu,15,-0.2000,0.2667,-3.0000
MGC,1000,G5+,4,Fri,12,-0.0826,0.3333,-0.9907
MGC,1000,G6+,0,Mon,21,0.6751,0.5714,14.1774
MGC,1000,G6+,1,Tue,12,0.0000,0.3333,0.0000
MGC,1000,G6+,2,Wed,15,0.4000,0.4667,6.0000
MGC,1000,G6+,3,Thu,9,-0.6667,0.1111,-6.0000
MGC,1000,G6+,4,Fri,10,-0.1991,0.3000,-1.9907
MGC,1100,G4+,0,Mon,98,0.3197,0.4694,31.3295
MGC,1100,G4+,1,Tue,73,0.1283,0.3836,9.3639
MGC,1100,G4+,2,Wed,66,0.1245,0.3788,8.2184
MGC,1100,G4+,3,Thu,62,0.1288,0.4032,7.9836
MGC,1100,G4+,4,Fri,59,0.2387,0.4068,14.0861
MGC,1100,G5+,0,Mon,76,0.3211,0.4605,24.4014
MGC,1100,G5+,1,Tue,44,0.0252,0.3409,1.1074
MGC,1100,G5+,2,Wed,47,0.1336,0.3617,6.2805
MGC,1100,G5+,3,Thu,39,0.1504,0.4103,5.8673
MGC,1100,G5+,4,Fri,42,0.2931,0.4286,12.3111
MGC,1100,G6+,0,Mon,57,0.1423,0.4035,8.1119
MGC,1100,G6+,1,Tue,35,0.2031,0.4000,7.1074
MGC,1100,G6+,2,Wed,34,0.0937,0.3529,3.1862
MGC,1100,G6+,3,Thu,28,0.0447,0.3571,1.2529
MGC,1100,G6+,4,Fri,24,0.0130,0.3333,0.3111
