instrument,session,filter,event,on_n,on_avgR,on_wr,off_n,off_avgR,off_wr,delta
MGC,0900,G4+,FOMC,18,0.3333,0.4444,421,0.0645,0.3682,0.2688
MGC,0900,G4+,NFP,25,0.0227,0.3600,414,0.0787,0.3720,-0.0560
MGC,0900,G4+,OPEX,20,-0.4000,0.2000,419,0.0982,0.3795,-0.4982
MGC,0900,G6+,FOMC,7,0.7143,0.5714,157,-0.0863,0.3185,0.8006
MGC,0900,G6+,NFP,6,-0.7388,0.1667,158,-0.0261,0.3354,-0.7128
MGC,0900,G6+,OPEX,10,-0.1000,0.3000,154,-0.0490,0.3312,-0.0510
MGC,1000,G4+,FOMC,34,-0.0610,0.3529,578,0.1026,0.4135,-0.1636
MGC,1000,G4+,NFP,33,0.1400,0.4242,579,0.0908,0.4093,0.0491
MGC,1000,G4+,OPEX,27,-0.0167,0.3333,585,0.0986,0.4137,-0.1152
MGC,1000,G6+,FOMC,17,-0.0044,0.4118,261,0.1396,0.4406,-0.1440
MGC,1000,G6+,NFP,16,0.1509,0.4375,262,0.1296,0.4389,0.0214
MGC,1000,G6+,OPEX,7,0.2857,0.4286,271,0.1268,0.4391,0.1589
MGC,1100,G4+,FOMC,24,0.3194,0.5417,425,0.0594,0.4094,0.2600
MGC,1100,G4+,NFP,19,0.2256,0.4737,430,0.0665,0.4140,0.1590
MGC,1100,G4+,OPEX,14,0.0134,0.3571,435,0.0752,0.4184,-0.0618
MGC,1100,G6+,FOMC,11,-0.0362,0.4545,180,0.1536,0.4500,-0.1898
MGC,1100,G6+,NFP,7,-0.2449,0.4286,184,0.1574,0.4511,-0.4023
MGC,1100,G6+,OPEX,5,-0.4000,0.2000,186,0.1573,0.4570,-0.5573
MGC,1800,G4+,FOMC,14,0.5405,0.5714,199,0.1111,0.4221,0.4294
MGC,1800,G6+,FOMC,7,1.5317,1.0000,114,0.0223,0.3947,1.5094
MGC,2300,G4+,FOMC,5,-0.4000,0.2000,101,0.1486,0.3960,-0.5486
MGC,2300,G4+,OPEX,6,0.5000,0.5000,100,0.1000,0.3800,0.4000
MNQ,0900,G4+,FOMC,32,0.0312,0.3438,482,0.0145,0.3382,0.0167
MNQ,0900,G4+,NFP,21,-0.1429,0.2857,493,0.0223,0.3408,-0.1652
MNQ,0900,G4+,OPEX,24,-0.2500,0.2500,490,0.0286,0.3429,-0.2786
MNQ,0900,G6+,FOMC,32,0.0312,0.3438,478,0.0167,0.3389,0.0145
MNQ,0900,G6+,NFP,21,-0.1429,0.2857,489,0.0245,0.3415,-0.1674
MNQ,0900,G6+,OPEX,24,-0.2500,0.2500,486,0.0309,0.3436,-0.2809
MNQ,1000,G4+,FOMC,32,0.1250,0.3750,484,0.2141,0.4153,-0.0891
MNQ,1000,G4+,NFP,22,-0.1392,0.2727,494,0.2240,0.4190,-0.3632
MNQ,1000,G4+,OPEX,24,-0.0137,0.3333,492,0.2194,0.4167,-0.2331
MNQ,1000,G6+,FOMC,32,0.1250,0.3750,482,0.2191,0.4170,-0.0941
MNQ,1000,G6+,NFP,21,-0.0982,0.2857,493,0.2265,0.4199,-0.3247
MNQ,1000,G6+,OPEX,24,-0.0137,0.3333,490,0.2244,0.4184,-0.2381
MNQ,1100,G4+,FOMC,32,0.1609,0.4062,483,0.0030,0.3437,0.1579
MNQ,1100,G4+,NFP,22,-0.4273,0.1818,493,0.0324,0.3550,-0.4597
MNQ,1100,G4+,OPEX,24,0.0939,0.3750,491,0.0088,0.3462,0.0851
MNQ,1100,G6+,FOMC,32,0.1609,0.4062,482,0.0051,0.3444,0.1558
MNQ,1100,G6+,NFP,22,-0.4273,0.1818,492,0.0345,0.3557,-0.4618
MNQ,1100,G6+,OPEX,24,0.0939,0.3750,490,0.0109,0.3469,0.0830
MNQ,1800,G4+,FOMC,22,0.5120,0.5000,312,0.1497,0.4295,0.3622
MNQ,1800,G4+,NFP,15,0.0000,0.3333,319,0.1818,0.4389,-0.1818
MNQ,1800,G4+,OPEX,15,0.1764,0.4000,319,0.1735,0.4357,0.0029
MNQ,1800,G6+,FOMC,22,0.5120,0.5000,312,0.1497,0.4295,0.3622
MNQ,1800,G6+,NFP,15,0.0000,0.3333,319,0.1818,0.4389,-0.1818
MNQ,1800,G6+,OPEX,15,0.1764,0.4000,319,0.1735,0.4357,0.0029
MNQ,2300,G4+,FOMC,30,0.0000,0.3333,425,0.0896,0.3647,-0.0896
MNQ,2300,G4+,NFP,21,0.2857,0.4286,434,0.0740,0.3594,0.2118
MNQ,2300,G4+,OPEX,22,-0.1818,0.2727,433,0.0972,0.3672,-0.2790
MNQ,2300,G6+,FOMC,23,-0.2174,0.2609,325,0.1388,0.3815,-0.3561
MNQ,2300,G6+,NFP,18,0.3333,0.4444,330,0.1033,0.3697,0.2300
MNQ,2300,G6+,OPEX,15,0.0000,0.3333,333,0.1204,0.3754,-0.1204
MES,0900,G4+,FOMC,9,-0.3333,0.2222,183,-0.0656,0.3115,-0.2678
MES,0900,G4+,NFP,9,0.0000,0.3333,183,-0.0820,0.3060,0.0820
MES,0900,G4+,OPEX,15,0.0000,0.3333,177,-0.0847,0.3051,0.0847
MES,0900,G6+,NFP,5,-0.4000,0.2000,84,-0.0714,0.3095,-0.3286
MES,0900,G6+,OPEX,5,-1.0000,0.0000,84,-0.0357,0.3214,-0.9643
MES,1000,G4+,FOMC,26,0.1538,0.3846,364,0.2262,0.4148,-0.0723
MES,1000,G4+,NFP,18,-0.2868,0.2222,372,0.2459,0.4220,-0.5327
MES,1000,G4+,OPEX,17,0.0588,0.3529,373,0.2288,0.4155,-0.1699
MES,1000,G6+,FOMC,13,0.1538,0.3846,264,0.2020,0.4091,-0.0481
MES,1000,G6+,NFP,14,-0.5116,0.1429,263,0.2376,0.4221,-0.7492
MES,1000,G6+,OPEX,12,0.0000,0.3333,265,0.2088,0.4113,-0.2088
MES,1100,G4+,FOMC,24,0.4751,0.5417,397,0.1434,0.3904,0.3317
MES,1100,G4+,NFP,17,-0.4706,0.1765,404,0.1889,0.4084,-0.6595
MES,1100,G4+,OPEX,19,0.4096,0.4737,402,0.1506,0.3955,0.2590
MES,1100,G6+,FOMC,15,0.5602,0.6000,262,0.1600,0.4008,0.4002
MES,1100,G6+,NFP,13,-0.5385,0.1538,264,0.2172,0.4242,-0.7556
MES,1100,G6+,OPEX,14,0.9131,0.6429,263,0.1428,0.3992,0.7703
MES,1800,G4+,FOMC,14,1.1693,0.7857,203,0.0577,0.4187,1.1116
MES,1800,G4+,NFP,10,0.2000,0.4000,207,0.1260,0.4444,0.0740
MES,1800,G4+,OPEX,9,-0.2189,0.3333,208,0.1444,0.4471,-0.3633
MES,1800,G6+,FOMC,9,0.9592,0.6667,119,0.0838,0.4454,0.8755
MES,1800,G6+,NFP,8,0.1250,0.3750,120,0.1467,0.4667,-0.0217
MES,2300,G4+,FOMC,5,-0.4000,0.2000,55,0.4440,0.4727,-0.8440
