instrument,session,filter,event,on_n,off_n,on_avgR,off_avgR,delta,p_raw,survives_bh,delta_rr15,p_raw_rr15,delta_rr25,p_raw_rr25,sensitivity_consistent
MGC,0900,G4+,FOMC,11,171,0.6744,0.4295,0.2449,0.5700,False,0.2443,0.4650,0.1730,0.7360,True
MGC,0900,G4+,OPEX,6,176,0.5000,0.4424,0.0576,0.9640,False,-0.1152,0.8320,-0.2630,0.7610,False
MGC,0900,G6+,FOMC,5,95,0.8000,0.4062,0.3938,0.5620,False,0.1224,0.8710,-0.0721,0.9320,False
MGC,1000,G4+,FOMC,8,138,0.3250,0.2621,0.0629,0.9760,False,0.1690,0.7100,0.1447,0.7770,True
MGC,1000,G4+,OPEX,5,141,-0.5981,0.2962,-0.8943,0.1460,False,-0.7838,0.1950,-1.0084,0.1820,True
MGC,1000,G6+,FOMC,5,62,0.2000,0.1804,0.0196,0.9950,False,-0.2448,0.9600,0.2162,0.9130,False
MGC,1100,G4+,FOMC,26,332,-0.0173,0.2152,-0.2325,0.4040,False,-0.3085,0.2260,-0.1173,0.7010,True
MGC,1100,G4+,NFP,11,347,-0.1818,0.2103,-0.3921,0.4090,False,-0.2322,0.5990,-0.5063,0.3030,True
MGC,1100,G4+,OPEX,15,343,0.2000,0.1982,0.0018,0.9980,False,-0.1400,0.7060,0.2016,0.5990,False
MGC,1100,G6+,FOMC,11,167,-0.1318,0.1283,-0.2601,0.5760,False,-0.3644,0.3170,-0.1686,0.7380,True
MGC,1100,G6+,OPEX,6,172,0.5000,0.0987,0.4013,0.5950,False,0.1824,0.8080,0.6077,0.3390,True
MGC,1800,G4+,FOMC,11,151,0.3636,0.1118,0.2518,0.7100,False,0.4582,0.3400,0.1483,0.9470,True
MGC,1800,G4+,NFP,6,156,0.5000,0.1146,0.3854,0.6590,False,0.0894,1.0000,0.6392,0.3630,True
MGC,1800,G4+,OPEX,5,157,-0.4000,0.1458,-0.5458,0.5900,False,-0.6850,0.3670,-0.4483,0.6400,True
MGC,1800,G6+,FOMC,6,51,1.0000,0.2042,0.7958,0.3530,False,0.9069,0.2190,1.1390,0.2020,True
MGC,2300,G4+,FOMC,24,415,0.2500,0.0659,0.1841,0.5400,False,0.2778,0.2610,0.2521,0.4350,True
MGC,2300,G4+,NFP,34,405,0.1155,0.0726,0.0429,0.8700,False,0.0123,0.9640,0.0973,0.7180,True
MGC,2300,G4+,OPEX,14,425,-0.1957,0.0849,-0.2806,0.4500,False,0.1637,0.6870,-0.1681,0.7240,False
MGC,2300,G6+,FOMC,9,155,0.3333,-0.0745,0.4078,0.4280,False,0.6926,0.1400,0.6475,0.1810,True
MGC,2300,G6+,NFP,16,148,-0.2080,-0.0353,-0.1728,0.6620,False,-0.2558,0.4950,-0.0295,0.9240,True
MGC,2300,G6+,OPEX,6,158,-0.5000,-0.0351,-0.4649,0.5480,False,0.6795,0.2130,-0.3739,0.6370,False
MNQ,0900,G4+,FOMC,76,1093,0.0032,0.0953,-0.0921,0.5670,False,-0.0927,0.5450,-0.0410,0.8290,True
MNQ,0900,G4+,NFP,53,1116,-0.0417,0.0955,-0.1372,0.5020,False,-0.0471,0.7560,-0.1444,0.5380,True
MNQ,0900,G4+,OPEX,52,1117,0.0114,0.0929,-0.0815,0.6890,False,-0.0243,0.8850,-0.0476,0.8220,True
MNQ,0900,G6+,FOMC,61,946,0.0531,0.0467,0.0064,0.9650,False,-0.0227,0.8890,0.1010,0.6310,False
MNQ,0900,G6+,NFP,47,960,-0.0470,0.0517,-0.0987,0.6260,False,-0.0467,0.7950,-0.0457,0.8350,True
MNQ,0900,G6+,OPEX,47,960,-0.0087,0.0498,-0.0585,0.7790,False,0.0116,0.9500,-0.0377,0.8570,False
MNQ,1000,G4+,FOMC,79,1196,0.1279,0.1755,-0.0475,0.7760,False,-0.1506,0.3180,0.0029,0.9900,False
MNQ,1000,G4+,NFP,59,1216,0.1252,0.1748,-0.0497,0.8340,False,-0.0616,0.7690,0.0801,0.7300,False
MNQ,1000,G4+,OPEX,58,1217,0.3082,0.1661,0.1421,0.5070,False,0.1321,0.4920,0.1747,0.4120,True
MNQ,1000,G6+,FOMC,74,1089,0.0420,0.1670,-0.1250,0.4380,False,-0.2127,0.1560,-0.1065,0.5590,True
MNQ,1000,G6+,NFP,52,1111,0.1613,0.1590,0.0023,1.0000,False,-0.0479,0.7890,0.1230,0.5840,False
MNQ,1000,G6+,OPEX,54,1109,0.2940,0.1525,0.1415,0.4510,False,0.1440,0.4740,0.2187,0.3310,True
MNQ,1100,G4+,FOMC,79,1123,0.3671,0.0931,0.2740,0.1230,False,0.1545,0.2910,0.2927,0.1440,True
