instrument,session,filter,worst_dow,best_dow,baseline_n,baseline_avgR,baseline_totR,skip1_n,skip1_avgR,skip1_totR,skip2_n,skip2_avgR,skip2_totR,best_only_n,best_only_avgR,best_only_totR
MES,0900,G4+,Fri,Mon,484,0.0157,7.5841,400,0.0603,24.1054,316,0.1244,39.3197,146,0.1559,22.7580
MES,0900,G5+,Fri,Mon,346,0.0041,1.4017,287,0.0805,23.0995,231,0.1512,34.9387,119,0.2476,29.4685
MES,0900,G6+,Thu,Mon,261,0.0967,25.2287,218,0.1682,36.6784,173,0.2739,47.3762,101,0.3208,32.4014
MES,1000,G4+,Wed,Thu,527,0.1395,73.5177,434,0.1876,81.4368,325,0.2432,79.0512,105,0.3511,36.8678
MES,1000,G5+,Mon,Tue,320,0.1207,38.6295,243,0.1625,39.4922,191,0.2063,39.4113,55,0.3636,20.0000
MES,1000,G6+,Wed,Tue,219,0.1772,38.8133,186,0.2179,40.5368,129,0.2919,37.6494,30,0.4000,12.0000
MES,1100,G4+,Thu,Wed,344,0.1486,51.1208,282,0.1768,49.8562,195,0.2041,39.8069,63,0.2984,18.8000
MES,1100,G5+,Mon,Thu,212,0.2078,44.0583,161,0.2299,37.0090,124,0.2418,29.9815,33,0.2807,9.2646
MES,1100,G6+,Mon,Thu,145,0.1791,25.9631,110,0.2018,22.1995,85,0.2282,19.3995,25,0.3306,8.2646
MES,1800,G4+,Fri,Thu,706,0.0085,6.0042,565,0.0425,24.0042,437,0.0732,32.0042,144,0.1667,24.0000
MES,1800,G5+,Mon,Fri,478,-0.0628,-29.9958,368,-0.0462,-17.0000,276,-0.0326,-9.0000,98,-0.0204,-2.0000
MES,1800,G6+,Mon,Wed,314,-0.1524,-47.8654,240,-0.1375,-33.0000,175,-0.1257,-22.0000,50,-0.1000,-5.0000
MES,2300,G4+,Wed,Tue,560,0.0472,26.4583,456,0.0690,31.4583,328,0.1112,36.4583,108,0.1667,18.0000
MES,2300,G5+,Tue,Fri,374,0.0066,2.4583,308,0.0275,8.4583,239,0.0605,14.4583,96,0.2339,22.4583
MES,2300,G6+,Tue,Fri,253,0.0255,6.4583,207,0.0650,13.4583,149,0.1373,20.4583,72,0.3119,22.4583
MGC,0900,G4+,Mon,Fri,182,0.4443,80.8683,96,0.6231,59.8195,71,0.6530,46.3649,21,0.7143,15.0000
MGC,0900,G5+,Mon,Fri,139,0.4864,67.6127,69,0.6593,45.4899,51,0.7155,36.4899,15,1.0000,15.0000
MGC,0900,G6+,Wed,Fri,100,0.4259,42.5904,88,0.4499,39.5904,33,0.6852,22.6127,12,1.0000,12.0000
MGC,1000,G4+,Fri,Mon,146,0.2655,38.7685,125,0.3421,42.7592,99,0.4494,44.4926,39,0.5943,23.1774
MGC,1000,G5+,Thu,Tue,96,0.3143,30.1685,81,0.4095,33.1685,69,0.4951,34.1592,19,0.6833,12.9818
MGC,1000,G6+,Thu,Mon,67,0.1819,12.1867,58,0.3136,18.1867,48,0.4204,20.1774,21,0.6751,14.1774
MGC,1100,G4+,Wed,Mon,358,0.1983,70.9814,292,0.2149,62.7630,219,0.2438,53.3991,98,0.3197,31.3295
MGC,1100,G5+,Tue,Mon,248,0.2015,49.9677,204,0.2395,48.8603,157,0.2712,42.5798,76,0.3211,24.4014
MGC,1100,G6+,Fri,Tue,178,0.1122,19.9695,154,0.1277,19.6584,126,0.1461,18.4055,35,0.2031,7.1074
MGC,1800,G4+,Mon,Fri,162,0.1289,20.8842,128,0.2413,30.8842,100,0.3188,31.8842,29,0.3595,10.4250
MGC,1800,G5+,Mon,Thu,94,0.1640,15.4127,75,0.3788,28.4127,60,0.4735,28.4127,20,0.8000,16.0000
MGC,1800,G6+,Mon,Thu,57,0.2879,16.4127,48,0.4669,22.4127,37,0.5787,21.4127,14,0.9286,13.0000
MGC,2300,G4+,Thu,Tue,439,0.0759,33.3355,338,0.1101,37.2289,258,0.1318,33.9951,80,0.1993,15.9426
MGC,2300,G5+,Thu,Wed,254,0.0624,15.8575,196,0.1672,32.7796,133,0.1859,24.7200,50,0.2021,10.1053
MGC,2300,G6+,Thu,Wed,164,-0.0521,-8.5496,126,0.0030,0.3726,83,0.0732,6.0729,34,0.1502,5.1053
