instrument,session,dst_regime,delay_bucket,hold_minutes,n,avg_r,win_rate,sample_class
MES,0030,SUMMER,0-2,1,32,-0.402200,0.062500,REGIME
MES,0030,SUMMER,0-2,2,32,-0.405800,0.062500,REGIME
MES,0030,SUMMER,0-2,5,32,-0.407900,0.062500,REGIME
MES,0030,SUMMER,0-2,10,32,-0.428900,0.031200,REGIME
MES,0030,SUMMER,0-2,15,32,-0.405400,0.093800,REGIME
MES,0030,SUMMER,0-2,20,32,-0.419000,0.093800,REGIME
MES,0030,SUMMER,0-2,30,32,-0.431300,0.125000,REGIME
MES,0030,SUMMER,0-2,45,32,-0.398900,0.156200,REGIME
MES,0030,SUMMER,0-2,60,32,-0.359600,0.250000,REGIME
MES,0030,SUMMER,0-2,90,32,-0.312500,0.250000,REGIME
MES,0030,SUMMER,0-2,120,32,-0.244700,0.281200,REGIME
MES,0030,SUMMER,0-2,180,32,-0.367100,0.281200,REGIME
MES,0030,SUMMER,2-5,1,0,,,INVALID
MES,0030,SUMMER,2-5,2,0,,,INVALID
MES,0030,SUMMER,2-5,5,0,,,INVALID
MES,0030,SUMMER,2-5,10,0,,,INVALID
MES,0030,SUMMER,2-5,15,0,,,INVALID
MES,0030,SUMMER,2-5,20,0,,,INVALID
MES,0030,SUMMER,2-5,30,0,,,INVALID
MES,0030,SUMMER,2-5,45,0,,,INVALID
MES,0030,SUMMER,2-5,60,0,,,INVALID
MES,0030,SUMMER,2-5,90,0,,,INVALID
MES,0030,SUMMER,2-5,120,0,,,INVALID
MES,0030,SUMMER,2-5,180,0,,,INVALID
MES,0030,SUMMER,5-10,1,3,-0.018600,0.333300,INVALID
MES,0030,SUMMER,5-10,2,3,0.002100,0.333300,INVALID
MES,0030,SUMMER,5-10,5,3,0.002200,0.666700,INVALID
MES,0030,SUMMER,5-10,10,3,0.029600,0.666700,INVALID
MES,0030,SUMMER,5-10,15,3,0.038600,0.666700,INVALID
MES,0030,SUMMER,5-10,20,3,-0.027100,0.666700,INVALID
MES,0030,SUMMER,5-10,30,3,-0.057000,0.333300,INVALID
MES,0030,SUMMER,5-10,45,3,0.233700,1.000000,INVALID
MES,0030,SUMMER,5-10,60,3,0.228400,1.000000,INVALID
MES,0030,SUMMER,5-10,90,3,0.351600,1.000000,INVALID
