instrument,session,direction,n,n_overall,avg_r,wr,t_stat,p_raw,delta_vs_overall,overall_avg_r,p_bh,bh_sig,classification
MGC,0900,long,72,122,0.3047,0.3472,1.8425,0.069582,0.1086,0.196,0.278328,False,NOISE
MGC,0900,short,50,122,0.0396,0.24,0.2233,0.824267,-0.1564,0.196,0.92105,False,NOISE
MGC,1000,long,76,140,0.124,0.3158,0.7703,0.443554,0.0122,0.1118,0.74782,False,NOISE
MGC,1000,short,64,140,0.0973,0.3125,0.5702,0.570568,-0.0145,0.1118,0.801616,False,NOISE
MGC,1100,long,149,296,0.0553,0.3356,0.4528,0.651371,0.0361,0.0192,0.823754,False,NOISE
MGC,1100,short,147,296,-0.0174,0.3129,-0.1441,0.885625,-0.0366,0.0192,0.92105,False,NOISE
MGC,1800,long,80,136,-0.0322,0.3125,-0.1994,0.842448,0.047,-0.0793,0.92105,False,NOISE
MGC,1800,short,56,136,-0.1464,0.2679,-0.7679,0.445816,-0.0672,-0.0793,0.74782,False,NOISE
MGC,2300,long,158,305,-0.293,0.2278,-2.8182,0.005451,-0.1193,-0.1737,0.057814,True,NOISE
MGC,2300,short,147,305,-0.0455,0.3061,-0.3819,0.703124,0.1282,-0.1737,0.850289,False,NOISE
MGC,CME_OPEN,long,50,84,0.401,0.44,1.7725,0.082525,0.2987,0.1023,0.306521,False,NOISE
MGC,CME_OPEN,short,34,84,-0.3369,0.2059,-1.4858,0.146815,-0.4393,0.1023,0.401809,False,NOISE
MGC,LONDON_OPEN,long,93,158,-0.0645,0.3011,-0.434,0.66534,0.0253,-0.0898,0.823754,False,NOISE
MGC,LONDON_OPEN,short,65,158,-0.126,0.2769,-0.7126,0.478662,-0.0362,-0.0898,0.751065,False,NOISE
MES,0900,long,95,181,-0.1466,0.1895,-1.2309,0.221426,-0.0202,-0.1264,0.523371,False,NOISE
MES,0900,short,86,181,-0.1041,0.1977,-0.8306,0.408529,0.0223,-0.1264,0.74782,False,NOISE
MES,1000,long,87,171,0.0933,0.2759,0.6652,0.507698,0.0107,0.0827,0.754294,False,NOISE
MES,1000,short,84,171,0.0716,0.2976,0.4784,0.633603,-0.0111,0.0827,0.823684,False,NOISE
MES,1100,long,66,113,-0.0425,0.303,-0.2358,0.814295,0.0877,-0.1303,0.92105,False,NOISE
MES,1100,short,47,113,-0.2535,0.234,-1.2723,0.209663,-0.1232,-0.1303,0.519166,False,NOISE
MES,1800,long,132,224,-0.198,0.2576,-1.6638,0.09855,-0.0055,-0.1926,0.320288,False,NOISE
MES,1800,short,92,224,-0.1847,0.2609,-1.2834,0.202614,0.0078,-0.1926,0.519166,False,NOISE
MES,0030,long,205,415,-0.0561,0.2927,-0.5458,0.585796,-0.0558,-0.0003,0.801616,False,NOISE
MES,0030,short,210,415,0.0542,0.3286,0.5199,0.603703,0.0545,-0.0003,0.804937,False,NOISE
MES,CME_OPEN,long,66,140,-0.3312,0.2121,-2.0699,0.042438,-0.0508,-0.2804,0.241204,False,NOISE
MES,CME_OPEN,short,74,140,-0.2351,0.2432,-1.4881,0.141025,0.0453,-0.2804,0.401809,False,NOISE
MES,US_EQUITY_OPEN,long,228,467,-0.1589,0.2588,-1.6813,0.094081,-0.0785,-0.0804,0.320288,False,NOISE
MES,US_EQUITY_OPEN,short,239,467,-0.0056,0.3054,-0.0575,0.954218,0.0749,-0.0804,0.954218,False,NOISE
MES,US_DATA_OPEN,long,141,281,-0.228,0.2411,-1.9682,0.051024,-0.1511,-0.0769,0.241204,False,NOISE
MES,US_DATA_OPEN,short,140,281,0.0753,0.3357,0.5863,0.558592,0.1522,-0.0769,0.801616,False,NOISE
MES,US_POST_EQUITY,long,209,420,-0.1826,0.2536,-1.8764,0.062002,-0.1353,-0.0472,0.268675,False,NOISE
MES,US_POST_EQUITY,short,211,420,0.0868,0.3365,0.8237,0.411064,0.1341,-0.0472,0.74782,False,NOISE
MES,CME_CLOSE,long,89,178,-0.47,0.1685,-3.7429,0.000324,0.0647,-0.5347,0.008424,True,SOLID_NEGATIVE
MES,CME_CLOSE,short,89,178,-0.5994,0.1236,-5.2698,1e-06,-0.0647,-0.5347,5.2e-05,True,STRONG_NEGATIVE
MNQ,0900,long,234,467,-0.1774,0.188,-2.3107,0.021726,-0.0946,-0.0828,0.188292,False,NOISE
MNQ,0900,short,233,467,0.0122,0.2361,0.1482,0.882305,0.095,-0.0828,0.92105,False,NOISE
MNQ,1000,long,238,512,0.0166,0.2689,0.1871,0.851715,0.0514,-0.0348,0.92105,False,NOISE
MNQ,1000,short,274,512,-0.0794,0.2409,-0.9962,0.320029,-0.0446,-0.0348,0.693396,False,NOISE
MNQ,1100,long,264,500,0.1878,0.375,1.9814,0.048589,0.2052,-0.0174,0.241204,False,NOISE
MNQ,1100,short,236,500,-0.2469,0.2373,-2.7986,0.005559,-0.2295,-0.0174,0.057814,True,NOISE
MNQ,1800,long,259,513,-0.0638,0.2857,-0.6924,0.489335,-0.0734,0.0095,0.751065,False,NOISE
MNQ,1800,short,254,513,0.0843,0.3307,0.8692,0.385577,0.0748,0.0095,0.74782,False,NOISE
MNQ,0030,long,236,467,-0.1445,0.2542,-1.5113,0.132055,-0.107,-0.0376,0.401809,False,NOISE
MNQ,0030,short,231,467,0.0717,0.316,0.6897,0.491081,0.1093,-0.0376,0.751065,False,NOISE
MNQ,CME_OPEN,long,90,206,-0.1533,0.2556,-1.0005,0.319769,-0.0695,-0.0839,0.693396,False,NOISE
MNQ,CME_OPEN,short,116,206,-0.03,0.2931,-0.2132,0.831531,0.0539,-0.0839,0.92105,False,NOISE
MNQ,US_EQUITY_OPEN,long,209,440,-0.0862,0.2679,-0.8227,0.411595,-0.0877,0.0016,0.74782,False,NOISE
