strategy_id,source,instrument,session,filter,combined_n,combined_avgR,combined_sharpe,winter_n,winter_avgR,winter_wr,winter_sharpe,winter_maxdd,summer_n,summer_avgR,summer_wr,summer_sharpe,summer_maxdd,verdict
MES_0900_E1_RR2.5_CB1_ORB_G8,experimental,MES,0900,ORB_G8,20,0.3195,0.1926,14,-0.3072,0.2143,-0.2231,7.0,6,1.7816,0.8333,,1.0,LOW-N
MES_0900_E1_RR3.0_CB1_ORB_G6,experimental,MES,0900,ORB_G6,30,0.6035,0.3234,20,-0.0836,0.25,-0.0514,9.0,10,1.9777,0.8,1.2581,2.0,SUMMER-ONLY
MES_0900_E1_RR2.5_CB3_ORB_G8,experimental,MES,0900,ORB_G8,16,0.0442,0.0276,12,-0.4452,0.1667,-0.3435,5.61,4,1.5124,0.75,,1.0,LOW-N
MES_0900_E1_RR2.5_CB2_ORB_G8,experimental,MES,0900,ORB_G8,18,0.302,0.1798,13,-0.2255,0.2308,-0.1532,6.0,5,1.6735,0.8,,1.0,LOW-N
MES_0900_E1_RR2.5_CB1_ORB_G6,experimental,MES,0900,ORB_G6,30,0.7306,0.4435,20,0.1255,0.35,0.0797,8.0,10,1.9407,0.9,1.8721,1.0,UNSTABLE
MGC_1800_E3_RR4.0_CB1_ORB_G5,experimental,MGC,1800,ORB_G5,23,1.9947,0.8895,14,1.3218,0.5,0.5479,4.0,9,3.0414,0.8889,,1.0,LOW-N
MES_0900_E1_RR2.5_CB2_ORB_G6,experimental,MES,0900,ORB_G6,27,0.6987,0.4186,19,0.2041,0.3684,0.1259,7.0,8,1.8736,0.875,,1.0,LOW-N
MES_0900_E1_RR4.0_CB2_ORB_G6,experimental,MES,0900,ORB_G6,25,0.4739,0.2161,18,0.018,0.2222,0.0092,9.0,7,1.6463,0.5714,,2.0,LOW-N
MES_0900_E1_RR3.0_CB1_ORB_G5,experimental,MES,0900,ORB_G5,40,0.4689,0.2572,27,-0.0578,0.2593,-0.0356,11.0,13,1.5628,0.6923,0.8776,3.0,SUMMER-ONLY
MES_0900_E1_RR2.5_CB3_ORB_G6,experimental,MES,0900,ORB_G6,30,0.4104,0.25,21,-0.0718,0.2857,-0.0477,6.0,9,1.5356,0.7778,,1.0,LOW-N
MES_0900_E1_RR2.5_CB3_ORB_G5,experimental,MES,0900,ORB_G5,36,0.4372,0.2681,26,-0.0084,0.3077,-0.0055,7.0,10,1.5959,0.8,1.1641,1.0,SUMMER-ONLY
MGC_1800_E3_RR4.0_CB1_ORB_G6,experimental,MGC,1800,ORB_G6,18,1.867,0.7924,12,1.3464,0.5,0.549,3.0,6,2.9082,0.8333,,1.0,LOW-N
MES_0900_E3_RR4.0_CB1_ORB_G8,experimental,MES,0900,ORB_G8,22,0.2715,0.1277,16,-0.138,0.1875,-0.0745,5.43,6,1.3634,0.5,,2.0,LOW-N
MES_0900_E1_RR2.5_CB4_ORB_G8,experimental,MES,0900,ORB_G8,17,0.3597,0.2146,13,0.0075,0.3077,0.0048,4.0,4,1.5043,0.75,,1.0,LOW-N
