symbol,session,rr_target,confirm_bars,direction,n,avg_r,win_rate,t_stat,p_val,long_pct,p_bh
MCL,0900,1.0,1,ALL,923,-0.4169,0.2275,-23.301,0.0,0.506,0.0
MCL,0900,1.5,1,ALL,922,-0.4242,0.2581,-19.5185,0.0,0.505,0.0
MCL,0900,2.0,1,ALL,922,-0.4385,0.2419,-17.6514,0.0,0.505,0.0
MCL,0900,2.5,1,ALL,921,-0.4453,0.203,-16.1437,0.0,0.506,0.0
MCL,0900,3.0,1,ALL,921,-0.431,0.2085,-14.0927,0.0,0.506,0.0
MCL,0900,4.0,1,ALL,921,-0.4393,0.1629,-12.5438,0.0,0.506,0.0
MCL,0900,1.0,1,LONG,467,-0.4092,0.227,-16.4734,0.0,0.506,0.0
MCL,0900,1.5,1,LONG,466,-0.4198,0.2618,-14.0296,0.0,0.505,0.0
MCL,0900,2.0,1,LONG,466,-0.4146,0.2682,-11.9422,0.0,0.505,0.0
MCL,0900,2.5,1,LONG,466,-0.4131,0.2253,-10.5131,0.0,0.506,0.0
MCL,0900,3.0,1,LONG,466,-0.3898,0.2361,-8.7972,0.0,0.506,0.0
MCL,0900,4.0,1,LONG,466,-0.431,0.1717,-8.623,0.0,0.506,0.0
MCL,0900,1.0,1,SHORT,456,-0.4247,0.2281,-16.4656,0.0,0.506,0.0
MCL,0900,1.5,1,SHORT,456,-0.4287,0.2544,-13.5703,0.0,0.505,0.0
MCL,0900,2.0,1,SHORT,456,-0.4629,0.2149,-13.0187,0.0,0.505,0.0
MCL,0900,2.5,1,SHORT,455,-0.4782,0.1802,-12.3638,0.0,0.506,0.0
MCL,0900,3.0,1,SHORT,455,-0.4732,0.1802,-11.2495,0.0,0.506,0.0
MCL,0900,4.0,1,SHORT,455,-0.4478,0.1538,-9.1218,0.0,0.506,0.0
MCL,1000,1.0,1,ALL,1055,-0.3498,0.3393,-18.956,0.0,0.467,0.0
MCL,1000,1.5,1,ALL,1055,-0.3451,0.3318,-15.0778,0.0,0.467,0.0
MCL,1000,2.0,1,ALL,1055,-0.3517,0.2863,-13.3584,0.0,0.467,0.0
MCL,1000,2.5,1,ALL,1055,-0.3488,0.2464,-11.8244,0.0,0.467,0.0
MCL,1000,3.0,1,ALL,1054,-0.3615,0.2144,-11.2853,0.0,0.468,0.0
MCL,1000,4.0,1,ALL,1054,-0.3497,0.1765,-9.4033,0.0,0.468,0.0
MCL,1000,1.0,1,LONG,493,-0.3509,0.3469,-13.0206,0.0,0.467,0.0
MCL,1000,1.5,1,LONG,493,-0.36,0.3205,-10.7476,0.0,0.467,0.0
MCL,1000,2.0,1,LONG,493,-0.3902,0.2617,-10.2964,0.0,0.467,0.0
MCL,1000,2.5,1,LONG,493,-0.3908,0.2231,-9.2385,0.0,0.467,0.0
MCL,1000,3.0,1,LONG,493,-0.3979,0.1947,-8.6242,0.0,0.468,0.0
MCL,1000,4.0,1,LONG,493,-0.3491,0.1724,-6.3703,0.0,0.468,0.0
MCL,1000,1.0,1,SHORT,535,-0.3494,0.329,-13.4389,0.0,0.467,0.0
MCL,1000,1.5,1,SHORT,535,-0.318,0.3514,-9.8611,0.0,0.467,0.0
MCL,1000,2.0,1,SHORT,535,-0.306,0.3159,-8.1329,0.0,0.467,0.0
MCL,1000,2.5,1,SHORT,535,-0.3023,0.2729,-7.1524,0.0,0.467,0.0
MCL,1000,3.0,1,SHORT,535,-0.3179,0.2374,-6.9195,0.0,0.468,0.0
MCL,1000,4.0,1,SHORT,535,-0.3375,0.185,-6.4386,0.0,0.468,0.0
MCL,1800,1.0,1,ALL,1083,-0.2599,0.4885,-11.1963,0.0,0.518,0.0
MCL,1800,1.5,1,ALL,1083,-0.2907,0.3758,-10.3392,0.0,0.518,0.0
MCL,1800,2.0,1,ALL,1083,-0.3001,0.3084,-9.3216,0.0,0.518,0.0
MCL,1800,2.5,1,ALL,1083,-0.3065,0.2613,-8.565,0.0,0.518,0.0
MCL,1800,3.0,1,ALL,1081,-0.3203,0.2239,-8.244,0.0,0.519,0.0
MCL,1800,4.0,1,ALL,1078,-0.2785,0.1911,-6.1028,0.0,0.519,0.0
MCL,1800,1.0,1,LONG,561,-0.2787,0.4848,-8.7815,0.0,0.518,0.0
MCL,1800,1.5,1,LONG,561,-0.3099,0.3708,-8.0684,0.0,0.518,0.0
MCL,1800,2.0,1,LONG,561,-0.3126,0.3066,-7.0887,0.0,0.518,0.0
MCL,1800,2.5,1,LONG,561,-0.3466,0.2496,-7.1751,0.0,0.518,0.0
MCL,1800,3.0,1,LONG,561,-0.342,0.2193,-6.463,0.0,0.519,0.0
MCL,1800,4.0,1,LONG,559,-0.2748,0.195,-4.3677,1.5e-05,0.519,2.1e-05
MCL,1800,1.0,1,SHORT,522,-0.2396,0.4923,-7.0476,0.0,0.518,0.0
MCL,1800,1.5,1,SHORT,522,-0.2702,0.3812,-6.5497,0.0,0.518,0.0
MCL,1800,2.0,1,SHORT,522,-0.2866,0.3103,-6.0858,0.0,0.518,0.0
MCL,1800,2.5,1,SHORT,522,-0.2635,0.2739,-4.9648,1e-06,0.518,1e-06
MCL,1800,3.0,1,SHORT,520,-0.2968,0.2288,-5.1929,0.0,0.519,0.0
MCL,1800,4.0,1,SHORT,519,-0.2826,0.1869,-4.2584,2.4e-05,0.519,3.3e-05
MES,0900,1.0,1,ALL,1588,-0.2484,0.4181,-14.8704,0.0,0.499,0.0
MES,0900,1.5,1,ALL,1587,-0.28,0.3415,-13.7299,0.0,0.499,0.0
MES,0900,2.0,1,ALL,1587,-0.2747,0.2854,-11.6185,0.0,0.499,0.0
