session,time_bucket,unique_fills,fill_pct,n_outcomes,avg_r,total_r,wr,sharpe
0030,0-5min,1152,78.4,6541,-0.0419,-273.99,0.3591,-0.0304
0030,5-15min,171,11.6,969,-0.0543,-52.63,0.356,-0.0399
0030,15-30min,56,3.8,327,-0.1176,-38.47,0.3456,-0.0902
0030,30-60min,45,3.1,266,-0.0592,-15.76,0.3496,-0.0427
0030,60-120min,20,1.4,113,0.0537,6.07,0.3717,0.0365
0030,120-240min,19,1.3,88,0.2751,24.21,0.5455,0.2122
0030,240+min,6,0.4,31,-0.6706,-20.79,0.1613,-0.8665
0900,0-5min,1345,74.5,7916,-0.2446,-1935.92,0.3228,-0.2145
0900,5-15min,201,11.1,1169,-0.2826,-330.32,0.3157,-0.2668
0900,15-30min,78,4.3,459,-0.173,-79.41,0.3682,-0.1559
0900,30-60min,66,3.7,386,-0.4548,-175.53,0.2591,-0.4827
0900,60-120min,44,2.4,257,-0.3351,-86.12,0.3268,-0.3525
0900,120-240min,23,1.3,134,-0.3014,-40.39,0.2687,-0.2727
0900,240+min,48,2.7,270,0.332,89.65,0.5444,0.2499
1000,0-5min,1589,73.9,9257,-0.1812,-1677.55,0.3535,-0.1534
1000,5-15min,230,10.7,1309,-0.1928,-252.37,0.3537,-0.1681
1000,15-30min,94,4.4,555,-0.2546,-141.31,0.3279,-0.2242
1000,30-60min,95,4.4,542,-0.2106,-114.13,0.3432,-0.1843
1000,60-120min,56,2.6,336,-0.2309,-77.57,0.3452,-0.2086
1000,120-240min,18,0.8,108,-0.1016,-10.97,0.3981,-0.0851
1000,240+min,67,3.1,388,-0.2239,-86.88,0.3634,-0.2078
1100,0-5min,2304,75.8,13740,-0.2288,-3144.15,0.3265,-0.191
1100,5-15min,309,10.2,1853,-0.3298,-611.13,0.2855,-0.288
1100,15-30min,121,4.0,725,-0.1609,-116.69,0.3669,-0.133
1100,30-60min,93,3.1,554,-0.2854,-158.13,0.3032,-0.2445
1100,60-120min,57,1.9,342,-0.2748,-93.99,0.3158,-0.2358
1100,120-240min,41,1.3,244,0.1651,40.3,0.4672,0.1215
1100,240+min,116,3.8,679,-0.1158,-78.6,0.377,-0.0944
1800,0-5min,1891,74.8,11329,-0.2128,-2411.24,0.3303,-0.176
1800,5-15min,305,12.1,1826,-0.2022,-369.29,0.3439,-0.1705
1800,15-30min,121,4.8,726,-0.29,-210.56,0.3072,-0.2525
1800,30-60min,70,2.8,418,-0.3492,-145.95,0.2823,-0.3162
1800,60-120min,48,1.9,288,-0.1106,-31.86,0.3785,-0.0886
1800,120-240min,47,1.9,280,-0.2506,-70.16,0.3357,-0.224
1800,240+min,46,1.8,265,0.2564,67.94,0.5358,0.1997
2300,0-5min,1512,76.0,8819,-0.2752,-2426.78,0.3088,-0.2369
2300,5-15min,257,12.9,1509,-0.1996,-301.18,0.336,-0.1653
2300,15-30min,104,5.2,593,-0.1217,-72.19,0.3744,-0.0992
2300,30-60min,58,2.9,340,-0.0135,-4.58,0.4235,-0.0108
2300,60-120min,40,2.0,214,-0.3711,-79.41,0.2991,-0.3615
2300,120-240min,14,0.7,73,-0.2368,-17.29,0.3699,-0.2209
2300,240+min,4,0.2,23,0.0686,1.58,0.4348,0.0522
CME_CLOSE,0-5min,600,84.7,2950,-0.2155,-635.73,0.3169,-0.1762
CME_CLOSE,5-15min,92,13.0,458,-0.2543,-116.47,0.3144,-0.2156
CME_CLOSE,15-30min,6,0.8,29,0.2583,7.49,0.4828,0.1844
CME_CLOSE,30-60min,6,0.8,35,0.0555,1.94,0.3714,0.037
CME_CLOSE,60-120min,0,0.0,0,,0.0,,
CME_CLOSE,120-240min,4,0.6,23,1.0811,24.87,0.7391,0.7302
CME_CLOSE,240+min,0,0.0,0,,0.0,,
CME_OPEN,0-5min,913,79.4,4741,-0.2982,-1413.96,0.2968,-0.2574
CME_OPEN,5-15min,116,10.1,599,-0.4218,-252.65,0.2538,-0.3993
CME_OPEN,15-30min,52,4.5,257,-0.4336,-111.44,0.2412,-0.4046
CME_OPEN,30-60min,23,2.0,138,-0.3848,-53.1,0.2609,-0.3452
CME_OPEN,60-120min,15,1.3,89,-0.1008,-8.97,0.4045,-0.0849
CME_OPEN,120-240min,8,0.7,44,-0.0267,-1.18,0.3864,-0.0199
