instrument,session,dst_regime,n_valid_orb,median_orb_size,mean_orb_size,pct_g4,pct_g5,pct_g6,pct_g8,band_g4g6_avgR,band_g4g6_n,band_g6g8_avgR,band_g6g8_n,band_g8p_avgR,band_g8p_n
MGC,0900,WINTER,891,1.7000,2.4649,0.1403,0.0920,0.0651,0.0269,0.0842,67,-0.0760,34,0.1250,24
MGC,0900,SUMMER,1690,2.3000,2.7752,0.1858,0.1018,0.0627,0.0266,0.1734,208,-0.2317,61,0.1148,45
MGC,0930,WINTER,892,2.5000,3.9793,0.3094,0.2354,0.1771,0.1211,0.2273,118,0.2774,50,-0.0211,106
MGC,0930,SUMMER,1690,2.6000,3.1094,0.2450,0.1402,0.0888,0.0396,0.2460,263,0.0754,83,0.0519,67
MGC,1000,ALL,2582,2.3000,3.1452,0.2378,0.1561,0.1084,0.0550,0.0624,334,0.1154,138,0.1460,140
MGC,1015,ALL,2581,1.9000,2.4440,0.1492,0.0872,0.0562,0.0217,0.1845,240,-0.1873,89,0.0765,56
MGC,1100,ALL,2581,2.0000,2.7712,0.1744,0.1104,0.0744,0.0399,0.0219,258,0.3202,88,-0.0090,103
MGC,1130,ALL,2581,1.5000,2.1867,0.0969,0.0562,0.0422,0.0240,-0.0360,141,0.0023,47,0.0478,62
MGC,1245,ALL,2581,1.1000,1.5594,0.0577,0.0337,0.0221,0.0101,0.0897,92,-0.1845,30,0.2141,25
MGC,1545,WINTER,1012,0.8000,1.3708,0.0474,0.0277,0.0188,0.0148,-0.2568,29,0.9816,4,0.2945,15
MGC,1545,SUMMER,1486,0.8000,1.0760,0.0242,0.0121,0.0081,0.0020,-0.0625,24,-0.7796,9,-1.0000,2
MGC,1615,WINTER,1001,0.7000,1.2595,0.0460,0.0320,0.0190,0.0140,-0.1194,27,-0.2783,5,0.1223,14
MGC,1615,SUMMER,1395,0.5000,0.7662,0.0100,0.0065,0.0036,0.0022,-0.4656,8,0.5000,2,-0.6416,3
MGC,1645,WINTER,1010,0.8000,1.2686,0.0446,0.0337,0.0188,0.0119,-0.2134,26,-0.5714,7,0.1179,10
MGC,1645,SUMMER,1449,0.6000,0.8539,0.0110,0.0048,0.0028,0.0007,-0.3648,12,1.0000,3,-1.0000,1
MGC,1800,WINTER,164,1.4000,3.1073,0.2073,0.1585,0.1280,0.0976,0.0704,12,0.2000,5,-0.1937,16
