instrument,existing_session,candidate_session,break_window,n_common_g4,n_both_broke,n_candidate_only,shared_break_pct,r_correlation,r_pvalue
MNQ,1000,1015,30,514,508,4,0.9922,0.1665,0.0002
MNQ,1000,1015,60,514,514,0,1.0000,0.1654,0.0002
MNQ,1000,1015,120,514,514,0,1.0000,0.1654,0.0002
MNQ,1000,1015,180,514,514,0,1.0000,0.1654,0.0002
MNQ,1000,1015,240,514,514,0,1.0000,0.1654,0.0002
MNQ,1000,1015,360,514,514,0,1.0000,0.1654,0.0002
MNQ,1130,1245,30,514,499,8,0.9842,0.0252,0.5736
MNQ,1130,1245,60,514,512,0,1.0000,0.0282,0.5249
MNQ,1130,1245,120,514,512,0,1.0000,0.0282,0.5249
MNQ,1130,1245,180,514,512,0,1.0000,0.0282,0.5249
MNQ,1130,1245,240,514,512,0,1.0000,0.0282,0.5249
MNQ,1130,1245,360,514,514,0,1.0000,0.0324,0.4633
MES,1000,1015,30,313,303,6,0.9806,0.2318,0.0000
MES,1000,1015,60,313,313,0,1.0000,0.2437,0.0000
MES,1000,1015,120,313,313,0,1.0000,0.2437,0.0000
MES,1000,1015,180,313,313,0,1.0000,0.2437,0.0000
MES,1000,1015,240,313,313,0,1.0000,0.2437,0.0000
MES,1000,1015,360,313,313,0,1.0000,0.2437,0.0000
