leader,follower,n_base,n_on,on_rate,avg_r_base,avg_r_on,avg_r_off,uplift_on_vs_off,wr_on,wr_off
MES_0900,MES_CME_OPEN,697,613,0.8794835007173601,-0.26862596843615494,-0.21560603588907012,-0.655545238095238,0.4399392022061679,0.2626427406199021,0.11904761904761904
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,1154,794,0.6880415944540728,-0.22114913344887346,-0.13969483627204027,-0.4008011111111111,0.26110627483907084,0.2947103274559194,0.20833333333333334
M2K_1000,M2K_US_POST_EQUITY,990,498,0.503030303030303,-0.15672333333333333,-0.039178112449799206,-0.2757020325203252,0.236523920070526,0.3032128514056225,0.22967479674796748
MES_CME_OPEN,MES_0900,1701,541,0.31804820693709585,-0.2740553203997649,-0.13141682070240293,-0.3405789655172414,0.2091621448148385,0.2902033271719039,0.25517241379310346
M6E_1800,M2K_US_EQUITY_OPEN,840,408,0.4857142857142857,-0.28044749999999996,-0.17414117647058824,-0.3808479166666667,0.20670674019607843,0.25245098039215685,0.18981481481481483
MES_1000,M2K_US_POST_EQUITY,985,493,0.500507614213198,-0.15870192893401017,-0.05883732251521298,-0.2587695121951219,0.19993218967990892,0.29817444219066935,0.23373983739837398
M2K_1100,MES_1100,1278,1006,0.7871674491392802,-0.31437949921752745,-0.2750018886679921,-0.46001875000000003,0.18501686133200795,0.2624254473161034,0.20220588235294118
MES_1000,M2K_US_EQUITY_OPEN,836,413,0.49401913875598086,-0.27700466507177035,-0.1848,-0.36702955082742317,0.18222955082742318,0.24939467312348668,0.1938534278959811
MES_1000,M2K_US_DATA_OPEN,1154,571,0.4948006932409012,-0.22114913344887346,-0.13164185639229423,-0.3088140651801029,0.17717220878780868,0.29772329246935203,0.23842195540308747
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,990,505,0.51010101010101,-0.15672333333333333,-0.07967485148514851,-0.23694907216494845,0.15727422067979996,0.29108910891089107,0.24123711340206186
M2K_CME_OPEN,M2K_LONDON_OPEN,1277,183,0.14330462020360218,-0.19923210649960846,-0.06790054644808742,-0.22120073126142598,0.15330018481333857,0.3224043715846995,0.2742230347349177
M2K_1000,MES_1000,1282,1007,0.7854914196567863,-0.20441466458658344,-0.1716836146971201,-0.32426981818181816,0.15258620348469806,0.2840119165839126,0.24363636363636362
M6E_US_POST_EQUITY,M2K_0030,1031,359,0.34820562560620755,-0.249525509214355,-0.1519211699164345,-0.3016683035714286,0.1497471336549941,0.27298050139275765,0.22172619047619047
