leader,follower,train_years,test_year,n_train_on,n_test_on,train_uplift,test_uplift,test_avg_on,test_wr_on
MNQ_0900,MES_1000,2016-2024,2025,104,117,0.0022919903709377187,0.7371701282051282,0.2730051282051282,0.41025641025641024
MES_0900,MES_1000,2016-2024,2025,697,118,0.017183223302821238,0.5780557919765882,0.18407881355932199,0.3813559322033898
MES_0900,MNQ_1000,2016-2024,2025,108,129,0.2147830687830688,0.4733053525286084,0.20437519379844965,0.3643410852713178
MES_0900,MES_1100,2016-2024,2025,748,124,0.0923445817544356,0.4671933082984487,0.10306048387096776,0.3870967741935484
MNQ_0900,MNQ_1000,2016-2024,2025,108,130,0.10203214285714288,0.4625768,0.19726,0.36153846153846153
MNQ_0900,MES_1100,2016-2024,2025,114,123,-0.2625401159486188,0.40736361788617886,0.07392195121951223,0.37398373983739835
MGC_1000,MNQ_1100,2016-2024,2025,103,135,-0.0983602016430172,0.33744824609733703,0.16740444444444447,0.362962962962963
MGC_0900,MNQ_1000,2016-2024,2025,94,115,0.02429916413373861,0.3195947204968945,0.14597043478260877,0.34782608695652173
MES_0900,MNQ_1100,2016-2024,2025,115,119,-0.18440624170965367,0.30248947432987794,0.16978655462184875,0.36134453781512604
MNQ_0900,MNQ_1100,2016-2024,2025,111,128,-0.019644993354009696,0.21453359374999997,0.11517421875,0.34375
MES_2300,MES_0030,2016-2024,2025,671,111,0.11021683179633134,0.21375248325248325,0.048356756756756755,0.32432432432432434
MES_1000,MES_0030,2016-2024,2025,716,119,0.10842019643178946,0.20172331354560175,0.03510588235294116,0.31932773109243695
MGC_1100,MGC_2300,2016-2024,2025,1020,118,-0.029599241425183664,0.18747631578947366,-0.18,0.2627118644067797
MGC_0900,MES_0030,2016-2024,2025,638,119,-0.06976494237903189,0.16088686300208152,0.015583193277310918,0.31092436974789917
MES_1100,MGC_1800,2016-2024,2025,744,117,0.08709948392846878,0.1467560113960114,-0.051629914529914535,0.3247863247863248
MNQ_1000,MES_0030,2016-2024,2025,111,112,0.2332813267144696,0.14279458128078815,0.011317857142857126,0.3125
MNQ_1000,MNQ_1100,2016-2024,2025,117,118,-0.1433028809313292,0.11656967575534266,0.0707457627118644,0.3305084745762712
MNQ_1100,MNQ_0030,2016-2024,2025,102,109,-0.26291813725490204,0.08400611620795109,-0.09276055045871562,0.26605504587155965
MGC_0900,MGC_1100,2016-2024,2025,1049,123,-0.003505911585445942,0.07761477474173242,-0.11329349593495933,0.2926829268292683
MNQ_2300,MES_0030,2016-2024,2025,95,109,0.4423293303363163,0.07557678667797392,-0.021886238532110105,0.30275229357798167
MES_1000,MES_1100,2016-2024,2025,757,111,-0.019693731783072044,0.07052858483483486,-0.09712072072072071,0.3153153153153153
MNQ_1000,MES_1100,2016-2024,2025,111,115,-0.14476916356011177,0.0698223602484472,-0.09861478260869565,0.3130434782608696
MGC_1000,MES_1100,2016-2024,2025,719,144,0.07860520546535732,0.06841163663663662,-0.10716944444444447,0.3125
MES_2300,MNQ_0030,2016-2024,2025,90,110,0.1941457407407407,0.06402011131725414,-0.1025809090909091,0.2636363636363636
MGC_0900,MGC_1800,2016-2024,2025,1069,112,0.017078014122075547,0.06077589285714287,-0.09648482142857141,0.30357142857142855
MNQ_0900,MES_0030,2016-2024,2025,111,115,0.15504807501378934,0.05214931127356674,-0.03548608695652175,0.2956521739130435
MNQ_1100,MGC_1800,2016-2024,2025,110,124,0.038785719163465626,0.04990307459677418,-0.10490161290322583,0.3064516129032258
MES_1000,MNQ_0030,2016-2024,2025,109,107,-0.22485868467168332,0.044826390302581676,-0.11097757009345793,0.2616822429906542
MGC_1000,MES_0030,2016-2024,2025,647,118,0.02020273451432647,0.04298060092449922,-0.04059576271186442,0.2966101694915254
MES_0900,MNQ_0030,2016-2024,2025,101,105,0.09629691742370117,0.02449349976883955,-0.12061523809523811,0.2571428571428571
MNQ_0900,MNQ_0030,2016-2024,2025,103,109,-0.2191384670413899,0.024202502085070923,-0.12122477064220182,0.25688073394495414
MES_1800,MES_0030,2016-2024,2025,659,106,-0.0955731512093656,0.017692282709557687,-0.05186509433962264,0.29245283018867924
MGC_0900,MGC_1000,2016-2024,2025,1061,122,-0.027526840619557957,0.015439592647789394,-0.09755737704918031,0.319672131147541
MES_1000,MNQ_1100,2016-2024,2025,120,115,-0.25078211651917404,0.008483546099290789,0.012580000000000011,0.3130434782608696
MES_0900,MES_0030,2016-2024,2025,645,107,-0.018359914291163237,0.007939159650884361,-0.05711869158878506,0.2897196261682243
MGC_1000,MGC_1100,2016-2024,2025,1141,114,0.007166534872561581,-0.0002085124783789971,-0.15373245614035086,0.2807017543859649
MNQ_0900,MGC_1000,2016-2024,2025,115,124,0.07517672278067089,-0.0292469230769231,-0.12055000000000002,0.31451612903225806
MES_1100,MNQ_0030,2016-2024,2025,103,108,-0.2818145222278999,-0.03423185185185183,-0.14920185185185184,0.25
MES_1800,MGC_2300,2016-2024,2025,686,134,0.10148614631640962,-0.03908868413036862,-0.28863358208955225,0.23134328358208955
MNQ_1800,MES_0030,2016-2024,2025,101,99,0.3859839275263559,-0.042672656800563785,-0.08547575757575757,0.2828282828282828
MES_1000,MGC_2300,2016-2024,2025,646,109,0.0207715925910264,-0.04353099873200572,-0.2952009174311927,0.22935779816513763
MGC_0900,MES_1100,2016-2024,2025,714,128,-0.10825675144582553,-0.04646621555118115,-0.16009062500000001,0.296875
MNQ_1100,MGC_2300,2016-2024,2025,108,116,0.10801645786533035,-0.04647327586206901,-0.2953586206896552,0.23275862068965517
MGC_0900,MES_1000,2016-2024,2025,709,122,-0.11494306746327312,-0.05021923497267759,-0.15494590163934427,0.2786885245901639
MNQ_1000,MGC_1100,2016-2024,2025,120,128,0.08000336233929128,-0.050322656250000014,-0.178778125,0.2734375
MES_0900,MGC_2300,2016-2024,2025,638,106,0.08912687432357635,-0.05747662473794554,-0.30333773584905666,0.22641509433962265
MGC_0900,MGC_2300,2016-2024,2025,996,111,0.036743538129463016,-0.0760284937830393,-0.31177477477477483,0.22522522522522523
MGC_0900,MNQ_0030,2016-2024,2025,96,107,0.14105067401960789,-0.07997168501896916,-0.1715766355140187,0.24299065420560748
MGC_1800,MES_0030,2016-2024,2025,647,122,0.026186792228505784,-0.09309166408908133,-0.10461147540983606,0.2786885245901639
MES_0900,MGC_1100,2016-2024,2025,719,124,0.03252797261713808,-0.09591893939393939,-0.203075,0.2661290322580645
MGC_0900,MNQ_1100,2016-2024,2025,112,131,-0.0796286525974026,-0.10105664122137406,-0.04143664122137405,0.29770992366412213
MNQ_0900,MGC_1100,2016-2024,2025,103,125,0.02432071272918379,-0.10165115725190839,-0.2056336,0.264
MNQ_1000,MNQ_0030,2016-2024,2025,100,104,-0.22722922448979593,-0.10309038461538464,-0.1842894230769231,0.2403846153846154
MES_0900,MGC_1000,2016-2024,2025,711,123,-0.00405477107402652,-0.10463962018246138,-0.15954878048780488,0.3008130081300813
MES_1000,MGC_1100,2016-2024,2025,742,123,-0.028961682234616093,-0.10693714163457423,-0.2091739837398374,0.2601626016260163
MGC_1800,MGC_2300,2016-2024,2025,1034,124,0.022853526557657766,-0.11354650537634411,-0.32497983870967745,0.21774193548387097
MNQ_1800,MGC_2300,2016-2024,2025,99,137,0.1587003924695875,-0.1265632347291586,-0.3239474452554744,0.21897810218978103
MNQ_1100,MES_0030,2016-2024,2025,100,115,0.2711011132686084,-0.12732063870719507,-0.12443391304347826,0.26956521739130435
MNQ_0900,MGC_1800,2016-2024,2025,118,113,-0.11957220562628795,-0.12832538358693574,-0.2010318584070796,0.2743362831858407
MES_1100,MES_0030,2016-2024,2025,652,115,0.03113346069673162,-0.13554056944978835,-0.1285078260869565,0.26956521739130435
MNQ_2300,MNQ_0030,2016-2024,2025,91,107,0.23886567731334085,-0.14919467012121773,-0.20518971962616825,0.2336448598130841
MGC_1800,MNQ_0030,2016-2024,2025,95,126,-0.0599474399591211,-0.1527452574525745,-0.19296111111111108,0.23809523809523808
MGC_1000,MGC_1800,2016-2024,2025,1107,118,0.09434607739722589,-0.15471247154060208,-0.21251694915254238,0.2711864406779661
MGC_1000,MNQ_0030,2016-2024,2025,99,104,0.20857676767676764,-0.16082884615384618,-0.21315865384615387,0.23076923076923078
MNQ_0900,MGC_2300,2016-2024,2025,100,107,0.1065434068146619,-0.18418020934579432,-0.3713570093457943,0.205607476635514
MES_0900,MGC_1800,2016-2024,2025,688,105,0.03785925137856627,-0.195927074829932,-0.24454,0.2571428571428571
MNQ_1000,MGC_2300,2016-2024,2025,93,106,0.21097378534448424,-0.21477144354597183,-0.38876509433962264,0.19811320754716982
MES_1000,MGC_1800,2016-2024,2025,761,126,0.13592753298700416,-0.23277142857142857,-0.24663492063492065,0.25396825396825395
MES_1100,MGC_2300,2016-2024,2025,667,121,0.0976397110933584,-0.256086821532276,-0.3946462809917355,0.19834710743801653
MGC_1100,MGC_1800,2016-2024,2025,1125,131,-0.022112793223716953,-0.2597511576556685,-0.25497099236641224,0.2595419847328244
MES_1800,MNQ_0030,2016-2024,2025,94,102,0.24765382569558103,-0.2616927118017018,-0.26610686274509804,0.21568627450980393
MGC_1100,MES_0030,2016-2024,2025,676,106,0.029633726017572137,-0.2708567738942159,-0.20626415094339626,0.24528301886792453
MNQ_1800,MNQ_0030,2016-2024,2025,89,93,0.22713238841356562,-0.31250539504441327,-0.3055236559139785,0.20430107526881722
MGC_2300,MES_0030,2016-2024,2025,655,113,0.014053195233771604,-0.33188311658330133,-0.22872920353982304,0.23893805309734514
MGC_1000,MGC_2300,2016-2024,2025,1020,117,0.020402437966337006,-0.33991712374581945,-0.4406153846153847,0.1794871794871795
MNQ_1000,MGC_1800,2016-2024,2025,117,120,0.14481739273967256,-0.3443712878787879,-0.31063416666666666,0.23333333333333334
MGC_1100,MNQ_0030,2016-2024,2025,106,100,0.05230812141099264,-0.4237591111111111,-0.35277299999999995,0.19
MGC_2300,MNQ_0030,2016-2024,2025,103,105,0.12004554931016864,-0.5067286916319926,-0.383672380952381,0.18095238095238095
