leader,follower,n_base,n_on,on_rate,avg_r_base,avg_r_on,avg_r_off,uplift_on_vs_base,uplift_on_vs_off,wr_base,wr_on,wr_off
MES_0900,MNQ_1000,512,252,0.4921875,0.0006003906250000024,0.16234920634920638,-0.15617153846153847,0.16174881572420638,0.3185207448107449,0.30859375,0.35714285714285715,0.26153846153846155
MNQ_2300,MES_0030,1585,211,0.1331230283911672,-0.13733722397476342,0.1022260663507109,-0.17412605531295486,0.2395632903254743,0.27635212166366574,0.273186119873817,0.3459715639810427,0.26200873362445415
MNQ_0900,MES_1000,1796,232,0.1291759465478842,-0.1877968262806236,0.05205905172413793,-0.22337647058823532,0.23985587800476155,0.2754355223123732,0.28229398663697103,0.35344827586206895,0.2717391304347826
MNQ_0900,MNQ_1000,512,251,0.490234375,0.0006003906250000024,0.12844223107569722,-0.12234329501915707,0.12784184045069721,0.25078552609485427,0.30859375,0.3466135458167331,0.2720306513409962
MNQ_1000,MES_0030,1585,231,0.14574132492113565,-0.13733722397476342,0.04314805194805194,-0.16812902511078287,0.18048527592281535,0.2112770770588348,0.273186119873817,0.3246753246753247,0.26440177252584934
MNQ_1800,MES_0030,1585,208,0.13123028391167194,-0.13733722397476342,0.03474038461538461,-0.1633300653594771,0.17207760859014803,0.19807044997486173,0.273186119873817,0.32211538461538464,0.2657952069716776
MGC_0900,MNQ_1000,512,217,0.423828125,0.0006003906250000024,0.10987834101382489,-0.07978372881355933,0.10927795038882489,0.1896620698273842,0.30859375,0.34101382488479265,0.2847457627118644
MGC_1000,MNQ_1100,512,250,0.48828125,-0.015373437500000003,0.07608520000000002,-0.10264312977099237,0.09145863750000002,0.1787283297709924,0.30859375,0.336,0.2824427480916031
MNQ_0900,MGC_1000,2547,247,0.09697683549273656,-0.36728653317628585,-0.2107425101214575,-0.384098,0.15654402305482834,0.1733554898785425,0.28857479387514723,0.30364372469635625,0.28695652173913044
MNQ_1000,MGC_1100,2525,260,0.10297029702970296,-0.2886754851485149,-0.15221423076923077,-0.30433991169977925,0.1364612543792841,0.15212568093054848,0.2883168316831683,0.2923076923076923,0.2878587196467991
MNQ_1100,MGC_1800,2516,247,0.09817170111287758,-0.3299538950715421,-0.1953910931174089,-0.3446022036139268,0.1345628019541332,0.1492111104965179,0.2802066772655008,0.2874493927125506,0.2794182459233142
MES_0900,MES_1100,1787,889,0.4974818130945719,-0.27530173475097935,-0.20382058492688415,-0.3460664810690423,0.0714811498240952,0.14224589614215816,0.26357022943480696,0.29021372328458944,0.23719376391982183
MNQ_1100,MES_0030,1585,224,0.14132492113564668,-0.13733722397476342,-0.016323660714285728,-0.1572542248346804,0.12101356326047769,0.14093056412039467,0.273186119873817,0.30357142857142855,0.26818515797207937
MNQ_0900,MES_0030,1585,230,0.14511041009463724,-0.13733722397476342,-0.026312608695652166,-0.15618273062730628,0.11102461527911126,0.12987012193165412,0.273186119873817,0.3,0.2686346863468635
MES_2300,MES_0030,1585,793,0.5003154574132492,-0.13733722397476342,-0.07436582597730139,-0.2003881313131313,0.06297139799746203,0.12602230533582992,0.273186119873817,0.2938209331651955,0.25252525252525254
MES_1000,MES_0030,1585,844,0.5324921135646687,-0.13733722397476342,-0.08588992890995263,-0.1959357624831309,0.051447295064810786,0.11004583357317828,0.273186119873817,0.2890995260663507,0.2550607287449393
MES_1000,MGC_1800,2516,901,0.3581081081081081,-0.3299538950715421,-0.2597267480577137,-0.3691332507739938,0.07022714701382843,0.10940650271628011,0.2802066772655008,0.290788013318535,0.2743034055727554
MES_1100,MGC_1800,2516,874,0.34737678855325915,-0.3299538950715421,-0.26011853546910757,-0.3671257003654081,0.06983535960243453,0.10700716489630052,0.2802066772655008,0.2917620137299771,0.2740560292326431
MNQ_0900,MNQ_1100,512,253,0.494140625,-0.015373437500000003,0.03837075098814231,-0.06787258687258685,0.053744188488142317,0.10624333786072916,0.30859375,0.3241106719367589,0.29343629343629346
MNQ_0900,MGC_1100,2525,237,0.09386138613861386,-0.2886754851485149,-0.1998396624472574,-0.29787744755244755,0.08883582270125748,0.09803778510519015,0.2883168316831683,0.2742616033755274,0.2897727272727273
MES_0900,MES_1000,1796,831,0.4626948775055679,-0.1877968262806236,-0.13850168471720817,-0.23024683937823834,0.04929514156341544,0.09174515466103017,0.28229398663697103,0.2972322503008424,0.2694300518134715
MNQ_1000,MGC_1800,2516,250,0.09936406995230525,-0.3299538950715421,-0.2503044,-0.3387413503971756,0.07964949507154212,0.08843695039717564,0.2802066772655008,0.272,0.28111209179170343
MGC_1000,MES_1100,1787,876,0.4902070509233352,-0.27530173475097935,-0.2304858447488585,-0.31839582875960487,0.044815890002120856,0.08790998401074637,0.26357022943480696,0.2808219178082192,0.24698133918770582
MES_2300,MNQ_0030,423,211,0.4988179669030733,-0.029734278959810893,0.011525118483412318,-0.07079905660377359,0.04125939744322321,0.0823241750871859,0.2860520094562648,0.2985781990521327,0.27358490566037735
