filter,symbol,session,train_years,test_year,n_train_on,n_test_on,train_uplift,test_uplift,train_avg_on,test_avg_on,test_wr_on
continue_only,MGC,0900,2016-2024,2025,1110,243,0.1559279479574182,0.9532732510288066,-0.4252536036036036,-0.04672674897119341,0.345679012345679
continue_only,MNQ,0900,2016-2024,2025,216,241,0.2114037037037037,0.9028647302904564,-0.05267129629629629,-0.09713526970954356,0.27800829875518673
continue_only,MES,1000,2016-2024,2025,1244,255,0.05671369339748089,0.8782686274509804,-0.19412427652733116,-0.1217313725490196,0.28627450980392155
continue_only,MES,1100,2016-2024,2025,1237,253,-0.006291602895678983,0.8698739130434783,-0.3038637833468068,-0.13012608695652175,0.30434782608695654
continue_only,MGC,1100,2016-2024,2025,1247,254,0.06439006255654212,0.8530476377952756,-0.2831196471531676,-0.14695236220472438,0.28346456692913385
continue_only,MES,0900,2016-2024,2025,1169,239,0.11078106589438352,0.7556276150627614,-0.2647773310521814,-0.2443723849372385,0.25523012552301255
one_way_proxy,MES,1000,2016-2024,2025,257,86,0.14084487812906615,0.48250830273357803,-0.08724163424124513,0.1924802325581395,0.37209302325581395
fast_break_only,MES,1000,2016-2024,2025,1089,213,0.020474569709184237,0.18949470763977808,-0.19840642791551882,-0.09612347417840375,0.29577464788732394
one_way_proxy,MGC,0900,2016-2024,2025,208,153,0.3803973156437743,0.16446188725490196,-0.15742596153846156,-0.006290196078431368,0.33986928104575165
continue_only,MGC,1000,2016-2024,2025,1216,249,0.09604817188983855,0.15496947791164656,-0.357775,-0.10253052208835343,0.3172690763052209
one_way_proxy,MES,0900,2016-2024,2025,235,102,0.22396235999430728,0.12671303507318424,-0.09787702127659573,-0.18611372549019603,0.2549019607843137
one_way_proxy,MES,1100,2016-2024,2025,260,93,0.1661772470449904,0.07571672640382315,-0.1653196153846154,-0.08884623655913981,0.2903225806451613
fast_break_only,MNQ,0900,2016-2024,2025,179,205,-0.16472316391879005,0.014059090309821984,-0.08721340782122905,-0.09871658536585366,0.2780487804878049
fast_break_only,MES,0900,2016-2024,2025,1005,207,-0.002867821456099706,-0.008633268050659393,-0.2859138308457711,-0.2611657004830918,0.25120772946859904
fast_break_only,MGC,0900,2016-2024,2025,971,211,0.07601402176496319,-0.0453154277874782,-0.45935746652935117,-0.07661279620853081,0.33649289099526064
one_way_proxy,MGC,1100,2016-2024,2025,246,183,0.2083078203252032,-0.05112001646829854,-0.12626747967479676,-0.16819398907103825,0.2677595628415301
one_way_proxy,MGC,1000,2016-2024,2025,268,192,0.1923999591622099,-0.07844529569892475,-0.2326742537313433,-0.12472916666666667,0.296875
fast_break_only,MES,1100,2016-2024,2025,1134,228,0.05789915042801219,-0.12584775828460035,-0.28853553791887127,-0.1502736842105263,0.2982456140350877
fast_break_only,MGC,1000,2016-2024,2025,1098,228,0.09412838100171261,-0.1295755060728745,-0.3537707650273224,-0.11884473684210527,0.3157894736842105
fast_break_only,MGC,1100,2016-2024,2025,1076,229,0.03890588901598191,-0.18079626394953904,-0.2914926579925651,-0.17268515283842795,0.27510917030567683
fast_break_only,MNQ,1000,2016-2024,2025,206,221,0.3438199029126213,-0.23018122171945704,0.046119902912621386,-0.060184162895927616,0.2850678733031674
fast_break_only,MNQ,1100,2016-2024,2025,208,231,-0.09677328846153847,-0.6093471341991342,-0.09620528846153845,-0.05159913419913418,0.2943722943722944
continue_only,MNQ,1000,2016-2024,2025,233,253,1.0092922746781117,-0.689450790513834,0.009292274678111606,-0.034900790513833976,0.2924901185770751
continue_only,MNQ,1100,2016-2024,2025,231,254,-0.5149419913419913,-2.02198937007874,-0.09024199134199132,-0.007889370078740156,0.30708661417322836
