filter,symbol,session,year,n_on,avg_r_on,avg_r_base,uplift
one_way_proxy,MES,0900,2020,74,0.2134689189189189,-0.01046188524590166,0.22393080416482056
one_way_proxy,MES,0900,2021,43,-0.4956488372093023,-0.32804877049180325,-0.16760006671749905
one_way_proxy,MES,0900,2022,58,-0.1285310344827586,-0.3267930327868852,0.1982619983041266
one_way_proxy,MES,0900,2023,19,0.16689473684210523,-0.42266829268292677,0.589563029525032
one_way_proxy,MES,0900,2024,41,-0.32197804878048775,-0.2366330543933054,-0.08534499438718235
one_way_proxy,MES,0900,2025,102,-0.18611372549019603,-0.25985655737704916,0.07374283188685313
one_way_proxy,MES,0900,2026,13,-0.029592307692307696,0.19838076923076922,-0.22797307692307692
one_way_proxy,MES,1000,2020,90,-0.11443555555555558,-0.08655551181102361,-0.02788004374453197
one_way_proxy,MES,1000,2021,34,0.1073058823529412,-0.14741860465116283,0.254724487004104
one_way_proxy,MES,1000,2022,98,-0.15561122448979592,-0.152718992248062,-0.0028922322417339053
one_way_proxy,MES,1000,2023,9,-0.32615555555555553,-0.3004396887159533,-0.025715866839602253
one_way_proxy,MES,1000,2024,26,0.09288461538461536,-0.2901933852140078,0.3830780005986231
one_way_proxy,MES,1000,2025,86,0.1924802325581395,-0.12856614785992218,0.32104638041806166
one_way_proxy,MES,1000,2026,10,0.2644699999999999,0.13696206896551721,0.1275079310344827
one_way_proxy,MES,1100,2020,104,0.06252115384615384,-0.10244347826086958,0.16496463210702342
one_way_proxy,MES,1100,2021,44,-0.3476818181818182,-0.2699086274509804,-0.07777319073083783
one_way_proxy,MES,1100,2022,83,-0.39833975903614455,-0.27898715953307396,-0.11935259950307059
one_way_proxy,MES,1100,2023,9,-0.33892222222222224,-0.3734488372093023,0.03452661498708004
one_way_proxy,MES,1100,2024,20,0.09626000000000001,-0.500555252918288,0.596815252918288
one_way_proxy,MES,1100,2025,93,-0.08884623655913981,-0.13694862745098044,0.048102390891840624
one_way_proxy,MES,1100,2026,10,0.23852,-0.06926206896551726,0.3077820689655173
one_way_proxy,MGC,0900,2020,66,0.05932878787878787,-0.29113206751054854,0.3504608553893364
one_way_proxy,MGC,0900,2021,40,-0.3555425,-0.57135,0.21580750000000004
one_way_proxy,MGC,0900,2022,26,-0.07734615384615386,-0.46030622406639005,0.3829600702202362
one_way_proxy,MGC,0900,2023,32,-0.16275312500000003,-0.4301515021459228,0.26739837714592274
one_way_proxy,MGC,0900,2024,44,-0.3458977272727273,-0.43650409836065573,0.09060637108792846
one_way_proxy,MGC,0900,2025,153,-0.006290196078431368,-0.06969718875502007,0.0634069926765887
one_way_proxy,MGC,0900,2026,17,0.5592764705882353,0.5106454545454546,0.04863101604278064
one_way_proxy,MGC,1000,2020,103,-0.13821262135922327,-0.289036328125,0.15082370676577675
one_way_proxy,MGC,1000,2021,41,-0.5028048780487805,-0.3972216535433071,-0.10558322450547342
one_way_proxy,MGC,1000,2022,43,-0.27473720930232554,-0.3573949416342413,0.08265773233191576
one_way_proxy,MGC,1000,2023,26,-0.48571538461538455,-0.40545859375000004,-0.08025679086538451
one_way_proxy,MGC,1000,2024,55,-0.05569999999999998,-0.29511764705882354,0.23941764705882357
one_way_proxy,MGC,1000,2025,192,-0.12472916666666667,-0.10558110236220473,-0.019148064304461934
one_way_proxy,MGC,1000,2026,21,0.18799047619047618,0.177875,0.010115476190476175
one_way_proxy,MGC,1100,2020,77,-0.28828051948051947,-0.2201421686746988,-0.06813835080582067
one_way_proxy,MGC,1100,2021,49,-0.4715591836734694,-0.3416792828685259,-0.1298799008049435
one_way_proxy,MGC,1100,2022,28,-0.16689642857142856,-0.33093882352941173,0.16404239495798317
one_way_proxy,MGC,1100,2023,18,-0.3335666666666667,-0.36660583657587553,0.033039169909208854
one_way_proxy,MGC,1100,2024,74,0.33675,-0.17289446640316206,0.5096444664031621
one_way_proxy,MGC,1100,2025,183,-0.16819398907103825,-0.153616796875,-0.014577192196038258
one_way_proxy,MGC,1100,2026,22,0.5287590909090909,0.462291304347826,0.0664677865612649
one_way_proxy,MNQ,0900,2024,22,0.2237636363636364,-0.056514999999999996,0.28027863636363637
one_way_proxy,MNQ,0900,2025,71,-0.09186338028169015,-0.10086611570247933,0.009002735420789179
one_way_proxy,MNQ,0900,2026,8,0.26039999999999996,0.36838235294117644,-0.10798235294117647
one_way_proxy,MNQ,1000,2024,25,0.08462800000000001,0.004979059829059832,0.07964894017094018
one_way_proxy,MNQ,1000,2025,74,0.0492162162162162,-0.029493333333333316,0.0787095495495495
one_way_proxy,MNQ,1000,2026,8,1.1063874999999999,0.2897,0.8166874999999998
one_way_proxy,MNQ,1100,2024,20,0.67515,-0.08582188841201714,0.7609718884120171
one_way_proxy,MNQ,1100,2025,75,0.079684,0.007907421875,0.071776578125
one_way_proxy,MNQ,1100,2026,9,0.4925888888888889,0.4391739130434783,0.053414975845410606
fast_break_only,MES,0900,2020,207,-0.03599661835748792,-0.01046188524590166,-0.02553473311158626
fast_break_only,MES,0900,2021,199,-0.421321608040201,-0.32804877049180325,-0.09327283754839777
fast_break_only,MES,0900,2022,205,-0.299580487804878,-0.3267930327868852,0.027212544982007203
fast_break_only,MES,0900,2023,195,-0.4036728205128205,-0.42266829268292677,0.018995472170106276
fast_break_only,MES,0900,2024,199,-0.2809994974874372,-0.2366330543933054,-0.04436644309413179
fast_break_only,MES,0900,2025,207,-0.2611657004830918,-0.25985655737704916,-0.0013091431060426317
fast_break_only,MES,0900,2026,17,0.2584235294117647,0.19838076923076922,0.0600427601809955
fast_break_only,MES,1000,2020,208,-0.1556134615384615,-0.08655551181102361,-0.0690579497274379
fast_break_only,MES,1000,2021,214,-0.14440046728971964,-0.14741860465116283,0.003018137361443185
fast_break_only,MES,1000,2022,224,-0.16115312499999998,-0.152718992248062,-0.008434132751937967
fast_break_only,MES,1000,2023,230,-0.3017334782608696,-0.3004396887159533,-0.001293789544916324
fast_break_only,MES,1000,2024,213,-0.2220577464788733,-0.2901933852140078,0.06813563873513448
fast_break_only,MES,1000,2025,213,-0.09612347417840375,-0.12856614785992218,0.03244267368151843
fast_break_only,MES,1000,2026,24,0.23864166666666672,0.13696206896551721,0.10167959770114951
fast_break_only,MES,1100,2020,216,-0.09697546296296296,-0.10244347826086958,0.005468015297906623
fast_break_only,MES,1100,2021,226,-0.2417672566371681,-0.2699086274509804,0.028141370813812266
fast_break_only,MES,1100,2022,235,-0.28778936170212766,-0.27898715953307396,-0.008802202169053697
fast_break_only,MES,1100,2023,237,-0.3313185654008439,-0.3734488372093023,0.04213027180845835
fast_break_only,MES,1100,2024,220,-0.47936454545454543,-0.500555252918288,0.02119070746374252
fast_break_only,MES,1100,2025,228,-0.1502736842105263,-0.13694862745098044,-0.013325056759545872
fast_break_only,MES,1100,2026,24,-0.01403749999999998,-0.06926206896551726,0.05522456896551728
fast_break_only,MGC,0900,2020,202,-0.30214653465346536,-0.29113206751054854,-0.011014467142916817
fast_break_only,MGC,0900,2021,203,-0.5448103448275862,-0.57135,0.026539655172413856
fast_break_only,MGC,0900,2022,196,-0.525019387755102,-0.46030622406639005,-0.064713163688712
fast_break_only,MGC,0900,2023,174,-0.5292137931034483,-0.4301515021459228,-0.0990622909575255
fast_break_only,MGC,0900,2024,196,-0.4051989795918367,-0.43650409836065573,0.03130511876881903
fast_break_only,MGC,0900,2025,211,-0.07661279620853081,-0.06969718875502007,-0.006915607453510747
fast_break_only,MGC,0900,2026,17,0.5592764705882353,0.5106454545454546,0.04863101604278064
fast_break_only,MGC,1000,2020,228,-0.2784328947368421,-0.289036328125,0.010603433388157946
fast_break_only,MGC,1000,2021,218,-0.37200137614678896,-0.3972216535433071,0.02522027739651811
fast_break_only,MGC,1000,2022,225,-0.36274666666666666,-0.3573949416342413,-0.0053517250324253696
fast_break_only,MGC,1000,2023,211,-0.4270682464454976,-0.40545859375000004,-0.021609652695497583
fast_break_only,MGC,1000,2024,216,-0.33394398148148147,-0.29511764705882354,-0.03882633442265793
fast_break_only,MGC,1000,2025,228,-0.11884473684210527,-0.10558110236220473,-0.013263634479900532
fast_break_only,MGC,1000,2026,21,0.18799047619047618,0.177875,0.010115476190476175
fast_break_only,MGC,1100,2020,184,-0.27089239130434783,-0.2201421686746988,-0.05075022262964904
fast_break_only,MGC,1100,2021,206,-0.3542160194174757,-0.3416792828685259,-0.012536736548949823
fast_break_only,MGC,1100,2022,227,-0.3080784140969163,-0.33093882352941173,0.022860409432495454
fast_break_only,MGC,1100,2023,231,-0.38289350649350645,-0.36660583657587553,-0.01628766991763092
fast_break_only,MGC,1100,2024,228,-0.1423298245614035,-0.17289446640316206,0.030564641841758555
fast_break_only,MGC,1100,2025,229,-0.17268515283842795,-0.153616796875,-0.019068355963427958
fast_break_only,MGC,1100,2026,22,0.5287590909090909,0.462291304347826,0.0664677865612649
fast_break_only,MNQ,0900,2024,179,-0.08721340782122905,-0.056514999999999996,-0.030698407821229054
fast_break_only,MNQ,0900,2025,205,-0.09871658536585366,-0.10086611570247933,0.0021495303366256685
fast_break_only,MNQ,0900,2026,13,0.2741,0.36838235294117644,-0.09428235294117643
fast_break_only,MNQ,1000,2024,206,0.046119902912621386,0.004979059829059832,0.04114084308356156
fast_break_only,MNQ,1000,2025,221,-0.060184162895927616,-0.029493333333333316,-0.0306908295625943
fast_break_only,MNQ,1000,2026,20,0.31830499999999995,0.2897,0.028604999999999936
fast_break_only,MNQ,1100,2024,208,-0.09620528846153845,-0.08582188841201714,-0.010383400049521305
fast_break_only,MNQ,1100,2025,231,-0.05159913419913418,0.007907421875,-0.05950655607413418
fast_break_only,MNQ,1100,2026,19,0.38309473684210527,0.4391739130434783,-0.05607917620137304
continue_only,MES,0900,2020,235,-0.018637872340425545,-0.01046188524590166,-0.008175987094523884
continue_only,MES,0900,2021,232,-0.30536810344827586,-0.32804877049180325,0.02268066704352739
continue_only,MES,0900,2022,239,-0.34787364016736405,-0.3267930327868852,-0.021080607380478844
continue_only,MES,0900,2023,229,-0.4262008733624454,-0.42266829268292677,-0.0035325806795186154
continue_only,MES,0900,2024,234,-0.22887863247863244,-0.2366330543933054,0.00775442191467296
continue_only,MES,0900,2025,239,-0.2443723849372385,-0.25985655737704916,0.01548417243981065
continue_only,MES,0900,2026,24,0.2982458333333333,0.19838076923076922,0.0998650641025641
continue_only,MES,1000,2020,249,-0.10216827309236948,-0.08655551181102361,-0.015612761281345866
continue_only,MES,1000,2021,243,-0.16297530864197532,-0.14741860465116283,-0.015556703990812493
continue_only,MES,1000,2022,255,-0.14275098039215686,-0.152718992248062,0.009968011855905151
continue_only,MES,1000,2023,249,-0.289214859437751,-0.3004396887159533,0.011224829278202286
continue_only,MES,1000,2024,248,-0.27432137096774195,-0.2901933852140078,0.01587201424626583
continue_only,MES,1000,2025,255,-0.1217313725490196,-0.12856614785992218,0.006834775310902583
continue_only,MES,1000,2026,29,0.13696206896551721,0.13696206896551721,0.0
continue_only,MES,1100,2020,250,-0.09167280000000003,-0.10244347826086958,0.010770678260869554
continue_only,MES,1100,2021,247,-0.2759570850202429,-0.2699086274509804,-0.006048457569262533
continue_only,MES,1100,2022,253,-0.2675877470355731,-0.27898715953307396,0.011399412497500871
continue_only,MES,1100,2023,239,-0.38498702928870293,-0.3734488372093023,-0.011538192079400655
continue_only,MES,1100,2024,248,-0.5043883064516129,-0.500555252918288,-0.0038330535333249705
continue_only,MES,1100,2025,253,-0.13012608695652175,-0.13694862745098044,0.006822540494458684
continue_only,MES,1100,2026,29,-0.06926206896551726,-0.06926206896551726,0.0
continue_only,MGC,0900,2020,226,-0.2636690265486726,-0.29113206751054854,0.027463040961875962
continue_only,MGC,0900,2021,227,-0.5792092511013216,-0.57135,-0.007859251101321574
continue_only,MGC,0900,2022,225,-0.44717511111111113,-0.46030622406639005,0.013131112955278912
continue_only,MGC,0900,2023,211,-0.3883526066350711,-0.4301515021459228,0.0417988955108517
continue_only,MGC,0900,2024,221,-0.4452714932126697,-0.43650409836065573,-0.008767394852013943
continue_only,MGC,0900,2025,243,-0.04672674897119341,-0.06969718875502007,0.02297043978382666
