instrument,session,test,threshold,label,n,avg_r,median_mfe,reach_0.5R,reach_1.0R,reach_1.5R,reach_2.0R,reach_2.5R,reach_3.0R,reach_4.0R
MGC,0900,follow_through_curve,Q1(0.1-0.6pt),"SIZE Q1 (0.1-0.6pt, N=208): avgR=-0.747 medianMFE=0.16R reach1R=14% reach2R=0% reach3R=0%",208,-0.7473461538461538,0.1613,0.2692307692307692,0.14423076923076922,0.07692307692307693,0.004807692307692308,0.004807692307692308,0.0,0.0
MGC,0900,follow_through_curve,Q2(0.6-1.1pt),"SIZE Q2 (0.6-1.1pt, N=258): avgR=-0.523 medianMFE=0.39R reach1R=25% reach2R=14% reach3R=1%",258,-0.5230135658914729,0.3909,0.4496124031007752,0.24806201550387597,0.20155038759689922,0.1434108527131783,0.04263565891472868,0.007751937984496124,0.003875968992248062
MGC,0900,follow_through_curve,Q3(1.1-2.1pt),"SIZE Q3 (1.1-2.1pt, N=254): avgR=-0.343 medianMFE=0.47R reach1R=32% reach2R=20% reach3R=5%",254,-0.34256614173228345,0.47314999999999996,0.484251968503937,0.3188976377952756,0.23622047244094488,0.2047244094488189,0.16141732283464566,0.051181102362204724,0.0
MGC,0900,follow_through_curve,Q4(2.1-99.6pt),"SIZE Q4 (2.1-99.6pt, N=250): avgR=0.037 medianMFE=0.51R reach1R=38% reach2R=27% reach3R=20%",250,0.036819600000000015,0.5142500000000001,0.504,0.38,0.3,0.268,0.236,0.2,0.02
MGC,1000,follow_through_curve,Q1(0.2-0.8pt),"SIZE Q1 (0.2-0.8pt, N=219): avgR=-0.521 medianMFE=0.46R reach1R=28% reach2R=11% reach3R=0%",219,-0.5205721461187215,0.4639,0.4794520547945205,0.2831050228310502,0.1963470319634703,0.1095890410958904,0.0136986301369863,0.0,0.0
MGC,1000,follow_through_curve,Q2(0.8-1.4pt),"SIZE Q2 (0.8-1.4pt, N=263): avgR=-0.398 medianMFE=0.40R reach1R=26% reach2R=18% reach3R=2%",263,-0.39783650190114067,0.4018,0.46387832699619774,0.2585551330798479,0.22053231939163498,0.18250950570342206,0.09885931558935361,0.022813688212927757,0.0
MGC,1000,follow_through_curve,Q3(1.4-2.5pt),"SIZE Q3 (1.4-2.5pt, N=253): avgR=-0.373 medianMFE=0.61R reach1R=37% reach2R=24% reach3R=8%",253,-0.3733292490118577,0.6061,0.5573122529644269,0.3715415019762846,0.2766798418972332,0.23715415019762845,0.1857707509881423,0.07905138339920949,0.011857707509881422
MGC,1000,follow_through_curve,Q4(2.5-59.3pt),"SIZE Q4 (2.5-59.3pt, N=264): avgR=0.144 medianMFE=0.90R reach1R=47% reach2R=33% reach3R=26%",264,0.14408030303030306,0.9034,0.6136363636363636,0.4734848484848485,0.39015151515151514,0.32954545454545453,0.2878787878787879,0.25757575757575757,0.022727272727272728
MGC,1800,follow_through_curve,Q1(0.2-1.1pt),"SIZE Q1 (0.2-1.1pt, N=238): avgR=-0.497 medianMFE=0.41R reach1R=30% reach2R=18% reach3R=1%",238,-0.49739159663865545,0.41455,0.4579831932773109,0.3025210084033613,0.2184873949579832,0.17647058823529413,0.07563025210084033,0.012605042016806723,0.0
MGC,1800,follow_through_curve,Q2(1.1-1.8pt),"SIZE Q2 (1.1-1.8pt, N=249): avgR=-0.331 medianMFE=0.82R reach1R=42% reach2R=27% reach3R=6%",249,-0.3312506024096386,0.8197,0.606425702811245,0.42168674698795183,0.321285140562249,0.26506024096385544,0.20883534136546184,0.05622489959839357,0.012048192771084338
MGC,1800,follow_through_curve,Q3(1.8-2.9pt),"SIZE Q3 (1.8-2.9pt, N=246): avgR=-0.267 medianMFE=0.74R reach1R=46% reach2R=28% reach3R=15%",246,-0.2667650406504065,0.7354499999999999,0.5813008130081301,0.45934959349593496,0.34959349593495936,0.2845528455284553,0.25203252032520324,0.15447154471544716,0.0040650406504065045
MGC,1800,follow_through_curve,Q4(2.9-39.5pt),"SIZE Q4 (2.9-39.5pt, N=252): avgR=-0.261 medianMFE=0.90R reach1R=46% reach2R=30% reach3R=20%",252,-0.2606416666666667,0.9015,0.6150793650793651,0.45634920634920634,0.36904761904761907,0.2976190476190476,0.2222222222222222,0.20238095238095238,0.031746031746031744
MNQ,0900,follow_through_curve,Q1(1.8-8.2pt),"SIZE Q1 (1.8-8.2pt, N=121): avgR=-0.017 medianMFE=0.62R reach1R=37% reach2R=26% reach3R=21%",121,-0.017473553719008272,0.6186,0.5619834710743802,0.371900826446281,0.30578512396694213,0.2644628099173554,0.23140495867768596,0.21487603305785125,0.03305785123966942
MNQ,0900,follow_through_curve,Q2(8.2-14.1pt),"SIZE Q2 (8.2-14.1pt, N=122): avgR=0.164 medianMFE=0.62R reach1R=34% reach2R=25% reach3R=24%",122,0.16424426229508196,0.6165499999999999,0.5491803278688525,0.3360655737704918,0.29508196721311475,0.2540983606557377,0.2459016393442623,0.23770491803278687,0.040983606557377046
MNQ,0900,follow_through_curve,Q3(14.1-23.2pt),"SIZE Q3 (14.1-23.2pt, N=118): avgR=-0.120 medianMFE=0.54R reach1R=34% reach2R=22% reach3R=18%",118,-0.1195949152542373,0.54215,0.5254237288135594,0.3389830508474576,0.2966101694915254,0.22033898305084745,0.2033898305084746,0.17796610169491525,0.03389830508474576
MNQ,0900,follow_through_curve,Q4(23.2-129.5pt),"SIZE Q4 (23.2-129.5pt, N=125): avgR=-0.098 medianMFE=0.33R reach1R=27% reach2R=20% reach3R=13%",125,-0.09834640000000001,0.3345,0.368,0.272,0.232,0.2,0.152,0.128,0.064
MNQ,1000,follow_through_curve,Q1(2.8-9.7pt),"SIZE Q1 (2.8-9.7pt, N=129): avgR=-0.353 medianMFE=0.66R reach1R=40% reach2R=25% reach3R=19%",129,-0.35328992248062013,0.6605,0.5736434108527132,0.3953488372093023,0.2868217054263566,0.24806201550387597,0.20155038759689922,0.1937984496124031,0.007751937984496124
MNQ,1000,follow_through_curve,Q2(9.7-14.0pt),"SIZE Q2 (9.7-14.0pt, N=127): avgR=-0.073 medianMFE=0.64R reach1R=38% reach2R=25% reach3R=18%",127,-0.07318188976377954,0.641,0.5748031496062992,0.3779527559055118,0.2992125984251969,0.25196850393700787,0.2125984251968504,0.18110236220472442,0.047244094488188976
MNQ,1000,follow_through_curve,Q3(14.0-21.8pt),"SIZE Q3 (14.0-21.8pt, N=131): avgR=0.342 medianMFE=0.72R reach1R=44% reach2R=32% reach3R=27%",131,0.34220152671755727,0.7181,0.5801526717557252,0.4351145038167939,0.3816793893129771,0.32061068702290074,0.26717557251908397,0.26717557251908397,0.03816793893129771
MNQ,1000,follow_through_curve,Q4(21.8-263.5pt),"SIZE Q4 (21.8-263.5pt, N=129): avgR=-0.014 medianMFE=0.65R reach1R=43% reach2R=29% reach3R=23%",129,-0.01440775193798451,0.6539,0.6046511627906976,0.43410852713178294,0.35658914728682173,0.2868217054263566,0.2558139534883721,0.23255813953488372,0.09302325581395349
MES,0900,follow_through_curve,Q1(0.5-1.5pt),"SIZE Q1 (0.5-1.5pt, N=89): avgR=-0.455 medianMFE=0.38R reach1R=31% reach2R=19% reach3R=7%",89,-0.4547224719101123,0.3754,0.47191011235955055,0.3146067415730337,0.23595505617977527,0.19101123595505617,0.11235955056179775,0.06741573033707865,0.02247191011235955
MES,0900,follow_through_curve,Q2(1.5-3.0pt),"SIZE Q2 (1.5-3.0pt, N=154): avgR=-0.178 medianMFE=0.43R reach1R=34% reach2R=23% reach3R=16%",154,-0.17811688311688315,0.4288,0.45454545454545453,0.33766233766233766,0.2727272727272727,0.23376623376623376,0.2077922077922078,0.15584415584415584,0.006493506493506494
MES,0900,follow_through_curve,Q3(3.0-5.0pt),"SIZE Q3 (3.0-5.0pt, N=120): avgR=-0.215 medianMFE=0.51R reach1R=31% reach2R=19% reach3R=14%",120,-0.21499916666666669,0.5134,0.5166666666666667,0.30833333333333335,0.24166666666666667,0.19166666666666668,0.16666666666666666,0.14166666666666666,0.008333333333333333
MES,0900,follow_through_curve,Q4(5.0-29.0pt),"SIZE Q4 (5.0-29.0pt, N=124): avgR=-0.129 medianMFE=0.34R reach1R=32% reach2R=21% reach3R=14%",124,-0.12913225806451611,0.3391,0.4435483870967742,0.3225806451612903,0.25806451612903225,0.20967741935483872,0.1693548387096774,0.13709677419354838,0.04032258064516129
MES,1000,follow_through_curve,Q1(0.5-2.0pt),"SIZE Q1 (0.5-2.0pt, N=99): avgR=-0.356 medianMFE=0.60R reach1R=41% reach2R=24% reach3R=7%",99,-0.35597070707070705,0.6005,0.5656565656565656,0.41414141414141414,0.3434343434343434,0.24242424242424243,0.21212121212121213,0.0707070707070707,0.010101010101010102
MES,1000,follow_through_curve,Q2(2.0-3.0pt),"SIZE Q2 (2.0-3.0pt, N=151): avgR=-0.350 medianMFE=0.57R reach1R=35% reach2R=21% reach3R=14%",151,-0.35022052980132456,0.5718,0.5231788079470199,0.3509933774834437,0.26490066225165565,0.2119205298013245,0.17218543046357615,0.1390728476821192,0.013245033112582781
MES,1000,follow_through_curve,Q3(3.0-4.5pt),"SIZE Q3 (3.0-4.5pt, N=128): avgR=-0.014 medianMFE=0.68R reach1R=40% reach2R=30% reach3R=23%",128,-0.01381171875,0.6774,0.5625,0.3984375,0.34375,0.296875,0.25,0.2265625,0.0234375
MES,1000,follow_through_curve,Q4(4.5-58.8pt),"SIZE Q4 (4.5-58.8pt, N=138): avgR=0.052 medianMFE=0.74R reach1R=46% reach2R=28% reach3R=24%",138,0.052492753623188414,0.74285,0.5652173913043478,0.45652173913043476,0.34782608695652173,0.2826086956521739,0.2608695652173913,0.2391304347826087,0.014492753623188406
MES,0030,follow_through_curve,Q1(1.0-5.0pt),"SIZE Q1 (1.0-5.0pt, N=106): avgR=-0.119 medianMFE=0.75R reach1R=42% reach2R=25% reach3R=20%",106,-0.1187047169811321,0.7498,0.6132075471698113,0.41509433962264153,0.33962264150943394,0.25471698113207547,0.2169811320754717,0.19811320754716982,0.03773584905660377
