instrument,bris_time,bris_h,bris_m,n_all,avgr_all,wr_all,totr_all,n_winter,avgr_winter,n_summer,avgr_summer,vol_mean,vol_winter,vol_summer
MGC,00:00,0,0,612,0.12091503267973856,30.88235294117647,74.0,127,0.1968503937007874,485,0.10103092783505155,2697.108145106092,1894.828475336323,3049.636945812808
MGC,00:15,0,15,385,0.09090909090909091,32.467532467532465,35.0,112,0.14285714285714285,273,0.0695970695970696,1717.1060917180014,1605.6210762331839,1766.0935960591132
MGC,00:30,0,30,462,0.047619047619047616,30.519480519480517,22.0,206,0.07281553398058252,256,0.02734375,1962.447638603696,2646.5840807174886,1661.8320197044336
MGC,00:45,0,45,402,0.06716417910447761,30.34825870646766,27.0,196,0.00510204081632653,206,0.1262135922330097,1770.47022587269,2452.6603139013455,1470.7098522167487
MGC,01:00,1,0,449,0.0556792873051225,27.39420935412027,25.0,245,0.06938775510204082,204,0.0392156862745098,2190.9565366187544,3579.7780269058294,1580.6960591133004
MGC,01:15,1,15,259,0.11969111969111969,33.204633204633204,31.0,121,0.19834710743801653,138,0.050724637681159424,1492.9154688569472,1969.4383408071749,1283.527093596059
MGC,01:30,1,30,250,0.02,29.2,5.0,129,-0.031007751937984496,121,0.0743801652892562,1399.4438740588637,1925.2892376681614,1168.3827586206896
MGC,01:45,1,45,196,0.12244897959183673,33.16326530612245,24.0,103,0.32038834951456313,93,-0.0967741935483871,1132.8774811772757,1553.0358744394618,948.256157635468
MGC,02:00,2,0,215,0.04186046511627907,29.767441860465116,9.0,113,0.0,102,0.08823529411764706,1192.5811088295688,1684.4674887892377,976.4418719211823
MGC,02:15,2,15,154,0.07792207792207792,30.519480519480517,12.0,82,0.036585365853658534,72,0.125,992.9120465434634,1411.1547085201794,809.1325123152709
MGC,02:30,2,30,138,0.043478260869565216,31.15942028985507,6.0,72,-0.1111111111111111,66,0.21212121212121213,939.6420260095824,1337.7589686098654,764.7059113300493
MGC,02:45,2,45,147,0.061224489795918366,31.292517006802722,9.0,80,0.025,67,0.1044776119402985,845.8583162217659,1114.4282511210763,727.8463054187192
MGC,03:00,3,0,147,0.1360544217687075,30.612244897959183,20.0,71,0.14084507042253522,76,0.13157894736842105,958.8264887063655,1110.884529147982,892.0108374384237
MGC,03:15,3,15,130,-0.1,26.153846153846157,-13.0,70,-0.15714285714285714,60,-0.03333333333333333,785.9664613278576,893.3430493273543,738.784236453202
MGC,03:30,3,30,140,0.17142857142857143,34.285714285714285,24.0,60,0.0,80,0.3,910.2453798767967,859.7118834080718,932.4502463054188
MGC,03:45,3,45,99,0.13131313131313133,32.323232323232325,13.0,56,0.26785714285714285,43,-0.046511627906976744,593.6632443531828,800.5526905829596,502.75418719211825
MGC,04:00,4,0,175,0.07428571428571429,25.71428571428571,13.0,59,-0.01694915254237288,116,0.1206896551724138,899.1091718001369,1029.3318385650225,841.8881773399015
MGC,04:15,4,15,109,0.01834862385321101,29.357798165137616,2.0,44,-0.06818181818181818,65,0.07692307692307693,631.7607802874743,828.9988789237668,545.0926108374384
MGC,04:30,4,30,147,0.1292517006802721,29.931972789115648,19.0,72,-0.1527777777777778,75,0.4,680.0468856947297,1075.432735426009,506.3108374384236
MGC,04:45,4,45,111,0.10810810810810811,30.630630630630627,12.0,41,0.04878048780487805,70,0.14285714285714285,477.85284052019165,552.3419282511211,445.1216748768473
MGC,05:00,5,0,157,0.1337579617834395,25.477707006369428,21.0,78,-0.0641025641025641,79,0.3291139240506329,607.2012320328543,811.3721973094171,517.4866995073892
MGC,05:15,5,15,107,0.205607476635514,30.8411214953271,22.0,49,-0.02040816326530612,58,0.39655172413793105,433.30150581793293,558.7488789237668,378.1788177339902
MGC,05:30,5,30,105,0.01904761904761905,26.666666666666668,2.0,53,-0.05660377358490566,52,0.09615384615384616,430.7299794661191,548.927130044843,378.7931034482759
MGC,05:45,5,45,83,-0.04819277108433735,24.096385542168676,-4.0,40,0.125,43,-0.20930232558139536,407.36208076659824,473.8486547085202,378.1472906403941
MGC,06:00,6,0,97,0.0,22.68041237113402,0.0,57,0.14035087719298245,40,-0.2,416.33264887063655,598.8744394618834,336.12216748768475
MGC,06:15,6,15,59,0.13559322033898305,27.11864406779661,8.0,42,0.09523809523809523,17,0.23529411764705882,215.90793976728267,396.9080717488789,136.37487684729064
MGC,06:30,6,30,72,0.2222222222222222,29.166666666666668,16.0,45,-0.06666666666666667,27,0.7037037037037037,234.73511293634496,410.6165919282511,157.4512315270936
MGC,06:45,6,45,58,-0.15517241379310345,12.068965517241379,-9.0,38,-0.23684210526315788,20,0.0,241.1006160164271,433.6513452914798,156.49211822660098
MGC,07:00,7,0,34,0.058823529411764705,17.647058823529413,2.0,34,0.058823529411764705,0,0.0,115.2737850787132,377.4181614349776,0.08522167487684729
MGC,07:15,7,15,18,-0.05555555555555555,16.666666666666664,-1.0,18,-0.05555555555555555,0,0.0,41.69164955509925,136.57286995515696,0.0
MGC,07:30,7,30,14,0.35714285714285715,28.57142857142857,5.0,14,0.35714285714285715,0,0.0,44.20328542094456,144.80044843049328,0.0
MGC,07:45,7,45,11,-0.09090909090909091,0.0,-1.0,11,-0.09090909090909091,0,0.0,44.789869952087614,146.7219730941704,0.0
MGC,08:00,8,0,162,0.043209876543209874,6.172839506172839,7.0,0,0.0,162,0.043209876543209874,305.2132101300479,0.0011210762331838565,439.32610837438426
MGC,08:15,8,15,61,0.06557377049180328,11.475409836065573,4.0,0,0.0,61,0.06557377049180328,113.1125941136208,0.0,162.8152709359606
MGC,08:30,8,30,46,-0.043478260869565216,6.521739130434782,-2.0,0,0.0,46,-0.043478260869565216,99.89596167008898,0.0,143.7911330049261
MGC,08:45,8,45,27,0.14814814814814814,7.4074074074074066,4.0,0,0.0,27,0.14814814814814814,85.89219712525667,0.0,123.63399014778325
MGC,09:00,9,0,182,0.43956043956043955,42.857142857142854,80.0,124,0.4274193548387097,58,0.46551724137931033,300.7566735112936,583.3822869955156,176.56847290640394
MGC,09:15,9,15,92,0.14130434782608695,35.869565217391305,13.0,46,0.34782608695652173,46,-0.06521739130434782,173.94353182751541,236.28699551569505,146.54926108374383
MGC,09:30,9,30,91,0.46153846153846156,47.25274725274725,42.0,47,0.5957446808510638,44,0.3181818181818182,179.93702943189595,229.43609865470853,158.18669950738916
MGC,09:45,9,45,84,-0.11904761904761904,28.57142857142857,-10.0,41,0.04878048780487805,43,-0.27906976744186046,236.51745379876797,282.8273542600897,216.16847290640393
MGC,10:00,10,0,146,0.2671232876712329,41.0958904109589,39.0,51,0.17647058823529413,95,0.3157894736842105,368.60027378507874,378.8060538116592,364.115763546798
MGC,10:15,10,15,90,0.2,38.88888888888889,18.0,37,0.0,53,0.33962264150943394,295.8381245722108,303.90582959641256,292.2931034482759
MGC,10:30,10,30,101,0.27722772277227725,40.5940594059406,28.0,34,0.20588235294117646,67,0.31343283582089554,300.621492128679,315.9708520179372,293.8768472906404
MGC,10:45,10,45,97,0.17525773195876287,39.175257731958766,17.0,38,0.10526315789473684,59,0.22033898305084745,273.8535249828884,295.8239910313901,264.19950738916253
MGC,11:00,11,0,358,0.19832402234636873,36.312849162011176,71.0,131,0.13740458015267176,227,0.23348017621145375,969.8015058179329,1067.1748878923768,927.0147783251232
MGC,11:15,11,15,188,0.12234042553191489,35.1063829787234,23.0,75,-0.12,113,0.2831858407079646,539.5609171800137,588.8441704035874,517.9054187192119
MGC,11:30,11,30,178,0.2640449438202247,41.01123595505618,47.0,72,0.2361111111111111,106,0.2830188679245283,530.3090349075975,560.8408071748879,516.8931034482758
MGC,11:45,11,45,132,0.10606060606060606,35.60606060606061,14.0,54,-0.12962962962962962,78,0.2692307692307692,451.0722108145106,484.73991031390136,436.2783251231527
MGC,12:00,12,0,158,0.11392405063291139,36.075949367088604,18.0,66,-0.09090909090909091,92,0.2608695652173913,482.0657084188912,549.6760089686098,452.35714285714283
MGC,12:15,12,15,92,0.16304347826086957,38.04347826086957,15.0,40,0.0,52,0.28846153846153844,325.2169746748802,368.3273542600897,306.27389162561576
MGC,12:30,12,30,143,0.20279720279720279,39.16083916083916,29.0,70,0.14285714285714285,73,0.2602739726027397,420.2802874743326,496.3116591928251,386.87142857142857
MGC,12:45,12,45,107,0.3644859813084112,44.85981308411215,39.0,48,0.7083333333333334,59,0.0847457627118644,350.2542778918549,393.5470852017937,331.2310344827586
MGC,13:00,13,0,106,0.1509433962264151,36.79245283018868,16.0,52,0.11538461538461539,54,0.18518518518518517,358.18275154004107,413.99775784753365,333.65714285714284
MGC,13:15,13,15,93,0.010752688172043012,33.33333333333333,1.0,43,0.11627906976744186,50,-0.08,310.72347707049965,352.585201793722,292.3290640394089
MGC,13:30,13,30,76,0.18421052631578946,39.473684210526315,14.0,40,0.275,36,0.08333333333333333,267.4534565366188,321.94955156950675,243.50738916256157
MGC,13:45,13,45,54,0.4444444444444444,48.148148148148145,24.0,27,0.3333333333333333,27,0.5555555555555556,219.4158110882957,248.152466367713,206.78866995073892
MGC,14:00,14,0,70,-0.02857142857142857,31.428571428571427,-2.0,32,-0.25,38,0.15789473684210525,246.9486652977413,285.3452914798206,230.0768472906404
MGC,14:15,14,15,47,0.23404255319148937,40.42553191489361,11.0,21,-0.14285714285714285,26,0.5384615384615384,198.64271047227925,235.7421524663677,182.3408866995074
MGC,14:30,14,30,49,0.30612244897959184,42.857142857142854,15.0,24,0.125,25,0.48,229.39288158795347,225.2096412556054,231.23103448275862
MGC,14:45,14,45,52,0.21153846153846154,40.38461538461539,11.0,19,0.10526315789473684,33,0.2727272727272727,202.12046543463381,220.8396860986547,193.89507389162563
MGC,15:00,15,0,68,0.38235294117647056,45.588235294117645,26.0,24,0.6666666666666666,44,0.22727272727272727,251.42915811088295,254.0627802690583,250.271921182266
MGC,15:15,15,15,62,0.41935483870967744,46.774193548387096,26.0,28,0.39285714285714285,34,0.4411764705882353,244.5924024640657,245.61434977578475,244.1433497536946
MGC,15:30,15,30,160,0.2375,40.625,38.0,71,0.07042253521126761,89,0.3707865168539326,524.8668720054757,561.7713004484305,508.65073891625616
MGC,15:45,15,45,99,0.23232323232323232,40.4040404040404,23.0,44,0.36363636363636365,55,0.12727272727272726,391.4815195071869,403.31838565022423,386.28029556650245
MGC,16:00,16,0,133,0.15037593984962405,37.59398496240601,20.0,46,0.2608695652173913,87,0.09195402298850575,589.4845995893223,473.56726457399105,640.4197044334975
MGC,16:15,16,15,107,0.42990654205607476,47.66355140186916,46.0,36,0.3333333333333333,71,0.4788732394366197,516.54893908282,404.81053811659194,565.6477832512315
MGC,16:30,16,30,121,-0.0743801652892562,30.57851239669421,-9.0,52,0.09615384615384616,69,-0.2028985507246377,525.3080082135524,433.16367713004485,565.7970443349753
MGC,16:45,16,45,91,0.4065934065934066,46.15384615384615,37.0,38,0.6842105263157895,53,0.20754716981132076,485.73887748117727,400.4652466367713,523.2088669950739
MGC,17:00,17,0,161,0.2484472049689441,40.993788819875775,40.0,47,0.14893617021276595,114,0.2894736842105263,816.2908966461328,668.0448430493274,881.4315270935961
MGC,17:15,17,15,105,0.14285714285714285,38.095238095238095,15.0,33,0.18181818181818182,72,0.125,614.2494866529775,564.1322869955156,636.2714285714286
MGC,17:30,17,30,130,0.0,33.07692307692307,0.0,45,0.08888888888888889,85,-0.047058823529411764,644.7707049965777,622.5403587443947,654.5389162561577
MGC,17:45,17,45,125,0.136,37.6,17.0,44,-0.18181818181818182,81,0.30864197530864196,551.7577002053388,556.0538116591928,549.8699507389163
MGC,18:00,18,0,162,0.2345679012345679,40.74074074074074,38.0,75,0.09333333333333334,87,0.3563218390804598,789.3973305954826,1055.1289237668161,672.6325123152709
MGC,18:15,18,15,111,0.45045045045045046,47.74774774774775,50.0,51,0.37254901960784315,60,0.5166666666666667,609.8028747433265,766.469730941704,540.9620689655172
