trading_day,year,mgc_dir,mgc_outcome,mgc_orb_size,mgc_atr_ratio,mgc_us_dst,mes_dir,mes_outcome,mes_mfe_r,mes_orb_size,mgc_signal,concordant,mgc_won,mes_win,atr_tier
2019-02-13,2019,LONG,WIN,0.5,0.05025125628140704,False,LONG,WIN,1.2513,1.25,LONG_WIN,True,True,1.0,MEDIUM
2019-02-14,2019,LONG,WIN,0.7999999999999545,0.07812499999999556,False,SHORT,WIN,0.7862,2.75,LONG_WIN,False,True,1.0,WIDE
2019-02-15,2019,SHORT,WIN,0.3999999999998636,0.03795066413660945,False,SHORT,WIN,0.8337,3.75,SHORT_WIN,True,True,1.0,MEDIUM
2019-02-18,2019,SHORT,LOSS,0.7999999999999545,0.07611798287344952,False,SHORT,LOSS,0.3127,3.25,SHORT_LOSS,True,False,0.0,WIDE
2019-02-19,2019,LONG,LOSS,0.5,0.04757373929590866,False,SHORT,LOSS,0.3639,2.0,LONG_LOSS,False,False,0.0,MEDIUM
2019-02-20,2019,SHORT,LOSS,0.8000000000001819,0.07239819004526532,False,SHORT,WIN,0.5721,1.0,SHORT_LOSS,True,False,1.0,WIDE
2019-02-21,2019,LONG,WIN,0.599999999999909,0.05388414907947095,False,SHORT,WIN,0.7006,1.75,LONG_WIN,False,True,1.0,WIDE
2019-02-22,2019,LONG,WIN,1.0,0.08507018290089323,False,SHORT,LOSS,0.4448,1.5,LONG_WIN,False,True,0.0,WIDE
2019-02-26,2019,SHORT,LOSS,0.40000000000009095,0.03590664272891301,False,SHORT,LOSS,0.3754,1.25,SHORT_LOSS,True,False,0.0,MEDIUM
2019-02-27,2019,SHORT,WIN,0.40000000000009095,0.03626473254760571,False,LONG,WIN,0.5721,1.0,SHORT_WIN,False,True,1.0,MEDIUM
2019-02-28,2019,LONG,WIN,0.6999999999998181,0.06481481481479796,False,SHORT,WIN,1.4624,2.5,LONG_WIN,False,True,1.0,WIDE
2019-03-01,2019,LONG,LOSS,0.5,0.04504504504504505,False,LONG,WIN,0.9236,2.5,LONG_LOSS,True,False,1.0,MEDIUM
2019-03-04,2019,LONG,LOSS,2.2999999999999545,0.19198664440734178,False,SHORT,WIN,0.7151,1.0,LONG_LOSS,False,False,1.0,WIDE
2019-03-05,2019,LONG,WIN,0.5,0.0411522633744856,False,SHORT,LOSS,0.3079,2.5,LONG_WIN,False,True,0.0,MEDIUM
2019-03-06,2019,SHORT,LOSS,0.900000000000091,0.07334963325184116,False,SHORT,WIN,1.1009,1.75,SHORT_LOSS,True,False,1.0,WIDE
2019-03-07,2019,LONG,WIN,0.6999999999998181,0.05770816158283743,False,SHORT,WIN,0.7508,1.25,LONG_WIN,False,True,1.0,WIDE
2019-03-08,2019,SHORT,LOSS,0.599999999999909,0.04958677685949662,False,SHORT,WIN,0.9173,2.25,SHORT_LOSS,True,False,1.0,MEDIUM
2019-03-11,2019,LONG,WIN,0.3999999999998636,0.03330557868441828,True,SHORT,WIN,0.8006,1.75,LONG_WIN,False,True,1.0,MEDIUM
2019-03-12,2019,LONG,LOSS,0.2999999999999545,0.024948024948021164,True,SHORT,LOSS,0.4169,2.25,LONG_LOSS,False,False,0.0,TIGHT
2019-03-13,2019,LONG,WIN,0.09999999999990905,0.008421052631571288,True,LONG,LOSS,0.3639,2.0,LONG_WIN,True,True,0.0,TIGHT
2019-03-14,2019,LONG,WIN,0.20000000000004547,0.016985138004250146,True,LONG,WIN,0.6673,1.5,LONG_WIN,True,True,1.0,TIGHT
2019-03-15,2019,SHORT,LOSS,0.40000000000009095,0.03308519437552448,True,LONG,LOSS,0.4291,1.0,SHORT_LOSS,False,False,0.0,MEDIUM
2019-03-18,2019,SHORT,WIN,0.20000000000004547,0.01745962461807468,True,SHORT,WIN,0.7006,1.75,SHORT_WIN,True,True,1.0,TIGHT
2019-03-19,2019,SHORT,WIN,0.10000000000013642,0.008779631255499246,True,SHORT,LOSS,0.182,2.0,SHORT_WIN,True,True,0.0,TIGHT
2019-03-20,2019,SHORT,WIN,0.1999999999998181,0.01856148491877662,True,LONG,LOSS,0.2224,1.5,SHORT_WIN,False,True,0.0,TIGHT
2019-03-21,2019,LONG,WIN,0.40000000000009095,0.03590664272891301,True,LONG,WIN,0.9338,3.0,LONG_WIN,True,True,1.0,MEDIUM
2019-03-22,2019,LONG,WIN,0.10000000000013642,0.008598452278601584,True,LONG,WIN,0.7785,1.5,LONG_WIN,True,True,1.0,TIGHT
2019-03-25,2019,SHORT,LOSS,0.40000000000009095,0.03601981089600099,True,SHORT,WIN,0.8828,3.5,SHORT_LOSS,True,False,1.0,MEDIUM
2019-03-26,2019,SHORT,WIN,0.20000000000004547,0.01809136137494758,True,SHORT,LOSS,0.3336,1.5,SHORT_WIN,True,True,0.0,TIGHT
2019-03-27,2019,SHORT,LOSS,0.3999999999998636,0.03868471953577017,True,SHORT,WIN,0.8754,3.25,SHORT_LOSS,True,False,1.0,MEDIUM
2019-03-28,2019,SHORT,WIN,0.2999999999999545,0.029411764705877898,True,SHORT,LOSS,0.5808,7.0,SHORT_WIN,True,True,0.0,MEDIUM
2019-03-29,2019,SHORT,WIN,0.20000000000004547,0.018206645425584478,True,SHORT,WIN,0.9098,2.0,SHORT_WIN,True,True,1.0,TIGHT
2019-04-01,2019,SHORT,WIN,0.599999999999909,0.05502063273726814,True,LONG,WIN,1.8769,1.25,SHORT_WIN,False,True,1.0,WIDE
2019-04-02,2019,SHORT,WIN,0.20000000000004547,0.018770530267484327,True,SHORT,WIN,0.7006,1.75,SHORT_WIN,True,True,1.0,TIGHT
2019-04-03,2019,SHORT,WIN,0.09999999999990905,0.009140767824488945,True,LONG,WIN,0.8188,2.0,SHORT_WIN,False,True,1.0,TIGHT
