instrument,session,dst_regime,hold_minutes,n,avg_r,win_rate,sharpe,pvalue,pvalue_bh,terminal_rate
MES,0030,SUMMER,1,77,-0.140600,0.376600,-0.429800,0.000346,0.000830,0.013000
MES,0030,SUMMER,2,77,-0.134400,0.363600,-0.359400,0.002455,0.005356,0.026000
MES,0030,SUMMER,5,77,-0.097700,0.402600,-0.205200,0.077610,0.137408,0.051900
MES,0030,SUMMER,10,77,-0.150900,0.324700,-0.324200,0.006011,0.012606,0.077900
MES,0030,SUMMER,15,77,-0.170200,0.337700,-0.347500,0.003351,0.007238,0.103900
MES,0030,SUMMER,20,77,-0.194900,0.337700,-0.373000,0.001710,0.003929,0.142900
MES,0030,SUMMER,30,77,-0.212700,0.324700,-0.365600,0.002088,0.004611,0.155800
MES,0030,SUMMER,45,77,-0.162100,0.337700,-0.230300,0.048259,0.088339,0.233800
MES,0030,SUMMER,60,77,-0.178200,0.350600,-0.245800,0.035332,0.065791,0.259700
MES,0030,SUMMER,90,77,-0.137200,0.363600,-0.160600,0.165595,0.253677,0.350600
MES,0030,SUMMER,120,77,-0.092800,0.402600,-0.099300,0.389312,0.486077,0.402600
MES,0030,SUMMER,180,77,-0.161800,0.376600,-0.152600,0.187387,0.285039,0.636400
MES,0030,WINTER,1,52,-0.291700,0.211500,-0.833600,0.000000,0.000000,0.000000
MES,0030,WINTER,2,52,-0.311200,0.230800,-0.867600,0.000000,0.000000,0.019200
MES,0030,WINTER,5,52,-0.307100,0.288500,-0.823600,0.000000,0.000000,0.019200
MES,0030,WINTER,10,52,-0.300000,0.250000,-0.754800,0.000002,0.000005,0.038500
MES,0030,WINTER,15,52,-0.318900,0.250000,-0.730900,0.000003,0.000008,0.096200
MES,0030,WINTER,20,52,-0.323900,0.230800,-0.754600,0.000002,0.000005,0.134600
MES,0030,WINTER,30,52,-0.290200,0.288500,-0.593800,0.000094,0.000233,0.153800
MES,0030,WINTER,45,52,-0.316700,0.269200,-0.604400,0.000073,0.000183,0.192300
MES,0030,WINTER,60,52,-0.343700,0.269200,-0.660600,0.000019,0.000049,0.230800
MES,0030,WINTER,90,52,-0.372600,0.230800,-0.623900,0.000046,0.000117,0.288500
MES,0030,WINTER,120,52,-0.385400,0.269200,-0.587200,0.000109,0.000268,0.365400
MES,0030,WINTER,180,52,-0.521600,0.173100,-0.927600,0.000000,0.000000,0.461500
MES,0900,SUMMER,1,13,0.027200,0.538500,0.039300,0.893967,0.915151,0.153800
MES,0900,SUMMER,2,13,-0.102800,0.384600,-0.145000,0.624513,0.698937,0.230800
MES,0900,SUMMER,5,13,-0.259500,0.384600,-0.264000,0.378446,0.483694,0.538500
MES,0900,SUMMER,10,13,-0.381100,0.230800,-0.353500,0.244282,0.351766,0.846200
MES,0900,SUMMER,15,13,-0.378400,0.230800,-0.348400,0.250701,0.356747,0.846200
MES,0900,SUMMER,20,13,-0.405800,0.230800,-0.377200,0.215835,0.317145,0.846200
MES,0900,SUMMER,30,13,-0.538500,0.153800,-0.497500,0.110482,0.178090,1.000000
MES,0900,SUMMER,45,13,-0.538500,0.153800,-0.497500,0.110482,0.178090,1.000000
MES,0900,SUMMER,60,13,-0.538500,0.153800,-0.497500,0.110482,0.178090,1.000000
MES,0900,SUMMER,90,13,-0.538500,0.153800,-0.497500,0.110482,0.178090,1.000000
MES,0900,SUMMER,120,13,-0.538500,0.153800,-0.497500,0.110482,0.178090,1.000000
MES,0900,SUMMER,180,13,-0.538500,0.153800,-0.497500,0.110482,0.178090,1.000000
MES,0900,WINTER,1,21,-0.255300,0.381000,-0.626400,0.011029,0.022058,0.142900
MES,0900,WINTER,2,21,-0.178600,0.238100,-0.296800,0.199366,0.295371,0.142900
MES,0900,WINTER,5,21,-0.013300,0.476200,-0.016400,0.942168,0.955438,0.285700
MES,0900,WINTER,10,21,-0.039200,0.428600,-0.045300,0.841369,0.869549,0.333300
MES,0900,WINTER,15,21,0.052700,0.476200,0.050000,0.825397,0.861923,0.428600
MES,0900,WINTER,20,21,0.074000,0.523800,0.069700,0.758397,0.806964,0.476200
