pair,leader,follower,strategy,condition,n_base,n_on,avg_base,avg_on,avg_off,uplift_on_off,wr_on,wr_off,years_pos,years_total,oos_year,train_uplift,test_uplift,n_test_on
P1,M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,E1/CB5/RR1.5,same_short_only,969,251,-0.06006130030959753,0.15700557768924303,-0.13594401114206128,0.2929495888313043,0.50199203187251,0.37604456824512533,5,5,2025,0.3272920748020748,0.1281009396564381,49
P1,M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,E1/CB5/RR1.5,same_dir,969,493,-0.06006130030959753,0.08136166328600405,-0.20653508403361345,0.2878967473196175,0.47058823529411764,0.3445378151260504,4,5,2025,0.24532683174603176,0.4401266483516484,104
P2,MES_US_DATA_OPEN,M2K_US_DATA_OPEN,E0/CB1/RR1.5,same_dir_strong,1167,142,-0.05573127677806341,0.1498521126760563,-0.08421209756097561,0.23406421023703192,0.5070422535211268,0.47024390243902436,4,4,2025,0.2501057449950589,0.24214086845466157,27
P2,MES_US_DATA_OPEN,M2K_US_DATA_OPEN,E0/CB1/RR1.5,same_dir,1167,630,-0.05573127677806341,0.040902698412698404,-0.16910074487895715,0.21000344329165554,0.5174603174603175,0.4245810055865922,5,5,2025,0.22195768530916327,0.18506018539624644,107
P2,MES_US_DATA_OPEN,M2K_US_DATA_OPEN,E0/CB1/RR1.5,same_short_only,1167,318,-0.05573127677806341,0.08885974842767294,-0.10988904593639576,0.1987487943640687,0.5377358490566038,0.45111896348645464,4,5,2025,0.20807576339542921,0.19631700080192466,58
P1,M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,E1/CB5/RR1.5,same_dir_strong,969,137,-0.06006130030959753,0.054071532846715314,-0.07885480769230771,0.13292634053902302,0.45255474452554745,0.4014423076923077,2,3,2025,0.06166397568217164,0.409518660968661,26
P1,M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,E1/CB5/RR1.5,same_long_only,969,242,-0.06006130030959753,0.0029045454545454383,-0.08102104539202201,0.08392559084656745,0.4380165289256198,0.3988995873452545,4,5,2025,-0.011547873763816177,0.4063500888585098,55
P2,MES_US_DATA_OPEN,M2K_US_DATA_OPEN,E0/CB1/RR1.5,same_long_only,1167,312,-0.05573127677806341,-0.007976602564102578,-0.07315754385964912,0.06518094129554654,0.4967948717948718,0.4666666666666667,3,5,2025,0.06306907061690731,0.05379622279851167,49
P2,MES_US_DATA_OPEN,M2K_US_DATA_OPEN,E0/CB1/RR1.5,opp_dir,1167,96,-0.05573127677806341,-0.2609260416666667,-0.037338468720821666,-0.22358757294584505,0.3645833333333333,0.484593837535014,0,2,2025,-0.18035114045618242,,17
P1,M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,E1/CB5/RR1.5,opp_dir_strong,969,103,-0.06006130030959753,-0.27855533980582525,-0.03407413394919169,-0.24448120585663358,0.3106796116504854,0.42032332563510394,0,2,2025,-0.30081109193438144,,14
P1,M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,E1/CB5/RR1.5,opp_dir,969,473,-0.06006130030959753,-0.20637758985200846,0.07947016129032258,-0.2858477511423311,0.34460887949260044,0.46975806451612906,1,5,2025,-0.24805862353605185,-0.4401266483516484,84
