leader,follower,symbol,session,entry_model,confirm_bars,rr_target,n_base,n_on,on_rate,avg_r_on,avg_r_off,uplift,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E1,1,4.0,726,619,0.8526170798898072,-0.26013812600969305,-0.8847028037383177,0.6245646777286247,0,0,,,,0
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E1,2,3.0,687,607,0.883551673944687,-0.23749555189456337,-0.7474587500000001,0.5099631981054367,0,0,,,,0
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E0,1,4.0,732,619,0.8456284153005464,-0.16880872374798064,-0.6331522123893806,0.46434348864139996,0,0,,,,0
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E3,1,4.0,690,580,0.8405797101449275,-0.31939017241379314,-0.7744745454545454,0.4550843730407523,0,0,,,,0
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E1,2,2.0,707,619,0.8755304101838756,-0.16982778675282711,-0.6099556818181818,0.4401278950653547,0,0,,,,0
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E1,2,2.5,697,613,0.8794835007173601,-0.21560603588907012,-0.6555452380952381,0.439939202206168,0,0,,,,0
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E1,1,2.0,768,644,0.8385416666666666,-0.20401304347826082,-0.6159443548387097,0.41193131136044886,1,1,1.0,,,0
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E1,1,3.0,743,628,0.845222072678331,-0.27811162420382163,-0.6897234782608694,0.4116118540570478,0,0,,,,0
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E1,1,2.5,752,634,0.8430851063829787,-0.26933044164037856,-0.6644550847457626,0.3951246431053841,0,0,,,,0
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E3,1,2.5,716,596,0.8324022346368715,-0.2747209731543624,-0.6465466666666667,0.3718256935123043,0,0,,,,0
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,2.0,871,445,0.5109070034443168,0.007612359550561796,-0.36099671361502345,0.3686090731655852,5,5,1.0,,0.48064947665056357,108
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E3,1,3.0,707,590,0.8345120226308345,-0.3020576271186441,-0.6638897435897436,0.36183211647109953,0,0,,,,0
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E1,2,3.0,1144,789,0.6896853146853147,-0.12970215462610898,-0.48458112676056336,0.3548789721344544,5,5,1.0,0.34262782131856123,0.3674466300940438,145
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E0,1,3.0,751,629,0.8375499334221038,-0.17056995230524644,-0.5148540983606558,0.34428414605540936,0,0,,,,0
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,2.5,809,406,0.5018541409147095,-0.10377980295566501,-0.44510570719602977,0.34132590424036474,5,5,1.0,,,0
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,3.0,761,395,0.519053876478318,-0.21441822784810127,-0.5440833333333334,0.3296651054852321,5,5,1.0,,,0
M2K_1100,MES_1100,MES,1100,E1,4,4.0,1263,1035,0.8194774346793349,-0.1996990338164251,-0.5285986842105264,0.3288996503941013,4,5,0.8,0.312662108472173,0.3033156269365833,206
M6E_US_POST_EQUITY,M2K_0030,M2K,0030,E3,1,4.0,990,343,0.3464646464646465,-0.1700679300291545,-0.4812157650695518,0.31114783504039734,4,5,0.8,0.3956682658265827,-0.006145831153886339,79
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E0,1,2.5,765,636,0.8313725490196079,-0.14571352201257862,-0.4534612403100775,0.3077477182974989,1,1,1.0,,,0
M2K_1100,MES_1100,MES,1100,E1,5,4.0,1256,1041,0.8288216560509554,-0.23430403458213256,-0.5400516279069767,0.30574759332484414,4,5,0.8,0.31193278849707984,0.17329741300366305,208
M2K_1100,MES_1100,MES,1100,E1,2,4.0,1276,1006,0.7884012539184952,-0.23537445328031809,-0.5395940740740741,0.30421962079375603,4,5,0.8,0.2656934184333633,0.33580169788202346,197
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E1,2,4.0,1129,777,0.6882196634189548,-0.16204105534105537,-0.46154375000000003,0.29950269465894463,5,5,1.0,0.3136947567698939,0.23375896464646462,144
M6E_US_POST_EQUITY,M2K_0030,M2K,0030,E1,3,4.0,858,311,0.36247086247086246,-0.32199549839228303,-0.6190945155393052,0.29709901714702214,3,5,0.6,,,0
M2K_1100,MES_1100,MES,1100,E1,5,3.0,1258,1043,0.829093799682035,-0.22436088207094915,-0.520353488372093,0.2959926063011439,5,5,1.0,0.33304991398214673,0.04378331054910003,209
MES_1000,M2K_US_EQUITY_OPEN,M2K,US_EQUITY_OPEN,E1,5,2.5,661,333,0.5037821482602118,-0.21085465465465467,-0.5065576219512197,0.295702967296565,5,5,1.0,,,0
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E1,3,4.0,1088,786,0.7224264705882353,-0.13857099236641218,-0.433417880794702,0.2948468884282898,4,5,0.8,0.28327732718894016,0.29294056512141275,151
MES_0900,MES_CME_OPEN,MES,CME_OPEN,E3,1,2.0,734,605,0.8242506811989101,-0.25493917355371903,-0.5457697674418606,0.29083059388814153,0,1,0.0,,,0
MES_CME_OPEN,MES_0900,MES,0900,E0,2,2.0,671,237,0.353204172876304,0.08162573839662449,-0.20827857142857145,0.28990430982519594,6,6,1.0,,,0
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,4,3.0,805,405,0.5031055900621118,-0.20366345679012346,-0.4928555,0.28919204320987657,5,5,1.0,,,0
