leader,follower,symbol,session,entry_model,confirm_bars,rr_target,n_base,n_on,on_rate,avg_r_on,avg_r_off,uplift,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,2.0,871,445,0.5109070034443168,0.007612359550561796,-0.36099671361502345,0.3686090731655852,5,5,1.0,,0.48064947665056357,108
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,1.5,969,493,0.5087719298245614,0.08136166328600408,-0.20653508403361345,0.28789674731961756,4,5,0.8,0.37657189922480616,0.3213740526315789,114
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,4.0,1023,523,0.5112414467253177,0.007208030592734223,-0.270478,0.2776860305927342,5,5,1.0,0.251692923705618,0.4951921568627451,102
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,3,2.0,986,499,0.5060851926977687,0.023256713426853707,-0.19845503080082139,0.2217117442276751,5,5,1.0,0.2849526936293946,0.24225900000000003,100
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E0,1,1.5,1167,630,0.5398457583547558,0.040902698412698425,-0.16910074487895715,0.21000344329165557,5,5,1.0,0.2219576853091633,0.18506018539624644,107
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,1.5,964,496,0.5145228215767634,0.034531854838709665,-0.16512435897435898,0.19965621381306864,5,5,1.0,0.20803092469545964,0.16177733286602997,113
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E0,1,3.0,1138,617,0.5421792618629174,0.027581847649918965,-0.16485547024952016,0.19243731789943913,4,5,0.8,0.1927966664585804,0.10088554517133957,107
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E0,1,2.0,1156,624,0.5397923875432526,0.030540064102564095,-0.16124041353383461,0.19178047763639872,4,5,0.8,0.2068174457952125,0.18614907308104792,107
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,4,1.5,1006,515,0.5119284294234593,0.03656155339805823,-0.1479109979633401,0.1844725513613983,4,5,0.8,0.14022185897435893,0.35378112094395275,113
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E0,1,4.0,1127,612,0.5430346051464063,0.014894117647058789,-0.16026660194174758,0.17516071958880636,4,5,0.8,0.1636521862505523,0.10138172465247772,107
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,1.5,969,497,0.5128998968008256,0.02486841046277666,-0.14948940677966102,0.17435781724243768,5,5,1.0,0.2338220833333334,0.03759482652613083,115
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,3.0,1104,574,0.519927536231884,0.10307700348432057,-0.0677377358490566,0.17081473933337715,4,5,0.8,0.1316212139309036,0.4317329247210435,126
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,3.0,1104,561,0.5081521739130435,0.10434117647058824,-0.06495432780847146,0.1692955042790597,5,5,1.0,0.1739350699054909,0.27640345604224914,111
