leader,follower,symbol,session,entry_model,confirm_bars,rr_target,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,years_pos,years_total,years_pos_ratio,train_uplift,test2025_uplift,n_test_on,n_test_off
MES_0030,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,2.0,440,84,16.8,0.33255357142857145,0.04233932584269664,0.29021424558587483,0,0,,,,17,65
MES_0030,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,1.5,453,89,17.8,0.29932247191011235,0.0635692307692308,0.23575324114088156,0,0,,,,18,67
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,3.0,1184,386,77.2,0.27670673575129534,-0.024703884711779454,0.3014106204630748,4,5,0.8,0.3354037573731394,0.20180363518338204,78,158
M2K_1000,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,2,4.0,448,225,45.0,0.263572,-0.06409775784753363,0.3276697578475336,2,3,0.6666666666666666,0.2758557316217029,0.46442791595197264,53,44
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,2.5,1215,398,79.6,0.24262261306532665,0.01241542227662176,0.23020719078870489,4,5,0.8,0.25137124061675803,0.16967106838246293,82,163
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,2.0,1243,407,81.4,0.23243808353808357,0.03353433014354069,0.1989037533945429,4,5,0.8,0.2444654906920177,0.03361992843581128,82,167
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,3.0,407,214,42.8,0.2093724299065421,-0.13804870466321242,0.34742113456975454,0,0,,0.43060282570355035,,51,25
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,2.5,505,199,39.8,0.20319447236180904,0.02809803921568629,0.17509643314612275,1,2,0.5,0.21000820353623967,0.0685366666666667,40,60
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,3.0,487,190,38.0,0.19763578947368418,-0.010247138047138041,0.2078829275208222,0,1,0.0,0.26555075899415265,,37,57
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,2.0,521,205,41.0,0.1905653658536585,0.09879683544303798,0.09176853041062051,1,3,0.3333333333333333,0.17545026639344258,-0.21699369047619047,40,63
M2K_1000,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,2,3.0,478,237,47.4,0.1904793248945148,0.09186390041493774,0.09861542447957707,2,3,0.6666666666666666,0.11439064619245366,0.04560816399286988,55,51
M6E_1800,M2K_US_EQUITY_OPEN,M2K,US_EQUITY_OPEN,E0,2,1.5,415,213,42.6,0.1841605633802817,-0.0019712871287128797,0.18613185050899458,2,2,1.0,0.1706778827838828,,35,42
M2K_1000,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,2,2.5,493,246,49.2,0.183980081300813,0.08140404858299596,0.10257603271781704,2,3,0.6666666666666666,0.11376827508136407,0.06363822381262194,58,53
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,1.5,457,238,47.6,0.17841932773109243,0.02597260273972603,0.15244672499136638,2,2,1.0,0.24970486714975845,,56,29
MES_1000,M2K_US_EQUITY_OPEN,M2K,US_EQUITY_OPEN,E0,2,1.0,442,216,43.2,0.1781356481481481,0.001296017699115048,0.17683963044903306,2,3,0.6666666666666666,0.20017959941594718,,36,44
MES_1000,M2K_US_EQUITY_OPEN,M2K,US_EQUITY_OPEN,E0,2,1.5,414,197,39.4,0.17672842639593908,0.012008755760368651,0.16471967063557044,2,2,1.0,0.2187322177566679,,33,44
MES_0030,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,2.0,1182,213,42.6,0.16797981220657277,0.04011702786377708,0.1278627843427957,2,3,0.6666666666666666,0.06362965538398609,0.2224574904257716,46,193
MES_0030,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,1.0,475,94,18.8,0.1608659574468085,0.08018215223097112,0.08068380521583739,0,0,,,,19,70
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,2.5,424,220,44.0,0.15894999999999998,0.0034323529411764823,0.1555176470588235,0,1,0.0,0.19729423537702603,,53,26
M6E_1800,M2K_US_EQUITY_OPEN,M2K,US_EQUITY_OPEN,E0,2,2.0,382,194,38.8,0.15763865979381445,-0.16037765957446806,0.3180163193682825,1,1,1.0,0.3486069998295842,,28,40
M2K_LONDON_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,2.0,521,258,51.6,0.15613875968992244,0.11407566539923955,0.04206309429068289,3,4,0.75,-0.07928948155411206,0.49063524528301894,53,50
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,2.0,444,229,45.8,0.1535930131004367,0.031079069767441854,0.12251394333299484,1,2,0.5,0.17483871554945235,,54,28
M2K_1000,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,2,2.0,504,250,50.0,0.15316480000000002,0.11396062992125987,0.03920417007874015,1,3,0.3333333333333333,0.0590063492063492,-0.08499291536050155,58,55
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,2.5,424,202,40.4,0.15178168316831686,0.022564414414414414,0.12921726875390244,0,1,0.0,0.10711760240112998,,38,41
MES_0030,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,1.5,1221,223,44.6,0.14991793721973096,0.04120030060120242,0.10871763661852854,2,4,0.5,0.028362004330441108,0.1902170964968837,47,198
M6E_1800,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,3.0,1184,596,119.2,0.14859865771812078,-0.0024994897959183804,0.15109814751403916,4,5,0.8,0.1435087720449051,0.20146074201898184,114,122
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,1.5,1263,411,82.2,0.14720851581508518,0.0424306338028169,0.10477788201226829,4,5,0.8,0.13389061932677765,0.013150406162464975,84,170
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,2.5,420,195,39.0,0.14430615384615386,0.03647733333333335,0.10782882051282051,1,1,1.0,0.10971888064971755,,33,46
M2K_US_POST_EQUITY,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,2,3.0,478,277,55.4,0.14122527075812277,0.14011641791044777,0.001108852847675007,0,3,0.0,0.062053438276719164,-0.2591711143166246,59,47
M2K_1000,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,2,1.5,514,257,51.4,0.13590583657587552,0.09530972762645916,0.04059610894941636,1,3,0.3333333333333333,0.08597182595182595,-0.1598769370460048,59,56
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,1.0,531,208,41.6,0.13590000000000002,0.03679473684210525,0.09910526315789478,1,3,0.3333333333333333,0.1405122962962963,-0.13731032774390242,41,64
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,1.0,479,249,49.8,0.13349357429718878,0.04490956521739131,0.08858400907979747,3,4,0.75,0.12334803179824563,,57,32
M6E_1800,M2K_US_EQUITY_OPEN,M2K,US_EQUITY_OPEN,E0,2,1.0,443,226,45.2,0.1329787610619469,0.04443456221198156,0.08854419884996534,2,3,0.6666666666666666,0.05078273843608834,,36,44
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,2.0,444,214,42.8,0.13141775700934577,0.05970173913043478,0.07171601787891099,2,4,0.5,0.001782149368303232,0.38751219512195123,41,41
M6E_1800,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,2.5,1215,607,121.4,0.12824579901153213,0.047470394736842114,0.08077540427469002,4,5,0.8,0.0770983998426661,0.11881559290382815,119,126
MES_0030,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,2,1.5,1118,223,44.6,0.12361345291479822,-0.08460379888268156,0.2082172517974798,3,3,1.0,0.16363686198512456,0.19703459340659343,50,182
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,1.5,528,206,41.2,0.12121262135922331,0.0666580745341615,0.054554546825061806,2,3,0.6666666666666666,0.11454390000000003,-0.16140414246999613,41,63
M6E_1800,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,1.0,531,269,53.8,0.12108698884758365,0.028929389312977095,0.09215759953460656,3,4,0.75,0.09051199717214563,0.15562592592592592,54,51
M2K_US_POST_EQUITY,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,2,2.5,493,284,56.8,0.12032007042253522,0.14925837320574162,-0.0289383027832064,0,3,0.0,-0.02025517781062515,-0.09477597103357474,62,49
M6E_1800,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,2.0,1243,623,124.6,0.11971300160513647,0.07750935483870967,0.042203646766426794,4,5,0.8,0.05090573593073598,0.024258551697431296,122,127
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,1.5,1221,624,124.8,0.11960512820512821,-0.00014070351758795099,0.11974583172271616,5,5,1.0,0.10264275842044134,0.28776678885630497,121,124
M2K_LONDON_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,2.5,505,250,50.0,0.11958359999999998,0.07505019607843137,0.04453340392156861,2,3,0.6666666666666666,-0.05755666357452069,0.451952,50,50
M2K_CME_OPEN,M2K_LONDON_OPEN,M2K,LONDON_OPEN,E0,1,4.0,1197,173,34.6,0.11942138728323698,-0.1567404296875,0.27616181697073694,0,0,,0.3903621720891569,,28,207
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,1.5,457,220,44.0,0.11750954545454545,0.09409156118143458,0.02341798427311087,3,5,0.6,0.0015796325999455352,0.13520011074197122,43,42
M2K_LONDON_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,1.5,528,261,52.2,0.11570613026819923,0.06080299625468165,0.05490313401351758,2,4,0.5,-0.054096062748458684,0.47093577777777773,54,50
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,1.5,1227,621,124.2,0.11520161030595813,0.005630858085808588,0.10957075222014954,4,5,0.8,0.0765110489398158,0.25773779658757656,121,124
M6E_1800,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,2.5,505,253,50.6,0.11455415019762845,0.07956944444444443,0.03498470575318402,2,4,0.5,0.0583214491857349,0.04135582232893157,51,49
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,2.0,440,206,41.2,0.11352864077669904,0.08384786324786327,0.029680777528835772,0,1,0.0,-0.03529247311827957,,36,46
