leader,follower,symbol,session,entry_model,confirm_bars,rr_target,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,years_pos,years_total,years_pos_ratio,train_uplift,test2025_uplift,n_test_on,n_test_off
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,3.0,1184,386,77.2,0.27670673575129534,-0.024703884711779454,0.3014106204630748,4,5,0.8,0.3354037573731394,0.20180363518338204,78,158
M2K_1000,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,2,4.0,448,225,45.0,0.263572,-0.06409775784753363,0.3276697578475336,2,3,0.6666666666666666,0.2758557316217029,0.46442791595197264,53,44
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,2.5,1215,398,79.6,0.24262261306532665,0.01241542227662176,0.23020719078870489,4,5,0.8,0.25137124061675803,0.16967106838246293,82,163
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,2.0,1243,407,81.4,0.23243808353808357,0.03353433014354069,0.1989037533945429,4,5,0.8,0.2444654906920177,0.03361992843581128,82,167
MES_0030,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,2,1.5,1118,223,44.6,0.12361345291479822,-0.08460379888268156,0.2082172517974798,3,3,1.0,0.16363686198512456,0.19703459340659343,50,182
M2K_1000,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,1,4.0,1107,543,108.6,0.10386169429097603,-0.13893670212765957,0.2427983964186356,5,5,1.0,0.27878444343891395,0.1708981481481482,108,108
MES_0030,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,2,2.0,1055,203,40.6,0.08366256157635468,-0.1344985915492958,0.2181611531256505,3,3,1.0,0.19310227005870845,0.11994101298701301,44,175
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,1.5,969,493,98.6,0.08136166328600408,-0.20653508403361345,0.28789674731961756,4,5,0.8,0.24532683174603173,0.4401266483516484,104,84
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E3,1,2.5,1115,470,94.0,0.051472127659574464,-0.1365688372093023,0.18804096486887675,4,5,0.8,0.1945973533087681,0.24326508468891495,89,134
M6E_1800,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,4.0,1099,550,110.0,0.04592690909090909,-0.18297759562841534,0.22890450471932444,4,5,0.8,0.21718826291079815,0.27397725705329146,110,116
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E0,1,1.5,1167,630,126.0,0.040902698412698425,-0.16910074487895715,0.21000344329165557,5,5,1.0,0.2219576853091633,0.18506018539624644,107,123
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,4,1.5,1006,515,103.0,0.036561553398058236,-0.1479109979633401,0.18447255136139834,4,5,0.8,0.14022185897435893,0.35378112094395275,113,90
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,1.5,964,496,99.2,0.034531854838709686,-0.16512435897435898,0.19965621381306867,5,5,1.0,0.21242252992952768,0.28012707601676673,91,97
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E0,1,2.0,1156,624,124.8,0.030540064102564084,-0.16124041353383461,0.1917804776363987,4,5,0.8,0.20681744579521244,0.18614907308104792,107,122
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E0,1,3.0,1138,617,123.4,0.027581847649918965,-0.16485547024952016,0.19243731789943913,4,5,0.8,0.1927966664585804,0.10088554517133957,107,120
MES_LONDON_OPEN,MES_US_DATA_OPEN,MES,US_DATA_OPEN,E0,2,2.5,671,338,48.285714285714285,0.02431242603550295,-0.2138945945945946,0.23820702063009755,5,6,0.8333333333333334,0.2806512941024147,0.029887878787878824,48,55
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,3,2.0,986,499,99.8,0.0232567134268537,-0.19845503080082139,0.2217117442276751,5,5,1.0,0.25811402252919496,0.17583391648443197,99,97
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E3,1,3.0,1085,455,91.0,0.018473406593406592,-0.19101444444444443,0.20948785103785103,4,5,0.8,0.2335214950518045,0.21021946192430457,85,129
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,2.0,871,445,89.0,0.007612359550561788,-0.36099671361502345,0.3686090731655852,5,5,1.0,0.38033881199191355,0.3852629824561403,90,76
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,4.0,1023,523,104.6,0.007208030592734223,-0.270478,0.2776860305927342,5,5,1.0,0.251692923705618,0.4951921568627451,102,102
