session,rr,cb,em,tier,n,avg_r,win_rate,t_stat,p_val,p_bh,bh_sig
0030,1.0,1,E1,NESTED_15,162,-0.3907,0.432,-7.483,0.0,0.0,True
0030,1.0,1,E1,NESTED_30,51,-0.3437,0.471,-3.415,0.0013,0.0015,True
0030,1.0,1,E1,SOLO_5,852,-0.3889,0.418,-17.384,0.0,0.0,True
0030,1.0,1,E3,NESTED_15,107,-0.3864,0.383,-6.433,0.0,0.0,True
0030,1.0,1,E3,SOLO_5,882,-0.4076,0.366,-19.973,0.0,0.0,True
0030,1.0,2,E1,NESTED_15,199,-0.3646,0.442,-7.474,0.0,0.0,True
0030,1.0,2,E1,NESTED_30,85,-0.4006,0.424,-5.166,0.0,0.0,True
0030,1.0,2,E1,SOLO_5,723,-0.3459,0.456,-13.924,0.0,0.0,True
0030,1.0,3,E1,NESTED_15,214,-0.3528,0.453,-7.423,0.0,0.0,True
0030,1.0,3,E1,NESTED_30,112,-0.3716,0.446,-5.511,0.0,0.0,True
0030,1.0,3,E1,SOLO_5,641,-0.316,0.466,-11.66,0.0,0.0,True
0030,1.0,4,E1,NESTED_15,222,-0.2661,0.518,-5.593,0.0,0.0,True
0030,1.0,4,E1,NESTED_30,143,-0.3669,0.441,-6.098,0.0,0.0,True
0030,1.0,4,E1,SOLO_5,588,-0.3129,0.473,-10.987,0.0,0.0,True
0030,1.0,5,E1,NESTED_15,222,-0.279,0.505,-5.82,0.0,0.0,True
0030,1.0,5,E1,NESTED_30,164,-0.4184,0.396,-7.421,0.0,0.0,True
0030,1.0,5,E1,SOLO_5,534,-0.2974,0.487,-9.765,0.0,0.0,True
0030,1.5,1,E1,NESTED_15,155,-0.4341,0.355,-6.942,0.0,0.0,True
0030,1.5,1,E1,NESTED_30,46,-0.3664,0.37,-2.924,0.0054,0.0062,True
0030,1.5,1,E1,SOLO_5,837,-0.3783,0.388,-13.799,0.0,0.0,True
0030,1.5,1,E3,NESTED_15,106,-0.341,0.425,-4.588,0.0,0.0,True
0030,1.5,1,E3,SOLO_5,874,-0.4125,0.379,-16.39,0.0,0.0,True
0030,1.5,2,E1,NESTED_15,187,-0.4011,0.364,-6.768,0.0,0.0,True
0030,1.5,2,E1,NESTED_30,77,-0.479,0.299,-5.167,0.0,0.0,True
0030,1.5,2,E1,SOLO_5,707,-0.3223,0.417,-10.436,0.0,0.0,True
0030,1.5,3,E1,NESTED_15,205,-0.3259,0.4,-5.516,0.0,0.0,True
0030,1.5,3,E1,NESTED_30,101,-0.3979,0.347,-4.741,0.0,0.0,True
0030,1.5,3,E1,SOLO_5,619,-0.3086,0.415,-9.161,0.0,0.0,True
0030,1.5,4,E1,NESTED_15,203,-0.3065,0.399,-5.052,0.0,0.0,True
0030,1.5,4,E1,NESTED_30,131,-0.4607,0.305,-6.34,0.0,0.0,True
0030,1.5,4,E1,SOLO_5,563,-0.3194,0.409,-9.032,0.0,0.0,True
0030,1.5,5,E1,NESTED_15,202,-0.2864,0.406,-4.639,0.0,0.0,True
0030,1.5,5,E1,NESTED_30,154,-0.4897,0.286,-7.403,0.0,0.0,True
0030,1.5,5,E1,SOLO_5,512,-0.3311,0.395,-8.833,0.0,0.0,True
0030,2.0,1,E1,NESTED_15,153,-0.3954,0.314,-5.367,0.0,0.0,True
0030,2.0,1,E1,NESTED_30,44,-0.3374,0.318,-2.25,0.0297,0.0327,True
0030,2.0,1,E1,SOLO_5,820,-0.3893,0.322,-12.3,0.0,0.0,True
0030,2.0,1,E3,NESTED_15,100,-0.4058,0.33,-4.679,0.0,0.0,True
0030,2.0,1,E3,SOLO_5,860,-0.4161,0.33,-14.377,0.0,0.0,True
0030,2.0,2,E1,NESTED_15,180,-0.3418,0.333,-4.821,0.0,0.0,True
0030,2.0,2,E1,NESTED_30,73,-0.4904,0.247,-4.61,0.0,0.0,True
0030,2.0,2,E1,SOLO_5,687,-0.3374,0.342,-9.395,0.0,0.0,True
0030,2.0,3,E1,NESTED_15,190,-0.4047,0.295,-5.928,0.0,0.0,True
0030,2.0,3,E1,NESTED_30,96,-0.4297,0.271,-4.412,0.0,0.0,True
0030,2.0,3,E1,SOLO_5,598,-0.3032,0.351,-7.646,0.0,0.0,True
0030,2.0,4,E1,NESTED_15,186,-0.3523,0.312,-4.924,0.0,0.0,True
0030,2.0,4,E1,NESTED_30,126,-0.4612,0.254,-5.492,0.0,0.0,True
0030,2.0,4,E1,SOLO_5,540,-0.3401,0.33,-8.212,0.0,0.0,True
0030,2.0,5,E1,NESTED_15,189,-0.3096,0.328,-4.242,0.0,0.0,True
0030,2.0,5,E1,NESTED_30,143,-0.5409,0.217,-7.282,0.0,0.0,True
0030,2.0,5,E1,SOLO_5,490,-0.337,0.329,-7.694,0.0,0.0,True
0030,2.5,1,E1,NESTED_15,145,-0.47,0.234,-5.819,0.0,0.0,True
0030,2.5,1,E1,NESTED_30,39,-0.4687,0.231,-2.96,0.0053,0.0061,True
0030,2.5,1,E1,SOLO_5,794,-0.4037,0.273,-11.406,0.0,0.0,True
0030,2.5,1,E3,NESTED_15,97,-0.3635,0.299,-3.588,0.0005,0.0006,True
0030,2.5,1,E3,SOLO_5,848,-0.4121,0.29,-12.7,0.0,0.0,True
0030,2.5,2,E1,NESTED_15,175,-0.4404,0.246,-5.834,0.0,0.0,True
0030,2.5,2,E1,NESTED_30,69,-0.5136,0.203,-4.33,0.0001,0.0001,True
0030,2.5,2,E1,SOLO_5,662,-0.3603,0.284,-8.926,0.0,0.0,True
0030,2.5,3,E1,NESTED_15,181,-0.4307,0.243,-5.659,0.0,0.0,True
0030,2.5,3,E1,NESTED_30,90,-0.5139,0.2,-4.921,0.0,0.0,True
0030,2.5,3,E1,SOLO_5,571,-0.3476,0.284,-7.832,0.0,0.0,True
0030,2.5,4,E1,NESTED_15,178,-0.3909,0.253,-4.912,0.0,0.0,True
0030,2.5,4,E1,NESTED_30,116,-0.5799,0.172,-6.657,0.0,0.0,True
0030,2.5,4,E1,SOLO_5,529,-0.3175,0.291,-6.709,0.0,0.0,True
0030,2.5,5,E1,NESTED_15,177,-0.3679,0.26,-4.524,0.0,0.0,True
0030,2.5,5,E1,NESTED_30,137,-0.5714,0.175,-7.049,0.0,0.0,True
0030,2.5,5,E1,SOLO_5,468,-0.329,0.284,-6.543,0.0,0.0,True
0030,3.0,1,E1,NESTED_15,138,-0.5087,0.188,-5.763,0.0,0.0,True
0030,3.0,1,E1,NESTED_30,35,-0.6484,0.143,-4.383,0.0001,0.0001,True
0030,3.0,1,E1,SOLO_5,777,-0.4108,0.237,-10.567,0.0,0.0,True
0030,3.0,1,E3,NESTED_15,94,-0.3843,0.255,-3.471,0.0008,0.001,True
0030,3.0,1,E3,SOLO_5,837,-0.4089,0.257,-11.39,0.0,0.0,True
0030,3.0,2,E1,NESTED_15,162,-0.5533,0.173,-7.076,0.0,0.0,True
0030,3.0,2,E1,NESTED_30,64,-0.6778,0.125,-6.251,0.0,0.0,True
0030,3.0,2,E1,SOLO_5,643,-0.37,0.246,-8.32,0.0,0.0,True
0030,3.0,3,E1,NESTED_15,171,-0.4877,0.199,-6.093,0.0,0.0,True
0030,3.0,3,E1,NESTED_30,86,-0.5509,0.163,-4.912,0.0,0.0,True
0030,3.0,3,E1,SOLO_5,556,-0.3817,0.234,-7.868,0.0,0.0,True
0030,3.0,4,E1,NESTED_15,169,-0.4521,0.201,-5.314,0.0,0.0,True
0030,3.0,4,E1,NESTED_30,110,-0.6642,0.118,-7.424,0.0,0.0,True
0030,3.0,4,E1,SOLO_5,503,-0.358,0.243,-6.925,0.0,0.0,True
0030,3.0,5,E1,NESTED_15,165,-0.4474,0.2,-5.124,0.0,0.0,True
0030,3.0,5,E1,NESTED_30,128,-0.6944,0.109,-8.822,0.0,0.0,True
0030,3.0,5,E1,SOLO_5,446,-0.3743,0.235,-6.878,0.0,0.0,True
0030,4.0,1,E1,NESTED_15,130,-0.6121,0.123,-6.621,0.0,0.0,True
0030,4.0,1,E1,NESTED_30,33,-0.8159,0.061,-6.368,0.0,0.0,True
