n_days,n_g4,n_breaks,break_rate,n_trades,avg_r,total_r,win_rate,avg_orb_size,direction_bias,n_long,n_short,n_winter,avg_r_winter,total_r_winter,wr_winter,n_summer,avg_r_summer,total_r_summer,wr_summer,instrument,brisbane_time,bris_h,bris_m,current_session
2542,70,70,1.0000,70,0.0022,0.1549,0.3143,6.9371,0.0857,38,32,32,-0.2215,-7.0889,0.2500,38,0.1906,7.2438,0.3684,MGC,00:00,0,0,
2518,47,47,1.0000,47,0.1155,5.4262,0.3617,7.1447,-0.1064,21,26,21,-0.2857,-6.0000,0.2381,26,0.4395,11.4262,0.4615,MGC,00:15,0,15,
2546,49,49,1.0000,49,0.1590,7.7895,0.3673,7.0653,0.3061,32,17,24,0.0000,0.0000,0.3333,25,0.3116,7.7895,0.4000,MGC,00:30,0,30,0030/US_EQ(EST)
2527,52,52,1.0000,52,0.0962,5.0000,0.3654,6.3327,0.1923,31,21,19,0.1053,2.0000,0.3684,33,0.0909,3.0000,0.3636,MGC,00:45,0,45,
2561,68,68,1.0000,68,0.3381,22.9877,0.4412,6.3779,0.0588,36,32,24,0.5412,12.9877,0.5000,44,0.2273,10.0000,0.4091,MGC,01:00,1,0,
2546,62,62,1.0000,62,0.3376,20.9315,0.4355,6.5161,-0.0323,30,32,28,0.1786,5.0000,0.3929,34,0.4686,15.9315,0.4706,MGC,01:15,1,15,
2577,160,160,1.0000,160,0.2169,34.7028,0.3688,7.3056,0.0375,83,77,71,0.0551,3.9087,0.3099,89,0.3460,30.7940,0.4157,MGC,01:30,1,30,
2577,100,99,0.9900,99,0.1119,11.0779,0.3636,7.0530,0.1111,55,44,44,0.1591,7.0000,0.3864,55,0.0741,4.0779,0.3455,MGC,01:45,1,45,
2581,133,133,1.0000,133,0.1169,15.5452,0.3534,6.8977,-0.0526,63,70,46,0.1590,7.3152,0.3696,87,0.0946,8.2300,0.3448,MGC,02:00,2,0,
2578,108,107,0.9907,107,0.3169,33.9104,0.4206,6.6556,0.1215,60,47,36,0.3333,12.0000,0.4444,71,0.3086,21.9104,0.4085,MGC,02:15,2,15,
2579,121,121,1.0000,121,-0.1075,-13.0092,0.2893,6.7306,0.1405,69,52,52,0.0037,0.1899,0.3269,69,-0.1913,-13.1991,0.2609,MGC,02:30,2,30,
2577,91,91,1.0000,91,0.2860,26.0279,0.4066,7.2110,0.0769,49,42,38,0.3718,14.1296,0.4211,53,0.2245,11.8983,0.3962,MGC,02:45,2,45,
2581,162,161,0.9938,161,0.2033,32.7294,0.3727,6.7463,0.1180,90,71,47,0.1652,7.7656,0.3830,114,0.2190,24.9638,0.3684,MGC,03:00,3,0,
2580,105,105,1.0000,105,0.0590,6.1964,0.3524,6.3886,0.0095,53,52,33,0.0909,3.0000,0.3636,72,0.0444,3.1964,0.3472,MGC,03:15,3,15,
2580,130,130,1.0000,130,-0.0595,-7.7383,0.3000,6.3569,0.1231,73,57,45,-0.0164,-0.7383,0.2889,85,-0.0824,-7.0000,0.3059,MGC,03:30,3,30,
2580,125,125,1.0000,125,0.0616,7.6966,0.3360,6.0168,0.0240,64,61,44,-0.2322,-10.2173,0.2273,81,0.2212,17.9139,0.3951,MGC,03:45,3,45,
2580,165,162,0.9818,162,0.1705,27.6176,0.3457,6.9279,0.1728,95,67,75,0.0737,5.5266,0.3067,87,0.2539,22.0910,0.3793,MGC,04:00,4,0,
2581,111,111,1.0000,111,0.3942,43.7591,0.4234,6.8829,0.0811,60,51,51,0.3412,17.4037,0.4118,60,0.4393,26.3554,0.4333,MGC,04:15,4,15,
2581,103,102,0.9903,102,-0.1682,-17.1600,0.2549,7.3301,-0.0196,50,52,48,-0.1387,-6.6584,0.2500,54,-0.1945,-10.5015,0.2593,MGC,04:30,4,30,
2578,79,79,1.0000,79,-0.0703,-5.5560,0.2658,7.0759,0.0633,42,37,40,-0.0007,-0.0281,0.2750,39,-0.1417,-5.5280,0.2564,MGC,04:45,4,45,
2580,133,133,1.0000,133,0.0584,7.7691,0.3008,6.5526,0.0226,68,65,60,0.1976,11.8567,0.3167,73,-0.0560,-4.0876,0.2877,MGC,05:00,5,0,
2581,96,96,1.0000,96,0.0079,0.7614,0.2812,6.8740,-0.1042,43,53,46,0.1998,9.1889,0.3043,50,-0.1686,-8.4275,0.2600,MGC,05:15,5,15,
2579,122,121,0.9918,121,-0.0111,-1.3476,0.2893,6.5156,-0.1736,50,71,40,-0.2431,-9.7230,0.2000,81,0.1034,8.3753,0.3333,MGC,05:30,5,30,
2578,87,87,1.0000,87,0.3051,26.5424,0.3908,6.9253,0.1034,48,39,37,0.1737,6.4280,0.3243,50,0.4023,20.1144,0.4400,MGC,05:45,5,45,
2580,113,113,1.0000,113,0.0341,3.8478,0.3009,6.2425,0.0088,57,56,49,-0.1485,-7.2778,0.2449,64,0.1738,11.1256,0.3438,MGC,06:00,6,0,
2580,84,84,1.0000,84,0.1619,13.5982,0.3333,6.2857,0.0238,43,41,31,-0.0996,-3.0863,0.2903,53,0.3148,16.6845,0.3585,MGC,06:15,6,15,
2580,101,101,1.0000,101,-0.2083,-21.0370,0.2079,6.5842,0.1089,56,45,57,-0.3816,-21.7484,0.1579,44,0.0162,0.7114,0.2727,MGC,06:30,6,30,
2577,64,64,1.0000,64,0.3940,25.2141,0.3906,6.6156,-0.1875,26,38,24,0.3022,7.2538,0.3750,40,0.4490,17.9603,0.4000,MGC,06:45,6,45,
2580,108,107,0.9907,107,0.2407,25.7600,0.2991,7.0972,0.2150,65,42,34,0.2297,7.8084,0.2647,73,0.2459,17.9515,0.3151,MGC,07:00,7,0,
2580,85,84,0.9882,84,0.0661,5.5484,0.3214,6.9000,0.0238,43,41,28,0.0878,2.4579,0.3214,56,0.0552,3.0905,0.3214,MGC,07:15,7,15,
2580,107,105,0.9813,105,0.0779,8.1843,0.2381,6.4103,0.1238,59,46,38,-0.1713,-6.5096,0.1579,67,0.2193,14.6939,0.2836,MGC,07:30,7,30,
2580,114,113,0.9912,113,-0.0456,-5.1554,0.2124,6.4430,-0.0265,55,58,43,-0.1526,-6.5613,0.1860,70,0.0201,1.4059,0.2286,MGC,07:45,7,45,
2581,178,174,0.9775,174,0.1064,18.5211,0.1954,6.3567,0.0575,92,82,51,-0.0453,-2.3122,0.1176,123,0.1694,20.8333,0.2276,MGC,08:00,8,0,CME_OPEN(CDT)
2581,191,185,0.9686,185,0.0253,4.6791,0.1189,6.0461,0.0811,100,85,40,-0.0308,-1.2320,0.0500,145,0.0408,5.9111,0.1379,MGC,08:15,8,15,
2581,582,468,0.8041,468,0.0148,6.9209,0.0427,7.9074,0.0598,248,220,38,0.1100,4.1814,0.1316,430,0.0064,2.7395,0.0349,MGC,08:30,8,30,
