instrument,existing_session,candidate_session,dst_regime,n_common_g4,n_both_broke,n_existing_only,n_candidate_only,n_neither,shared_break_pct,direction_concordance,r_correlation,r_pvalue,existing_avg_r,existing_n,candidate_avg_r,candidate_n,cond_avg_r_exclusive,n_exclusive,classification
MNQ,1000,1015,ALL,514,514,0,0,0,1.0000,0.5681,0.1654,0.0002,0.2074,514,0.1932,514,,0,GREY-ZONE
MNQ,1130,1245,ALL,514,512,2,0,0,1.0000,0.5098,0.0282,0.5249,0.1252,514,0.2019,512,,0,GREY-ZONE
MNQ,1800,1545,WINTER,31,31,0,0,0,1.0000,0.4194,0.2910,0.1122,0.3009,31,0.2330,31,,0,GREY-ZONE
MNQ,1800,1545,SUMMER,229,229,0,0,0,1.0000,0.4803,0.0048,0.9425,0.1723,229,0.3195,229,,0,GREY-ZONE
MNQ,1800,1815,WINTER,36,35,0,1,0,0.9722,0.3429,-0.1472,0.3987,0.4220,35,-0.3333,36,2.0000,1,GREY-ZONE
MNQ,1800,1815,SUMMER,284,282,0,2,0,0.9930,0.5567,0.0500,0.4028,0.1307,282,0.1725,284,-1.0000,2,GREY-ZONE
MES,1000,1015,ALL,313,313,0,0,0,1.0000,0.5527,0.2437,0.0000,0.1801,313,0.1444,313,,0,GREY-ZONE
MES,0030,1900,WINTER,15,15,0,0,0,1.0000,0.6000,0.0636,0.8218,-0.2000,15,-0.2678,15,,0,GREY-ZONE
MES,0030,1900,SUMMER,13,13,0,0,0,1.0000,0.5385,-0.2718,0.3691,-0.0769,13,-0.6400,13,,0,GREY-ZONE
MES,0030,1915,WINTER,14,14,0,0,0,1.0000,0.4286,-0.4000,0.1564,-0.1429,14,-0.1429,14,,0,GREY-ZONE
MES,0030,1915,SUMMER,11,11,0,0,0,1.0000,0.5455,-0.3750,0.2558,-0.1818,11,-0.1818,11,,0,GREY-ZONE
MGC,0900,0930,WINTER,92,92,0,0,0,1.0000,0.5761,0.0151,0.8864,0.0761,92,0.0625,92,,0,GREY-ZONE
MGC,0900,0930,SUMMER,204,204,0,0,0,1.0000,0.5441,0.0578,0.4115,0.1168,204,0.1672,204,,0,GREY-ZONE
MGC,1800,1815,WINTER,10,10,0,0,0,1.0000,0.6000,-0.3559,0.3127,-0.1341,10,0.0557,10,,0,GREY-ZONE
MGC,1800,1815,SUMMER,44,41,0,3,0,0.9318,0.4634,-0.0718,0.6557,0.4350,41,0.3229,44,0.1989,3,GREY-ZONE
MGC,1800,1615,WINTER,4,4,0,0,0,1.0000,1.0000,0.3333,0.6667,1.2500,4,-0.2500,4,,0,GREY-ZONE
MGC,1800,1615,SUMMER,9,8,0,1,0,0.8889,0.6250,,,-0.2500,8,-0.8805,9,0.0752,1,GREY-ZONE
MGC,1800,1645,WINTER,5,5,0,0,0,1.0000,0.2000,0.6124,0.2722,0.2000,5,-0.4000,5,,0,REDUNDANT
MGC,1800,1645,SUMMER,9,7,0,2,0,0.7778,0.4286,-0.2582,0.5761,-0.1429,7,-0.3333,9,0.5000,2,GREY-ZONE
