symbol,session,model,break_dir,n,avg_r,total_r,wr
MES,1000,E0_CB1,long,242,0.14868842975206611,35.9826,0.38016528925619836
MES,1000,E_PRE_TOUCH,long,248,0.044410887096774196,11.013900000000001,0.33064516129032256
MES,1000,E0_CB1,short,270,0.08780148148148148,23.7064,0.37037037037037035
MES,1000,E_PRE_TOUCH,short,271,0.08273247232472325,22.4205,0.36531365313653136
MGC,1000,E0_CB1,long,53,0.45492264150943396,24.1109,0.49056603773584906
MGC,1000,E_PRE_TOUCH,long,53,0.3993,21.1629,0.4716981132075472
MGC,1000,E0_CB1,short,43,0.07978139534883721,3.4306,0.37209302325581395
MGC,1000,E_PRE_TOUCH,short,43,-0.062388372093023246,-2.6826999999999996,0.3023255813953488
MNQ,1000,E0_CB1,long,236,0.14575466101694914,34.3981,0.3813559322033898
MNQ,1000,E_PRE_TOUCH,long,238,0.13357689075630252,31.7913,0.37815126050420167
MNQ,1000,E0_CB1,short,273,0.09245457875457874,25.240099999999998,0.3626373626373626
MNQ,1000,E_PRE_TOUCH,short,274,0.05620036496350365,15.3989,0.354014598540146
MES,1100,E0_CB1,long,183,0.07706338797814208,14.1026,0.40437158469945356
MES,1100,E_PRE_TOUCH,long,187,0.03996524064171123,7.4735000000000005,0.39037433155080214
MES,1100,E0_CB1,short,156,0.08969615384615386,13.992600000000001,0.41025641025641024
MES,1100,E_PRE_TOUCH,short,158,0.02560189873417722,4.045100000000001,0.3860759493670886
MGC,1100,E0_CB1,long,125,0.12607600000000002,15.759500000000001,0.416
MGC,1100,E_PRE_TOUCH,long,125,0.12607600000000002,15.759500000000001,0.416
MGC,1100,E0_CB1,short,117,0.010631623931623936,1.2439000000000004,0.37606837606837606
MGC,1100,E_PRE_TOUCH,short,121,0.0643710743801653,7.788900000000001,0.39669421487603307
MNQ,1100,E0_CB1,long,263,0.2708444866920152,71.2321,0.4752851711026616
MNQ,1100,E_PRE_TOUCH,long,264,0.1966026515151515,51.903099999999995,0.44696969696969696
MNQ,1100,E0_CB1,short,231,-0.011690476190476194,-2.700500000000001,0.3722943722943723
MNQ,1100,E_PRE_TOUCH,short,236,-0.020117796610169495,-4.747800000000001,0.3686440677966102
