symbol,session,model,n,avg_r,total_r,wr
MES,1000,E0_CB1,512,0.116580078125,59.689,0.375
MES,1000,E_PRE_TOUCH,519,0.06442080924855492,33.434400000000004,0.348747591522158
MGC,1000,E0_CB1,96,0.286890625,27.5415,0.4375
MGC,1000,E_PRE_TOUCH,96,0.19250208333333332,18.4802,0.3958333333333333
MNQ,1000,E0_CB1,509,0.11716738703339882,59.6382,0.3713163064833006
MNQ,1000,E_PRE_TOUCH,512,0.092168359375,47.1902,0.365234375
MES,1100,E0_CB1,339,0.08287669616519175,28.095200000000002,0.40707964601769914
MES,1100,E_PRE_TOUCH,345,0.0333872463768116,11.518600000000001,0.3884057971014493
MGC,1100,E0_CB1,242,0.07026198347107439,17.003400000000003,0.39669421487603307
MGC,1100,E_PRE_TOUCH,246,0.09572520325203253,23.5484,0.4065040650406504
MNQ,1100,E0_CB1,494,0.13872793522267207,68.5316,0.4271255060728745
MNQ,1100,E_PRE_TOUCH,500,0.0943106,47.1553,0.41
