year,bucket,n,wr,avg_r,total_r
2021,baseline,170,0.38235294117647056,-0.1156594117647059,-19.662100000000002
2021,single_m6e,84,0.4642857142857143,0.07484166666666667,6.2867
2021,relay_m6e_mes,42,0.42857142857142855,-0.01011904761904762,-0.42500000000000004
2022,baseline,214,0.37383177570093457,-0.13195373831775703,-28.238100000000003
2022,single_m6e,114,0.43859649122807015,0.018221052631578936,2.0771999999999986
2022,relay_m6e_mes,53,0.4339622641509434,0.00777735849056604,0.4122000000000001
2023,baseline,199,0.37185929648241206,-0.15697437185929647,-31.2379
2023,single_m6e,97,0.35051546391752575,-0.20623608247422678,-20.0049
2023,relay_m6e_mes,45,0.37777777777777777,-0.14462222222222224,-6.508
2024,baseline,170,0.4411764705882353,0.01137647058823529,1.9339999999999993
2024,single_m6e,83,0.5421686746987951,0.22972530120481924,19.067199999999996
2024,relay_m6e_mes,39,0.48717948717948717,0.09854102564102565,3.8431000000000006
2025,baseline,188,0.4734042553191489,0.08987074468085106,16.895699999999998
2025,single_m6e,104,0.5576923076923077,0.286523076923077,29.798400000000004
2025,relay_m6e_mes,44,0.6363636363636364,0.47712727272727257,20.993599999999994
2026,baseline,23,0.43478260869565216,0.00686956521739131,0.15800000000000014
2026,single_m6e,9,0.4444444444444444,0.036977777777777804,0.3328000000000002
2026,relay_m6e_mes,2,0.0,-1.0,-2.0
