instrument,session,dst_regime,delay_bucket,n,sample_class,win_rate,avg_r,total_r,sharpe,pvalue,pvalue_bh,pct_of_fills
MES,0030,SUMMER,0-2,32,REGIME,0.281200,-0.367100,-11.750000,-0.404400,0.031595,0.085306,41.600000
MES,0030,SUMMER,2-5,0,INVALID,,,,,,,0.000000
MES,0030,SUMMER,5-10,3,INVALID,1.000000,0.627800,1.880000,1.070900,0.269119,0.463801,3.900000
MES,0030,SUMMER,10-20,6,INVALID,0.333300,-0.279600,-1.680000,-0.247800,0.603333,0.814500,7.800000
MES,0030,SUMMER,20-30,2,INVALID,0.000000,-1.000000,-2.000000,,0.000000,0.000000,2.600000
MES,0030,SUMMER,30+,34,REGIME,0.441200,0.031800,1.080000,0.027500,0.875340,0.932928,44.200000
MES,0030,WINTER,0-2,32,REGIME,0.125000,-0.596000,-19.070000,-1.213500,0.000000,0.000000,61.500000
MES,0030,WINTER,2-5,2,INVALID,0.500000,-0.215100,-0.430000,-0.274100,0.829701,0.900306,3.800000
MES,0030,WINTER,5-10,0,INVALID,,,,,,,0.000000
MES,0030,WINTER,10-20,2,INVALID,0.500000,-0.444400,-0.890000,-0.800000,0.570447,0.783156,3.800000
MES,0030,WINTER,20-30,3,INVALID,0.000000,-0.479500,-1.440000,-1.302700,0.206770,0.408497,5.800000
MES,0030,WINTER,30+,13,INVALID,0.230800,-0.407500,-5.300000,-0.603800,0.058406,0.131413,25.000000
MES,0900,SUMMER,0-2,1,INVALID,0.000000,-1.000000,-1.000000,,,,7.700000
MES,0900,SUMMER,2-5,0,INVALID,,,,,,,0.000000
MES,0900,SUMMER,5-10,0,INVALID,,,,,,,0.000000
MES,0900,SUMMER,10-20,2,INVALID,0.000000,-1.000000,-2.000000,,0.000000,0.000000,15.400000
MES,0900,SUMMER,20-30,0,INVALID,,,,,,,0.000000
MES,0900,SUMMER,30+,10,INVALID,0.200000,-0.400000,-4.000000,-0.333300,0.343436,0.568722,76.900000
