instrument,session,dst_regime,atr_regime,atr_threshold,delay_bucket,n,sample_class,avg_r,win_rate,pvalue,pvalue_bh
MES,0030,SUMMER,EXPANSION,59.662500,0-2,13,INVALID,-0.119400,0.307700,0.720970,0.917500
MES,0030,SUMMER,EXPANSION,59.662500,2-5,0,INVALID,,,,
MES,0030,SUMMER,EXPANSION,59.662500,5-10,2,INVALID,0.230100,1.000000,0.459757,0.766262
MES,0030,SUMMER,EXPANSION,59.662500,10-20,3,INVALID,-0.559100,0.333300,0.332345,0.604264
MES,0030,SUMMER,EXPANSION,59.662500,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,0030,SUMMER,EXPANSION,59.662500,30+,18,INVALID,-0.076300,0.388900,0.775272,0.917500
MES,0030,SUMMER,CONTRACTION,59.662500,0-2,19,INVALID,-0.536500,0.263200,0.003023,0.011336
MES,0030,SUMMER,CONTRACTION,59.662500,2-5,0,INVALID,,,,
MES,0030,SUMMER,CONTRACTION,59.662500,5-10,1,INVALID,1.423100,1.000000,,
MES,0030,SUMMER,CONTRACTION,59.662500,10-20,3,INVALID,0.000000,0.333300,1.000000,1.000000
MES,0030,SUMMER,CONTRACTION,59.662500,20-30,0,INVALID,,,,
MES,0030,SUMMER,CONTRACTION,59.662500,30+,16,INVALID,0.153500,0.500000,0.633891,0.883269
MES,0030,WINTER,EXPANSION,71.675000,0-2,12,INVALID,-0.536100,0.083300,0.002898,0.011218
MES,0030,WINTER,EXPANSION,71.675000,2-5,2,INVALID,-0.215100,0.500000,0.829701,0.930506
MES,0030,WINTER,EXPANSION,71.675000,5-10,0,INVALID,,,,
MES,0030,WINTER,EXPANSION,71.675000,10-20,2,INVALID,-0.444400,0.500000,0.570447,0.824743
MES,0030,WINTER,EXPANSION,71.675000,20-30,2,INVALID,-0.608100,0.000000,0.364439,0.652727
MES,0030,WINTER,EXPANSION,71.675000,30+,8,INVALID,-0.491300,0.125000,0.050478,0.137667
MES,0030,WINTER,CONTRACTION,71.675000,0-2,20,INVALID,-0.631900,0.150000,0.000027,0.000130
MES,0030,WINTER,CONTRACTION,71.675000,2-5,0,INVALID,,,,
MES,0030,WINTER,CONTRACTION,71.675000,5-10,0,INVALID,,,,
MES,0030,WINTER,CONTRACTION,71.675000,10-20,0,INVALID,,,,
MES,0030,WINTER,CONTRACTION,71.675000,20-30,1,INVALID,-0.222200,0.000000,,
MES,0030,WINTER,CONTRACTION,71.675000,30+,5,INVALID,-0.273400,0.400000,0.540356,0.800527
MES,0900,SUMMER,EXPANSION,107.550000,0-2,0,INVALID,,,,
MES,0900,SUMMER,EXPANSION,107.550000,2-5,0,INVALID,,,,
MES,0900,SUMMER,EXPANSION,107.550000,5-10,0,INVALID,,,,
MES,0900,SUMMER,EXPANSION,107.550000,10-20,0,INVALID,,,,
MES,0900,SUMMER,EXPANSION,107.550000,20-30,0,INVALID,,,,
