instrument,session,dst_regime,orb_filter,delay_bucket,n,sample_class,avg_r,win_rate,pvalue,pvalue_bh
MES,0030,SUMMER,G4,0-2,32,REGIME,-0.367100,0.281200,0.031595,0.089573
MES,0030,SUMMER,G4,2-5,0,INVALID,,,,
MES,0030,SUMMER,G4,5-10,3,INVALID,0.627800,1.000000,0.269119,0.474581
MES,0030,SUMMER,G4,10-20,6,INVALID,-0.279600,0.333300,0.603333,0.770258
MES,0030,SUMMER,G4,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,0030,SUMMER,G4,30+,34,REGIME,0.031800,0.441200,0.875340,0.925479
MES,0030,SUMMER,G5,0-2,27,INVALID,-0.499300,0.222200,0.003082,0.010336
MES,0030,SUMMER,G5,2-5,0,INVALID,,,,
MES,0030,SUMMER,G5,5-10,3,INVALID,0.627800,1.000000,0.269119,0.474581
MES,0030,SUMMER,G5,10-20,5,INVALID,-0.735500,0.200000,0.049794,0.131667
MES,0030,SUMMER,G5,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,0030,SUMMER,G5,30+,25,INVALID,0.066000,0.440000,0.783955,0.878863
MES,0030,SUMMER,G6,0-2,20,INVALID,-0.570900,0.200000,0.001131,0.004039
MES,0030,SUMMER,G6,2-5,0,INVALID,,,,
MES,0030,SUMMER,G6,5-10,3,INVALID,0.627800,1.000000,0.269119,0.474581
MES,0030,SUMMER,G6,10-20,3,INVALID,-0.559100,0.333300,0.332345,0.560207
MES,0030,SUMMER,G6,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,0030,SUMMER,G6,30+,19,INVALID,0.228800,0.526300,0.405515,0.626498
MES,0030,SUMMER,G8,0-2,13,INVALID,-0.399600,0.307700,0.080457,0.191161
MES,0030,SUMMER,G8,2-5,0,INVALID,,,,
MES,0030,SUMMER,G8,5-10,2,INVALID,0.230100,1.000000,0.459757,0.676113
MES,0030,SUMMER,G8,10-20,0,INVALID,,,,
MES,0030,SUMMER,G8,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,0030,SUMMER,G8,30+,13,INVALID,0.472000,0.615400,0.183738,0.379909
MES,0030,WINTER,G4,0-2,32,REGIME,-0.596000,0.125000,0.000000,0.000000
MES,0030,WINTER,G4,2-5,2,INVALID,-0.215100,0.500000,0.829701,0.893344
MES,0030,WINTER,G4,5-10,0,INVALID,,,,
MES,0030,WINTER,G4,10-20,2,INVALID,-0.444400,0.500000,0.570447,0.754197
MES,0030,WINTER,G4,20-30,3,INVALID,-0.479500,0.000000,0.206770,0.400362
MES,0030,WINTER,G4,30+,13,INVALID,-0.407500,0.230800,0.058406,0.144700
