strategy_id,strategy,overlay,n_base,n_on,retain,avg_base,avg_on,delta_avg,wr_base,wr_on,delta_wr,test2025_delta_vs_base
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,OV_f_fast15,386,340,0.8808290155440415,0.27670673575129534,0.31906,0.04235326424870467,0.3471502590673575,0.3588235294117647,0.011673270344407183,0.0028054675716440436
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,OV_f_size60,386,155,0.4015544041450777,0.27670673575129534,0.25810967741935487,-0.018597058331940475,0.3471502590673575,0.33548387096774196,-0.011666388099615566,-0.3028279202279202
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,OV_f_vol60,386,155,0.4015544041450777,0.27670673575129534,0.4953077419354839,0.21860100618418854,0.3471502590673575,0.4064516129032258,0.059301353835868265,0.25727227997228
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,OV_f_fast30_size60,386,149,0.3860103626943005,0.27670673575129534,0.28350134228187923,0.006794606530583891,0.3471502590673575,0.3422818791946309,-0.004868379872726647,-0.41549102564102564
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,OV_l_size60,386,155,0.4015544041450777,0.27670673575129534,0.44814387096774194,0.1714371352164466,0.3471502590673575,0.3935483870967742,0.046398128029416674,-0.3038553613053613
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_f_size60,493,197,0.3995943204868154,0.08136166328600405,0.08418934010152282,0.002827676815518765,0.47058823529411764,0.4619289340101523,-0.00865930128396536,-0.08139749552772818
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_f_vol60,493,197,0.3995943204868154,0.08136166328600405,0.048492893401015216,-0.03286876988498884,0.47058823529411764,0.45685279187817257,-0.01373544341594507,0.08604989604989605
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_f_fast30_size60,493,195,0.39553752535496955,0.08136166328600405,0.08361948717948717,0.002257823893483113,0.47058823529411764,0.46153846153846156,-0.009049773755656076,-0.08139749552772818
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_l_size60,493,197,0.3995943204868154,0.08136166328600405,0.04558680203045685,-0.035774861255547206,0.47058823529411764,0.4517766497461929,-0.018811585547924725,0.2367961538461537
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,OV_f_fast30,630,593,0.9412698412698413,0.04090269841269842,0.0446308600337268,0.003728161621028382,0.5174603174603175,0.5227655986509275,0.005305281190610023,0.029932036304816674
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,OV_f_fast15,630,537,0.8523809523809524,0.04090269841269842,0.06159385474860335,0.02069115633590493,0.5174603174603175,0.5344506517690876,0.01699033430877006,0.04268304105848996
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,OV_f_size60,630,252,0.4,0.04090269841269842,0.08569999999999997,0.04479730158730155,0.5174603174603175,0.48412698412698413,-0.03333333333333338,-0.12636580023364485
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,OV_f_vol60,630,252,0.4,0.04090269841269842,0.13744920634920632,0.0965465079365079,0.5174603174603175,0.5793650793650794,0.06190476190476191,0.12615607476635513
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,OV_f_cont_fast30,630,587,0.9317460317460318,0.04090269841269842,0.04060187393526405,-0.00030082447743436797,0.5174603174603175,0.5195911413969335,0.002130823936616011,0.011825682609492384
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,OV_f_fast30_size60,630,218,0.346031746031746,0.04090269841269842,0.1069963302752293,0.06609363186253088,0.5174603174603175,0.4954128440366973,-0.022047473423620234,-0.03209564937157589
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,OV_l_size60,630,252,0.4,0.04090269841269842,0.05750000000000001,0.01659730158730159,0.5174603174603175,0.47619047619047616,-0.041269841269841345,-0.11312457039493518
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_f_size60,496,198,0.39919354838709675,0.03453185483870967,0.006721717171717176,-0.027810137666992495,0.45161290322580644,0.4292929292929293,-0.022319973932877157,0.04700166500166503
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_f_vol60,496,199,0.4012096774193548,0.03453185483870967,0.03402864321608039,-0.0005032116226292849,0.45161290322580644,0.45226130653266333,0.0006484033068568928,0.04151619263089851
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_f_fast30_size60,496,195,0.39314516129032256,0.03453185483870967,0.01031743589743589,-0.024214418941273783,0.45161290322580644,0.4307692307692308,-0.020843672456575646,0.01457685439560441
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_l_fast30,496,466,0.9395161290322581,0.03453185483870967,0.031718669527896974,-0.002813185310812698,0.45161290322580644,0.45064377682403434,-0.0009691264017721024,-0.006384157509157523
