instrument,session,dst_regime,g_filter,stack_level,stack_label,n,freq_per_year,avg_r,conviction_score,sizing_tier,sample_class
MGC,1000,all,G4,L0,size,136,0.500000,0.029550,1.000000,1x,PRELIMINARY
MGC,1000,all,G4,L1,size+dir,73,0.300000,0.037623,1.273000,1x,REGIME
MGC,1000,all,G4,L2,size+conc,119,0.500000,0.010053,0.340000,1x,PRELIMINARY
MGC,1000,all,G4,L3,size+dir+conc,60,0.200000,0.100885,3.414000,3x,REGIME
MGC,1000,all,G4,L4,size+dir+conc+vol,50,0.200000,0.205138,6.942000,3x,REGIME
MGC,1000,all,G4,L5,size+dir+conc+vol+cal,48,0.200000,0.255352,8.641000,3x,REGIME
MGC,1000,all,G5,L0,size,91,0.400000,0.090813,1.000000,1x,REGIME
MGC,1000,all,G5,L1,size+dir,50,0.200000,0.285026,3.139000,3x,REGIME
MGC,1000,all,G5,L2,size+conc,85,0.300000,0.122407,1.348000,1x,REGIME
MGC,1000,all,G5,L3,size+dir+conc,45,0.200000,0.399120,4.395000,3x,REGIME
MGC,1000,all,G5,L4,size+dir+conc+vol,37,0.100000,0.544978,6.001000,3x,REGIME
MGC,1000,all,G5,L5,size+dir+conc+vol+cal,37,0.100000,0.544978,6.001000,3x,REGIME
MGC,1000,all,G6,L1,size+dir,35,0.100000,0.118083,,1x,REGIME
MGC,1000,all,G6,L3,size+dir+conc,33,0.100000,0.166639,,1x,REGIME
MES,1000,all,G4,L0,size,170,0.700000,0.058643,1.000000,1x,PRELIMINARY
MES,1000,all,G4,L1,size+dir,87,0.300000,0.035097,0.598000,1x,REGIME
MES,1000,all,G4,L2,size+conc,166,0.700000,0.051356,0.876000,1x,PRELIMINARY
MES,1000,all,G4,L3,size+dir+conc,86,0.300000,0.015729,0.268000,1x,REGIME
MES,1000,all,G4,L4,size+dir+conc+vol,73,0.300000,0.058186,0.992000,1x,REGIME
MES,1000,all,G4,L5,size+dir+conc+vol+cal,66,0.300000,0.110302,1.881000,2x,REGIME
MES,1000,all,G5,L0,size,116,0.500000,0.024774,1.000000,1x,PRELIMINARY
MES,1000,all,G5,L1,size+dir,64,0.300000,0.035844,1.447000,1x,REGIME
MES,1000,all,G5,L2,size+conc,112,0.400000,0.012764,0.515000,1x,PRELIMINARY
MES,1000,all,G5,L3,size+dir+conc,63,0.300000,0.009417,0.380000,1x,REGIME
MES,1000,all,G5,L4,size+dir+conc+vol,57,0.200000,0.082905,3.346000,3x,REGIME
MES,1000,all,G5,L5,size+dir+conc+vol+cal,50,0.200000,0.155158,6.263000,3x,REGIME
MES,1000,all,G6,L0,size,82,0.300000,0.027166,1.000000,1x,REGIME
MES,1000,all,G6,L1,size+dir,42,0.200000,0.128169,4.718000,3x,REGIME
MES,1000,all,G6,L2,size+conc,78,0.300000,0.010044,0.370000,1x,REGIME
MES,1000,all,G6,L3,size+dir+conc,41,0.200000,0.089815,3.306000,3x,REGIME
MES,1000,all,G6,L4,size+dir+conc+vol,38,0.200000,0.157329,5.791000,3x,REGIME
MES,1000,all,G6,L5,size+dir+conc+vol+cal,32,0.100000,0.250338,9.215000,3x,REGIME
MNQ,1000,all,G4,L4,size+dir+conc+vol,147,0.600000,0.056326,,1x,PRELIMINARY
MNQ,1000,all,G4,L5,size+dir+conc+vol+cal,138,0.600000,0.078737,,1x,PRELIMINARY
MNQ,1000,all,G5,L4,size+dir+conc+vol,146,0.600000,0.047809,,1x,PRELIMINARY
MNQ,1000,all,G5,L5,size+dir+conc+vol+cal,137,0.500000,0.069824,,1x,PRELIMINARY
MNQ,1000,all,G6,L4,size+dir+conc+vol,141,0.600000,0.034048,,1x,PRELIMINARY
MNQ,1000,all,G6,L5,size+dir+conc+vol+cal,132,0.500000,0.055959,,1x,PRELIMINARY
MNQ,1000,all,G8,L4,size+dir+conc+vol,134,0.500000,0.032204,,1x,PRELIMINARY
MNQ,1000,all,G8,L5,size+dir+conc+vol+cal,125,0.500000,0.055210,,1x,PRELIMINARY
MGC,0900,winter,G4,L0,size,69,0.300000,0.358319,1.000000,1x,REGIME
MGC,0900,winter,G4,L1,size+dir,69,0.300000,0.358319,1.000000,1x,REGIME
MGC,0900,winter,G4,L2,size+conc,69,0.300000,0.358319,1.000000,1x,REGIME
MGC,0900,winter,G4,L3,size+dir+conc,69,0.300000,0.358319,1.000000,1x,REGIME
MGC,0900,winter,G4,L4,size+dir+conc+vol,55,0.200000,0.361236,1.008000,1x,REGIME
MGC,0900,winter,G4,L5,size+dir+conc+vol+cal,54,0.200000,0.369544,1.031000,1x,REGIME
MGC,0900,winter,G5,L0,size,58,0.200000,0.368464,1.000000,1x,REGIME
MGC,0900,winter,G5,L1,size+dir,58,0.200000,0.368464,1.000000,1x,REGIME
MGC,0900,winter,G5,L2,size+conc,58,0.200000,0.368464,1.000000,1x,REGIME
MGC,0900,winter,G5,L3,size+dir+conc,58,0.200000,0.368464,1.000000,1x,REGIME
MGC,0900,winter,G5,L4,size+dir+conc+vol,48,0.200000,0.343231,0.932000,1x,REGIME
MGC,0900,winter,G5,L5,size+dir+conc+vol+cal,47,0.200000,0.352394,0.956000,1x,REGIME
MGC,0900,winter,G6,L0,size,46,0.200000,0.293500,1.000000,1x,REGIME
MGC,0900,winter,G6,L1,size+dir,46,0.200000,0.293500,1.000000,1x,REGIME
MGC,0900,winter,G6,L2,size+conc,46,0.200000,0.293500,1.000000,1x,REGIME
MGC,0900,winter,G6,L3,size+dir+conc,46,0.200000,0.293500,1.000000,1x,REGIME
MGC,0900,winter,G6,L4,size+dir+conc+vol,41,0.200000,0.298561,1.017000,1x,REGIME
MGC,0900,winter,G6,L5,size+dir+conc+vol+cal,40,0.200000,0.308210,1.050000,1x,REGIME
MGC,0900,winter,G8,L0,size,33,0.100000,0.348709,1.000000,1x,REGIME
MGC,0900,winter,G8,L1,size+dir,33,0.100000,0.348709,1.000000,1x,REGIME
MGC,0900,winter,G8,L2,size+conc,33,0.100000,0.348709,1.000000,1x,REGIME
MGC,0900,winter,G8,L3,size+dir+conc,33,0.100000,0.348709,1.000000,1x,REGIME
MGC,0900,winter,G8,L4,size+dir+conc+vol,31,0.100000,0.319923,0.917000,1x,REGIME
MGC,0900,winter,G8,L5,size+dir+conc+vol+cal,30,0.100000,0.333500,0.956000,1x,REGIME
MGC,0900,summer,G4,L0,size,51,0.200000,0.042257,1.000000,1x,REGIME
MGC,0900,summer,G4,L1,size+dir,51,0.200000,0.042257,1.000000,1x,REGIME
MGC,0900,summer,G4,L2,size+conc,51,0.200000,0.042257,1.000000,1x,REGIME
MGC,0900,summer,G4,L3,size+dir+conc,51,0.200000,0.042257,1.000000,1x,REGIME
MGC,0900,summer,G5,L0,size,36,0.100000,0.253686,1.000000,1x,REGIME
MGC,0900,summer,G5,L1,size+dir,36,0.100000,0.253686,1.000000,1x,REGIME
MGC,0900,summer,G5,L2,size+conc,36,0.100000,0.253686,1.000000,1x,REGIME
MGC,0900,summer,G5,L3,size+dir+conc,36,0.100000,0.253686,1.000000,1x,REGIME
MGC,0900,summer,G5,L4,size+dir+conc+vol,34,0.100000,0.170971,0.674000,1x,REGIME
MGC,0900,summer,G5,L5,size+dir+conc+vol+cal,32,0.100000,0.073009,0.288000,1x,REGIME
MES,0030,winter,G4,L2,size+conc,126,0.500000,0.013387,,1x,PRELIMINARY
MES,0030,winter,G4,L3,size+dir+conc,126,0.500000,0.013387,,1x,PRELIMINARY
MES,0030,winter,G4,L4,size+dir+conc+vol,76,0.300000,0.107087,,1x,REGIME
MES,0030,winter,G4,L5,size+dir+conc+vol+cal,69,0.300000,0.057707,,1x,REGIME
MES,0030,winter,G5,L2,size+conc,123,0.500000,0.017556,,1x,PRELIMINARY
MES,0030,winter,G5,L3,size+dir+conc,123,0.500000,0.017556,,1x,PRELIMINARY
MES,0030,winter,G5,L4,size+dir+conc+vol,76,0.300000,0.107087,,1x,REGIME
