instrument,session,dst_regime,g_filter,stack_level,n_rv12,avg_r_rv12,n_rv15,avg_r_rv15,delta_avg_r,verdict
MGC,1000,all,G4,L4,50,0.205138,43,0.263021,0.057900,ROBUST
MGC,1000,all,G4,L5,48,0.255352,42,0.293093,0.037700,ROBUST
MGC,1000,all,G5,L4,37,0.544978,32,0.600538,0.055600,ROBUST
MGC,1000,all,G5,L5,37,0.544978,32,0.600538,0.055600,ROBUST
MGC,1000,all,G6,L4,26,0.358138,23,0.409565,0.051400,ROBUST
MGC,1000,all,G6,L5,26,0.358138,23,0.409565,0.051400,ROBUST
MGC,1000,all,G8,L4,13,0.386808,11,0.376082,-0.010700,ROBUST
MGC,1000,all,G8,L5,13,0.386808,11,0.376082,-0.010700,ROBUST
MES,1000,all,G4,L4,73,0.058186,59,0.167180,0.109000,ROBUST
MES,1000,all,G4,L5,66,0.110302,53,0.224451,0.114100,ROBUST
MES,1000,all,G5,L4,57,0.082905,47,0.165404,0.082500,ROBUST
MES,1000,all,G5,L5,50,0.155158,41,0.239178,0.084000,ROBUST
MES,1000,all,G6,L4,38,0.157329,33,0.197885,0.040600,ROBUST
MES,1000,all,G6,L5,32,0.250338,28,0.270089,0.019800,ROBUST
MES,1000,all,G8,L4,19,0.093758,17,0.031782,-0.062000,ROBUST
MES,1000,all,G8,L5,17,0.191382,15,0.134160,-0.057200,ROBUST
MNQ,1000,all,G4,L4,147,0.056326,124,0.062926,0.006600,ROBUST
MNQ,1000,all,G4,L5,138,0.078737,115,0.090336,0.011600,ROBUST
MNQ,1000,all,G5,L4,146,0.047809,123,0.052870,0.005100,ROBUST
MNQ,1000,all,G5,L5,137,0.069824,114,0.079726,0.009900,ROBUST
MNQ,1000,all,G6,L4,141,0.034048,119,0.048113,0.014100,ROBUST
MNQ,1000,all,G6,L5,132,0.055959,110,0.075556,0.019600,ROBUST
MNQ,1000,all,G8,L4,134,0.032204,116,0.053721,0.021500,ROBUST
MNQ,1000,all,G8,L5,125,0.055210,107,0.082406,0.027200,ROBUST
MGC,0900,winter,G4,L4,55,0.361236,52,0.391485,0.030200,ROBUST
MGC,0900,winter,G4,L5,54,0.369544,51,0.400875,0.031300,ROBUST
MGC,0900,winter,G5,L4,48,0.343231,45,0.376984,0.033800,ROBUST
MGC,0900,winter,G5,L5,47,0.352394,44,0.387539,0.035100,ROBUST
MGC,0900,winter,G6,L4,41,0.298561,38,0.335005,0.036400,ROBUST
MGC,0900,winter,G6,L5,40,0.308210,37,0.346422,0.038200,ROBUST
MGC,0900,winter,G8,L4,31,0.319923,29,0.352441,0.032500,ROBUST
MGC,0900,winter,G8,L5,30,0.333500,28,0.368150,0.034700,ROBUST
MGC,0900,summer,G4,L4,46,-0.013998,42,0.056602,0.070600,--
MGC,0900,summer,G4,L5,44,-0.093650,40,-0.027485,0.066200,--
MGC,0900,summer,G5,L4,34,0.170971,31,0.259239,0.088300,ROBUST
MGC,0900,summer,G5,L5,32,0.073009,29,0.157231,0.084200,ROBUST
MGC,0900,summer,G6,L4,22,0.072091,20,0.140470,0.068400,ROBUST
MGC,0900,summer,G6,L5,20,-0.094535,18,-0.037072,0.057500,--
MGC,0900,summer,G8,L4,10,0.173040,10,0.173040,0.000000,ROBUST
MGC,0900,summer,G8,L5,8,-0.218287,8,-0.218287,0.000000,--
MES,0030,winter,G4,L4,76,0.107087,56,0.154761,0.047700,ROBUST
MES,0030,winter,G4,L5,69,0.057707,51,0.158573,0.100900,ROBUST
MES,0030,winter,G5,L4,76,0.107087,56,0.154761,0.047700,ROBUST
MES,0030,winter,G5,L5,69,0.057707,51,0.158573,0.100900,ROBUST
MES,0030,winter,G6,L4,71,0.148066,51,0.216484,0.068400,ROBUST
MES,0030,winter,G6,L5,64,0.099311,46,0.227420,0.128100,ROBUST
MES,0030,winter,G8,L4,58,0.220078,43,0.254884,0.034800,ROBUST
MES,0030,winter,G8,L5,52,0.198238,39,0.309777,0.111500,ROBUST
MES,0030,summer,G4,L4,136,0.418262,105,0.426915,0.008700,ROBUST
MES,0030,summer,G4,L5,121,0.368173,95,0.373881,0.005700,ROBUST
MES,0030,summer,G5,L4,124,0.410518,98,0.424102,0.013600,ROBUST
MES,0030,summer,G5,L5,110,0.364732,88,0.366530,0.001800,ROBUST
MES,0030,summer,G6,L4,103,0.289253,83,0.300460,0.011200,ROBUST
MES,0030,summer,G6,L5,91,0.244766,75,0.251935,0.007200,ROBUST
MES,0030,summer,G8,L4,67,0.174949,54,0.197648,0.022700,ROBUST
MES,0030,summer,G8,L5,57,0.134014,47,0.135443,0.001400,ROBUST
MNQ,0030,winter,G4,L4,82,0.358293,52,0.633892,0.275600,ROBUST
MNQ,0030,winter,G4,L5,72,0.344075,46,0.593370,0.249300,ROBUST
MNQ,0030,winter,G5,L4,82,0.358293,52,0.633892,0.275600,ROBUST
MNQ,0030,winter,G5,L5,72,0.344075,46,0.593370,0.249300,ROBUST
MNQ,0030,winter,G6,L4,82,0.358293,52,0.633892,0.275600,ROBUST
MNQ,0030,winter,G6,L5,72,0.344075,46,0.593370,0.249300,ROBUST
MNQ,0030,winter,G8,L4,82,0.358293,52,0.633892,0.275600,ROBUST
MNQ,0030,winter,G8,L5,72,0.344075,46,0.593370,0.249300,ROBUST
MNQ,0030,summer,G4,L4,138,0.252743,95,0.155000,-0.097700,ROBUST
MNQ,0030,summer,G4,L5,124,0.185198,86,0.108184,-0.077000,ROBUST
MNQ,0030,summer,G5,L4,138,0.252743,95,0.155000,-0.097700,ROBUST
MNQ,0030,summer,G5,L5,124,0.185198,86,0.108184,-0.077000,ROBUST
MNQ,0030,summer,G6,L4,138,0.252743,95,0.155000,-0.097700,ROBUST
MNQ,0030,summer,G6,L5,124,0.185198,86,0.108184,-0.077000,ROBUST
MNQ,0030,summer,G8,L4,138,0.252743,95,0.155000,-0.097700,ROBUST
MNQ,0030,summer,G8,L5,124,0.185198,86,0.108184,-0.077000,ROBUST
