instrument,session,g_filter,concordance_tier,n,n_g_filter_total,pct_of_g_filter_days,avg_r,win_rate,pvalue,pvalue_bh,sample_class
MGC,1000,G4,concordant_3,54,136,0.397100,0.201607,0.425926,0.248905,0.510084,REGIME
MGC,1000,G4,majority_2,65,136,0.477900,-0.149085,0.276923,0.297549,0.510084,REGIME
MGC,1000,G4,remaining,17,136,0.125000,0.166029,0.411765,0.571682,0.686018,INVALID
MGC,1000,G5,concordant_3,41,91,0.450500,0.337988,0.463415,0.097347,0.510084,REGIME
MGC,1000,G5,majority_2,44,91,0.483500,-0.078475,0.295455,0.662849,0.723108,REGIME
MGC,1000,G5,remaining,6,91,0.065900,-0.356767,0.166667,0.419898,0.595668,INVALID
MGC,1000,G6,concordant_3,31,63,0.492100,0.176419,0.387097,0.446751,0.595668,REGIME
MGC,1000,G6,majority_2,30,63,0.476200,-0.250617,0.233333,0.245074,0.510084,REGIME
MGC,1000,G6,remaining,2,63,0.031700,-0.683100,0.000000,0.276525,0.510084,INVALID
MGC,1000,G8,concordant_3,14,34,0.411800,0.116043,0.357143,0.746688,0.746688,INVALID
MGC,1000,G8,majority_2,18,34,0.529400,-0.318328,0.222222,0.272726,0.510084,INVALID
MGC,1000,G8,remaining,2,34,0.058800,-0.683100,0.000000,0.276525,0.510084,INVALID
