symbol,leader_session,follower_session,entry_model,confirm_bars,rr_target,condition,n,n_on,signals_per_year,avg_on,avg_off,uplift,perm_p,test2025_uplift
MES,0900,1000,E0,1,2.5,same,1685,814,101.75,0.033569533169533164,-0.10122881745120553,0.1347983506207387,0.04477611940298507,0.43179074289626845
MES,0900,1000,E0,1,2.5,same_fast30,1685,684,85.5,0.04031842105263159,-0.08833416583416583,0.12865258688679743,0.07960199004975124,0.4866611675824176
MES,0900,1000,E0,1,2.5,same_cont,1685,686,85.75,0.0419771137026239,-0.08973073073073072,0.13170784443335462,0.08955223880597014,0.4246603141935926
MES,0900,1000,E0,1,2.5,opp,1685,871,108.875,-0.10122881745120553,0.033569533169533164,-0.1347983506207387,0.9601990049751243,-0.43179074289626845
MES,0900,1000,E0,1,2.5,opp_stretch,1685,214,26.75,-0.16899813084112147,-0.01677709041468388,-0.15222104042643758,0.9850746268656716,
MES,0900,1000,E1,2,2.5,same,1711,831,103.875,-0.1385016847172082,-0.25980272727272724,0.12130104255551905,0.01990049751243781,0.5892599159215267
MES,0900,1000,E1,2,2.5,same_fast30,1711,696,87.0,-0.15166954022988505,-0.23463970443349755,0.0829701642036125,0.12437810945273632,0.596194040444623
MES,0900,1000,E1,2,2.5,same_cont,1711,700,87.5,-0.14484628571428573,-0.23969228486646885,0.09484599915218311,0.07462686567164178,0.6188970662924351
MES,0900,1000,E1,2,2.5,opp,1711,880,110.0,-0.25980272727272724,-0.1385016847172082,-0.12130104255551905,0.9850746268656716,-0.5892599159215267
MES,0900,1000,E1,2,2.5,opp_stretch,1711,214,26.75,-0.36233037383177574,-0.17781068804275216,-0.18451968578902359,0.9950248756218906,
MES,1000,US_DATA_OPEN,E0,1,2.5,same,1680,825,103.125,-0.02626327272727273,-0.07644865497076024,0.05018538224348751,0.21393034825870647,0.027331673553718988
MES,1000,US_DATA_OPEN,E0,1,2.5,same_fast30,1680,679,84.875,0.042069808541973494,-0.11548071928071928,0.15755052782269277,0.014925373134328358,0.18717730048577377
MES,1000,US_DATA_OPEN,E0,1,2.5,same_cont,1680,704,88.0,-0.0005139204545454478,-0.08880020491803278,0.08828628446348734,0.16417910447761194,0.059041594322722865
MES,1000,US_DATA_OPEN,E0,1,2.5,opp,1680,855,106.875,-0.07644865497076024,-0.02626327272727273,-0.05018538224348751,0.7910447761194029,-0.027331673553718988
MES,1000,US_DATA_OPEN,E0,1,2.5,opp_stretch,1680,180,22.5,-0.11103444444444442,-0.04469639999999999,-0.06633804444444444,0.7611940298507462,
MES,1000,US_DATA_OPEN,E1,2,2.5,same,1654,812,101.5,-0.16140012315270938,-0.2063900237529691,0.04498990060025973,0.2935323383084577,0.2782377873563219
MES,1000,US_DATA_OPEN,E1,2,2.5,same_fast30,1654,666,83.25,-0.14323633633633634,-0.21198572874493923,0.0687493924086029,0.11442786069651742,0.41123396226415093
MES,1000,US_DATA_OPEN,E1,2,2.5,same_cont,1654,691,86.375,-0.1678642547033285,-0.196098753894081,0.028234499190752493,0.24378109452736318,0.3042721311475409
MES,1000,US_DATA_OPEN,E1,2,2.5,opp,1654,842,105.25,-0.2063900237529691,-0.16140012315270938,-0.04498990060025973,0.7114427860696517,-0.2782377873563219
MES,1000,US_DATA_OPEN,E1,2,2.5,opp_stretch,1654,176,22.0,-0.3056670454545454,-0.16985108254397835,-0.13581596291056708,0.8805970149253731,
MES,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,same,1647,788,98.5,0.04879441624365482,0.08748742724097787,-0.03869301099732305,0.8009950248756219,-0.0433999557783019
MES,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,same_fast30,1647,652,81.5,0.042003987730061344,0.0866483417085427,-0.044644353978481356,0.8606965174129353,-0.05654554895025962
MES,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,same_cont,1647,693,86.625,0.046864213564213573,0.08503647798742138,-0.038172264423207806,0.7910447761194029,-0.08038462901439646
MES,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,opp,1647,859,107.375,0.08748742724097787,0.04879441624365482,0.03869301099732305,0.20398009950248755,0.0433999557783019
MES,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,opp_stretch,1647,198,24.75,0.23369545454545457,0.046466528640441686,0.1872289259050129,0.03482587064676617,
MES,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,same,1486,714,89.25,-0.1532939775910364,-0.1269788860103627,-0.026315091580673716,0.6517412935323383,-0.20703181818181818
MES,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,same_fast30,1486,590,73.75,-0.14737084745762713,-0.13452098214285715,-0.012849865314769976,0.7164179104477612,-0.3383048553719008
MES,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,same_cont,1486,636,79.5,-0.13681493710691822,-0.14172388235294117,0.00490894524602295,0.6169154228855721,-0.20703181818181818
MES,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,opp,1486,772,96.5,-0.1269788860103627,-0.1532939775910364,0.026315091580673716,0.35323383084577115,0.20703181818181818
MES,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,opp_stretch,1486,185,23.125,-0.031106486486486454,-0.15505372790161415,0.1239472414151277,0.19900497512437812,
MES,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same,1660,850,106.25,0.06814870588235294,-0.01121407407407407,0.07936277995642702,0.15920398009950248,0.12709212095094444
MES,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same_fast30,1660,732,91.5,0.0828639344262295,-0.012729956896551726,0.09559389132278122,0.23880597014925373,0.1071911462450593
MES,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same_cont,1660,738,92.25,0.094809891598916,-0.022913991323210408,0.1177238829221264,0.13930348258706468,0.12709212095094444
MES,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,opp,1660,810,101.25,-0.01121407407407407,0.06814870588235294,-0.07936277995642702,0.845771144278607,-0.12709212095094444
