symbol,session,rr_target,confirm_bars,t80_minutes,n_before,n_after,avg_r_before,avg_r_after,wr_before,wr_after,t_stat,p_val,p_bh,verdict
MES,0030,1.0,1,38.0,4291,885,-0.0681,-0.0433,0.5311,0.5254,-1.4112,0.158551,0.207853,DIRECTIONAL (not significant)
MES,0030,1.0,2,59.0,2074,361,-0.0578,-0.052,0.5294,0.5152,-1.0695,0.285546,0.350207,DIRECTIONAL (not significant)
MES,0030,1.0,3,71.0,1721,348,-0.0675,-0.0617,0.5189,0.5115,-1.2491,0.212472,0.268119,DIRECTIONAL (not significant)
MES,0030,1.0,4,75.0,1568,354,-0.0426,-0.0858,0.53,0.4972,-1.7481,0.081315,0.115365,DIRECTIONAL (not significant)
MES,0030,1.0,5,86.0,1481,336,-0.0441,-0.0647,0.5287,0.506,-1.2781,0.202108,0.256788,DIRECTIONAL (not significant)
MES,0030,1.5,1,73.0,4453,719,-0.1087,0.2151,0.4056,0.5369,5.0882,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,0030,1.5,2,111.0,2097,308,-0.0883,0.2118,0.4096,0.5325,3.2565,0.001254,0.002828,NO-BENEFIT (avg_r_after >= 0)
MES,0030,1.5,3,136.0,1743,273,-0.1048,0.1963,0.3993,0.5201,2.8111,0.005297,0.010078,NO-BENEFIT (avg_r_after >= 0)
MES,0030,1.5,4,147.0,1585,266,-0.0973,0.1729,0.4006,0.5075,2.4306,0.015739,0.026542,NO-BENEFIT (avg_r_after >= 0)
MES,0030,1.5,5,167.0,1517,237,-0.0931,0.2523,0.4008,0.5401,3.3462,0.000953,0.002217,NO-BENEFIT (avg_r_after >= 0)
MES,0030,2.0,1,120.0,4501,601,-0.1147,0.498,0.3373,0.5507,8.981,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,0030,2.0,2,158.0,2059,288,-0.0979,0.3821,0.3385,0.5035,4.7042,4e-06,1.7e-05,NO-BENEFIT (avg_r_after >= 0)
MES,0030,2.0,3,194.0,1730,213,-0.1383,0.5094,0.3214,0.5493,5.4068,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,0030,2.0,4,192.0,1572,208,-0.1081,0.4439,0.3308,0.524,4.631,6e-06,2.5e-05,NO-BENEFIT (avg_r_after >= 0)
MES,0030,2.0,5,214.0,1489,189,-0.1411,0.5253,0.3177,0.5503,5.2135,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
