instrument,bris_time,bris_h,bris_m,dst_regime,size_filter,dominance,dom_desc,avg_vol,n_breaks,avg_r,wr,total_r,median_orb_size,median_mfe_r
MNQ,0900,9,0,WINTER,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",492.6,176,0.0644,0.3977,11.33,25.5,0.969
MNQ,0900,9,0,WINTER,G4+,HANDOFF,"CME open, US→Asia transition",492.6,176,0.0644,0.3977,11.33,25.5,0.969
MNQ,0900,9,0,WINTER,G8+,HANDOFF,"CME open, US→Asia transition",492.6,176,0.0644,0.3977,11.33,25.5,0.969
MNQ,0900,9,0,SUMMER,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",492.6,338,0.0573,0.355,19.36,10.5,1.092
MNQ,0900,9,0,SUMMER,G4+,HANDOFF,"CME open, US→Asia transition",492.6,319,0.0168,0.3417,5.36,10.75,1.069
MNQ,0900,9,0,SUMMER,G8+,HANDOFF,"CME open, US→Asia transition",492.6,227,-0.0072,0.3348,-1.64,14.25,1.043
MNQ,0915,9,15,ALL,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",291.1,516,0.1555,0.3857,80.26,9.75,1.312
MNQ,0915,9,15,ALL,G4+,HANDOFF,"CME open, US→Asia transition",291.1,466,0.1443,0.382,67.26,10.5,1.312
MNQ,0915,9,15,ALL,G8+,HANDOFF,"CME open, US→Asia transition",291.1,318,0.1109,0.3711,35.26,13.38,1.208
MNQ,0930,9,30,ALL,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",299.1,515,0.066,0.3553,34.0,9.5,1.031
MNQ,0930,9,30,ALL,G4+,HANDOFF,"CME open, US→Asia transition",299.1,477,0.0629,0.3543,30.0,10.0,1.031
MNQ,0930,9,30,ALL,G8+,HANDOFF,"CME open, US→Asia transition",299.1,320,0.0406,0.3469,13.0,13.5,0.917
MNQ,0945,9,45,ALL,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",284.6,516,0.0698,0.3566,36.0,9.25,1.101
MNQ,0945,9,45,ALL,G4+,HANDOFF,"CME open, US→Asia transition",284.6,483,0.0497,0.3499,24.0,10.0,1.081
MNQ,0945,9,45,ALL,G8+,HANDOFF,"CME open, US→Asia transition",284.6,328,0.0335,0.3445,11.0,12.75,1.058
MNQ,1000,10,0,ALL,ALL_BREAKS,ASIA-ONLY,"Tokyo open, US/EU asleep",507.0,516,0.1521,0.3895,78.47,14.0,1.223
MNQ,1000,10,0,ALL,G4+,ASIA-ONLY,"Tokyo open, US/EU asleep",507.0,512,0.1611,0.3926,82.47,14.0,1.239
MNQ,1000,10,0,ALL,G8+,ASIA-ONLY,"Tokyo open, US/EU asleep",507.0,440,0.1329,0.3841,58.47,15.88,1.139
MNQ,1015,10,15,ALL,ALL_BREAKS,ASIA-ONLY,"Tokyo open, US/EU asleep",387.7,516,0.3102,0.4399,160.05,11.25,1.442
MNQ,1015,10,15,ALL,G4+,ASIA-ONLY,"Tokyo open, US/EU asleep",387.7,502,0.3049,0.4382,153.05,11.5,1.417
MNQ,1015,10,15,ALL,G8+,ASIA-ONLY,"Tokyo open, US/EU asleep",387.7,366,0.3307,0.4481,121.05,14.0,1.431
MNQ,1030,10,30,ALL,ALL_BREAKS,ASIA-ONLY,"Tokyo open, US/EU asleep",346.1,516,0.0985,0.3663,50.85,10.5,1.242
MNQ,1030,10,30,ALL,G4+,ASIA-ONLY,"Tokyo open, US/EU asleep",346.1,492,0.0973,0.3659,47.85,10.75,1.247
MNQ,1030,10,30,ALL,G8+,ASIA-ONLY,"Tokyo open, US/EU asleep",346.1,332,0.1471,0.3825,48.85,13.5,1.294
MNQ,1045,10,45,ALL,ALL_BREAKS,ASIA-ONLY,"Tokyo open, US/EU asleep",320.7,515,0.1395,0.3786,71.86,9.5,1.256
MNQ,1045,10,45,ALL,G4+,ASIA-ONLY,"Tokyo open, US/EU asleep",320.7,479,0.1187,0.3716,56.86,10.0,1.225
MNQ,1045,10,45,ALL,G8+,ASIA-ONLY,"Tokyo open, US/EU asleep",320.7,314,0.1906,0.3949,59.86,13.5,1.405
MNQ,1100,11,0,ALL,ALL_BREAKS,ASIA-ONLY,"Singapore/HK, US/EU asleep",408.4,516,0.1667,0.3934,85.99,10.75,1.197
MNQ,1100,11,0,ALL,G4+,ASIA-ONLY,"Singapore/HK, US/EU asleep",408.4,501,0.1776,0.3972,88.99,11.0,1.246
MNQ,1100,11,0,ALL,G8+,ASIA-ONLY,"Singapore/HK, US/EU asleep",408.4,369,0.1924,0.4038,70.99,13.75,1.375
MNQ,1115,11,15,ALL,ALL_BREAKS,ASIA-ONLY,"Singapore/HK, US/EU asleep",334.7,516,0.1129,0.3721,58.25,9.88,1.16
MNQ,1115,11,15,ALL,G4+,ASIA-ONLY,"Singapore/HK, US/EU asleep",334.7,493,0.11,0.3712,54.25,10.25,1.185
MNQ,1115,11,15,ALL,G8+,ASIA-ONLY,"Singapore/HK, US/EU asleep",334.7,332,0.061,0.3554,20.25,13.0,1.154
MNQ,1130,11,30,ALL,ALL_BREAKS,ASIA-ONLY,"Singapore/HK, US/EU asleep",376.2,516,0.1218,0.374,62.83,10.25,1.214
MNQ,1130,11,30,ALL,G4+,ASIA-ONLY,"Singapore/HK, US/EU asleep",376.2,504,0.1247,0.375,62.83,10.38,1.214
MNQ,1130,11,30,ALL,G8+,ASIA-ONLY,"Singapore/HK, US/EU asleep",376.2,354,0.0334,0.3446,11.83,13.12,1.058
MNQ,1145,11,45,ALL,ALL_BREAKS,ASIA-ONLY,"Singapore/HK, US/EU asleep",297.5,516,0.0916,0.3643,47.25,9.0,1.221
MNQ,1145,11,45,ALL,G4+,ASIA-ONLY,"Singapore/HK, US/EU asleep",297.5,490,0.0821,0.3612,40.25,9.25,1.211
MNQ,1145,11,45,ALL,G8+,ASIA-ONLY,"Singapore/HK, US/EU asleep",297.5,306,0.0956,0.366,29.25,12.25,1.287
MNQ,1200,12,0,ALL,ALL_BREAKS,ASIA-ONLY,Asia mid-session,315.2,516,0.1726,0.3915,89.04,9.25,1.168
MNQ,1200,12,0,ALL,G4+,ASIA-ONLY,Asia mid-session,315.2,493,0.1847,0.3955,91.04,9.5,1.179
MNQ,1200,12,0,ALL,G8+,ASIA-ONLY,Asia mid-session,315.2,306,0.1047,0.3693,32.04,13.25,1.128
MNQ,1215,12,15,ALL,ALL_BREAKS,ASIA-ONLY,Asia mid-session,268.3,516,0.1419,0.3818,73.2,8.25,1.109
MNQ,1215,12,15,ALL,G4+,ASIA-ONLY,Asia mid-session,268.3,476,0.1307,0.3782,62.2,8.75,1.109
