entry_model,confirm_bars,rr_target,n,n_on,avg_on,avg_off,uplift
E0,5,3.0,4208.0,3965.0,-0.0976493820933165,-0.31456049382716045,0.21691111173384395
E0,2,4.0,15695.0,14753.0,-0.16057777401206536,-0.3573752653927813,0.19679749138071595
E0,5,2.5,4269.0,4023.0,-0.08732816306239126,-0.28050243902439026,0.193174275961999
E0,2,3.0,16141.0,15185.0,-0.11405893974316761,-0.28377322175732217,0.16971428201415456
E0,5,4.0,4095.0,3853.0,-0.15991520892810795,-0.3254082644628099,0.16549305553470195
E0,3,3.0,8510.0,8055.0,-0.13054094351334578,-0.29486153846153845,0.16432059494819268
E0,5,2.0,4335.0,4085.0,-0.08928753977968176,-0.24509399999999998,0.15580646022031822
E0,5,1.5,4411.0,4158.0,-0.07802479557479558,-0.23374110671936754,0.15571631114457196
E0,4,3.0,5718.0,5384.0,-0.13778042347696878,-0.2931308383233533,0.1553504148463845
E0,3,2.5,8666.0,8207.0,-0.10166223955160231,-0.2545130718954248,0.15285083234382252
E0,3,2.0,8846.0,8377.0,-0.08837773665990212,-0.23734264392324098,0.14896490726333886
E0,2,2.5,16433.0,15462.0,-0.08689911395679731,-0.23335314109165806,0.14645402713486075
E0,3,4.0,8280.0,7831.0,-0.18684867832971525,-0.33058396436525617,0.14373528603554092
E0,2,2.0,16734.0,15741.0,-0.07400904008639858,-0.21458640483383684,0.14057736474743826
E0,1,2.0,48487.0,46329.0,-0.10127746767683309,-0.2348132993512512,0.13353583167441813
E0,4,4.0,5566.0,5237.0,-0.18486585831582966,-0.31376838905775073,0.12890253074192107
E0,1,3.0,46916.0,44821.0,-0.13902401552843535,-0.26652315035799523,0.12749913482955988
E0,1,4.0,45673.0,43615.0,-0.18550812564484698,-0.30973323615160353,0.12422511050675655
E0,1,2.5,47645.0,45527.0,-0.11838259274716102,-0.2418658168083097,0.12348322406114869
E0,2,1.5,17053.0,16043.0,-0.07263817864489185,-0.19537485148514852,0.12273667284025667
