cell_id,lane,orb_label,orb_minutes,rr_target,base_filter,variant,n_base_is,expr_base_is,t_base_is,n_base_oos,expr_base_oos,n_variant_is,expr_variant_is,t_variant_is,p_variant_is,sd_variant_is,wr_variant_is,n_variant_oos,expr_variant_oos,t_variant_oos,p_variant_oos,dir_match_oos,marginal_delta_expr,marginal_delta_wr,expr_base_nonfire,n_base_nonfire,fire_rate_variant_on_base,fire_rate_raw,t0_corr_base_variant,c8_ratio,era_pass,era_breaches,yearly,gates_passed,all_gates_passed
1,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_ORB_G5,EUROPE_FLOW,5,1.5,ORB_G5,ovn_only,1583,0.0642586228679722,2.2759057746047904,72,0.29275138888888885,535,0.17757252336448598,3.5387998616542506,0.0004369996814002075,1.1606376527517939,0.508411214953271,66,0.37503333333333333,2.6398796452423055,0.010372322079509333,True,0.11331390049651378,0.03399554849717501,0.0064123091603053425,1048,0.3379658875552748,0.3137369033760186,0.17880540961516744,2.1120009234961348,True,[],"{""2019"": {""n"": 6, ""expr"": 0.4506, ""t"": 0.98, ""wr"": 0.6667}, ""2020"": {""n"": 101, ""expr"": 0.0469, ""t"": 0.41, ""wr"": 0.4554}, ""2021"": {""n"": 67, ""expr"": 0.2305, ""t"": 1.64, ""wr"": 0.5373}, ""2022"": {""n"": 121, ""expr"": 0.1659, ""t"": 1.54, ""wr"": 0.4959}, ""2023"": {""n"": 20, ""expr"": 0.3481, ""t"": 1.38, ""wr"": 0.6}, ""2024"": {""n"": 74, ""expr"": 0.2238, ""t"": 1.65, ""wr"": 0.527}, ""2025"": {""n"": 146, ""expr"": 0.1954, ""t"": 2.02, ""wr"": 0.5137}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""pass"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",True
2,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_ORB_G5,EUROPE_FLOW,5,1.5,ORB_G5,xmes_only,1583,0.0642586228679722,2.2759057746047904,72,0.29275138888888885,712,0.0434622191011236,1.0185841939918283,0.308746876860734,1.1385574803712257,0.45786516853932585,45,0.40730444444444447,2.3491689680431724,0.023369597031972722,True,-0.020796403766848597,-0.016550497916770157,0.08125866819747415,871,0.4497789008212255,0.42374854481955765,0.18038214768369393,9.371459922393026,True,[],"{""2019"": {""n"": 26, ""expr"": 0.4867, ""t"": 2.44, ""wr"": 0.6923}, ""2020"": {""n"": 142, ""expr"": -0.0503, ""t"": -0.54, ""wr"": 0.4225}, ""2021"": {""n"": 60, ""expr"": -0.0901, ""t"": -0.62, ""wr"": 0.4}, ""2022"": {""n"": 155, ""expr"": 0.1, ""t"": 1.06, ""wr"": 0.471}, ""2023"": {""n"": 31, ""expr"": 0.0706, ""t"": 0.35, ""wr"": 0.4839}, ""2024"": {""n"": 160, ""expr"": 0.0081, ""t"": 0.09, ""wr"": 0.4437}, ""2025"": {""n"": 138, ""expr"": 0.0859, ""t"": 0.87, ""wr"": 0.471}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""fail"", ""bh_fdr_primary"": ""fail"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",False
3,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_ORB_G5,EUROPE_FLOW,5,1.5,ORB_G5,ovn_or_xmes,1583,0.0642586228679722,2.2759057746047904,72,0.29275138888888885,882,0.06575668934240364,1.7112473326001354,0.08738745376341917,1.1411991723096748,0.4671201814058957,67,0.35451044776119406,2.5067003984691647,0.014657254615466853,True,0.0014980664744314448,-0.007295485050200334,0.06237375178316691,701,0.5571699305116866,0.5238649592549476,0.22835361401086018,5.3912453821270105,True,[],"{""2019"": {""n"": 27, ""expr"": 0.5103, ""t"": 2.64, ""wr"": 0.7037}, ""2020"": {""n"": 168, ""expr"": -0.0606, ""t"": -0.7, ""wr"": 0.4167}, ""2021"": {""n"": 96, ""expr"": 0.0173, ""t"": 0.15, ""wr"": 0.4479}, ""2022"": {""n"": 177, ""expr"": 0.1341, ""t"": 1.52, ""wr"": 0.4859}, ""2023"": {""n"": 51, ""expr"": 0.1794, ""t"": 1.14, ""wr"": 0.5294}, ""2024"": {""n"": 176, ""expr"": -0.0057, ""t"": -0.07, ""wr"": 0.4375}, ""2025"": {""n"": 187, ""expr"": 0.1115, ""t"": 1.32, ""wr"": 0.4813}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""fail"", ""bh_fdr_primary"": ""fail"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",False
4,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P50_O15,SINGAPORE_OPEN,15,1.5,ATR_P50,xmes_only,913,0.11299967141292444,2.9643830062549625,54,0.061716666666666684,706,0.14244362606232294,3.2677062214156645,0.0011367984796499808,1.1582501527455984,0.4943342776203966,45,-0.14745333333333333,-0.8519570187540895,0.3988513887612437,False,0.0294439546493985,0.010215986273189592,0.012577294685990349,207,0.7732749178532311,0.4246655031995346,0.7506254417205352,-1.0351697538843787,True,[],"{""2019"": {""n"": 32, ""expr"": 0.3104, ""t"": 1.59, ""wr"": 0.5938}, ""2020"": {""n"": 149, ""expr"": 0.0907, ""t"": 0.95, ""wr"": 0.4698}, ""2021"": {""n"": 59, ""expr"": 0.1415, ""t"": 0.93, ""wr"": 0.4915}, ""2022"": {""n"": 137, ""expr"": 0.2008, ""t"": 2.02, ""wr"": 0.5182}, ""2023"": {""n"": 32, ""expr"": -0.1729, ""t"": -0.9, ""wr"": 0.375}, ""2024"": {""n"": 162, ""expr"": 0.1433, ""t"": 1.59, ""wr"": 0.5}, ""2025"": {""n"": 135, ""expr"": 0.1746, ""t"": 1.71, ""wr"": 0.4963}}","{""t0_not_tautology"": ""fail"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""pass"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""fail"", ""c8_ratio"": ""fail"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",False
5,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_G5,COMEX_SETTLE,5,1.5,ORB_G5,ovn_only,1555,0.0915082958199357,3.146954410616238,66,0.005759090909090897,517,0.2099419729206963,4.067565216300525,5.493714347570844e-05,1.1735727611096725,0.5164410058027079,60,0.10633499999999999,0.6900813958154367,0.4928486664402236,True,0.1184336771007606,0.039913674612997274,0.03251965317919076,1038,0.33247588424437297,0.31784841075794623,0.13763900900108098,0.5064970978441128,True,[],"{""2019"": {""n"": 6, ""expr"": -0.6321, ""t"": -1.72, ""wr"": 0.1667}, ""2020"": {""n"": 100, ""expr"": 0.2719, ""t"": 2.35, ""wr"": 0.55}, ""2021"": {""n"": 62, ""expr"": 0.2203, ""t"": 1.5, ""wr"": 0.5323}, ""2022"": {""n"": 116, ""expr"": 0.0051, ""t"": 0.05, ""wr"": 0.4224}, ""2023"": {""n"": 20, ""expr"": -0.082, ""t"": -0.32, ""wr"": 0.4}, ""2024"": {""n"": 70, ""expr"": 0.3048, ""t"": 2.18, ""wr"": 0.5571}, ""2025"": {""n"": 143, ""expr"": 0.358, ""t"": 3.64, ""wr"": 0.5734}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""pass"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",True
6,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_G5,COMEX_SETTLE,5,1.5,ORB_G5,xmes_only,1555,0.0915082958199357,3.146954410616238,66,0.005759090909090897,682,0.15915395894428153,3.566652774469018,0.00038689979174377775,1.165329664873016,0.49853372434017595,40,0.19176499999999996,1.004089631272315,0.32152490303279935,True,0.06764566312434582,0.02200639315046532,0.03866254295532645,873,0.43858520900321546,0.4248166259168704,0.12204163639170583,1.2049024810443785,True,[],"{""2019"": {""n"": 23, ""expr"": -0.0579, ""t"": -0.25, ""wr"": 0.4348}, ""2020"": {""n"": 138, ""expr"": 0.0911, ""t"": 0.93, ""wr"": 0.4783}, ""2021"": {""n"": 57, ""expr"": 0.3303, ""t"": 2.17, ""wr"": 0.5789}, ""2022"": {""n"": 150, ""expr"": 0.0569, ""t"": 0.59, ""wr"": 0.4467}, ""2023"": {""n"": 32, ""expr"": 0.0934, ""t"": 0.45, ""wr"": 0.4688}, ""2024"": {""n"": 149, ""expr"": 0.1619, ""t"": 1.7, ""wr"": 0.5034}, ""2025"": {""n"": 133, ""expr"": 0.3221, ""t"": 3.13, ""wr"": 0.5564}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""pass"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",True
7,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_G5,COMEX_SETTLE,5,1.5,ORB_G5,ovn_or_xmes,1555,0.0915082958199357,3.146954410616238,66,0.005759090909090897,844,0.15241836492890995,3.806485307111948,0.00015115919891162122,1.1632802746019497,0.49644549763033174,61,0.08819836065573772,0.5778768969287491,0.5655097721712767,True,0.060910069108974244,0.01991816644062111,0.01920436005625878,711,0.5427652733118971,0.5250611246943765,0.1553366524982478,0.578659669370385,True,[],"{""2019"": {""n"": 25, ""expr"": -0.045, ""t"": -0.2, ""wr"": 0.44}, ""2020"": {""n"": 162, ""expr"": 0.1426, ""t"": 1.58, ""wr"": 0.5}, ""2021"": {""n"": 90, ""expr"": 0.1662, ""t"": 1.37, ""wr"": 0.5111}, ""2022"": {""n"": 172, ""expr"": 0.0311, ""t"": 0.35, ""wr"": 0.436}, ""2023"": {""n"": 52, ""expr"": 0.0259, ""t"": 0.16, ""wr"": 0.4423}, ""2024"": {""n"": 164, ""expr"": 0.1684, ""t"": 1.86, ""wr"": 0.5061}, ""2025"": {""n"": 179, ""expr"": 0.3206, ""t"": 3.64, ""wr"": 0.5587}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""pass"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",True
8,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_G5,COMEX_SETTLE,5,1.5,ORB_G5,london_range_only,1555,0.0915082958199357,3.146954410616238,66,0.005759090909090897,660,0.1536780303030303,3.373946210768444,0.0007844097306548559,1.1701609439849192,0.49393939393939396,58,0.06098103448275862,0.39086129363145844,0.6973568982498692,True,0.06216973448309458,0.01741206274968332,0.04566245810055865,895,0.42443729903536975,0.4034229828850856,0.18768275580266067,0.3968103597014685,True,[],"{""2019"": {""n"": 8, ""expr"": -0.1709, ""t"": -0.42, ""wr"": 0.375}, ""2020"": {""n"": 93, ""expr"": 0.1773, ""t"": 1.46, ""wr"": 0.5054}, ""2021"": {""n"": 68, ""expr"": 0.2446, ""t"": 1.75, ""wr"": 0.5441}, ""2022"": {""n"": 157, ""expr"": -0.0221, ""t"": -0.24, ""wr"": 0.414}, ""2023"": {""n"": 70, ""expr"": 0.026, ""t"": 0.19, ""wr"": 0.4429}, ""2024"": {""n"": 113, ""expr"": 0.2847, ""t"": 2.63, ""wr"": 0.5575}, ""2025"": {""n"": 151, ""expr"": 0.2593, ""t"": 2.68, ""wr"": 0.5298}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""pass"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""pass"", ""c8_ratio"": ""fail"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",False
9,MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT12,NYSE_OPEN,5,1.0,COST_LT12,ovn_only,1669,0.08204955062911924,3.498023956190983,71,0.13603098591549292,535,0.06701102803738318,1.5966107542102757,0.11094407433055986,0.9707873788210036,0.5476635514018692,65,0.08983076923076924,0.7346629624544873,0.4652281850015707,True,-0.015038522591736062,-0.013151307795254863,0.08914444444444446,1134,0.32055122828040744,0.31600708800945065,0.08150796754091556,1.3405371005598616,True,[],"{""2019"": {""n"": 7, ""expr"": 0.3265, ""t"": 0.95, ""wr"": 0.7143}, ""2020"": {""n"": 102, ""expr"": 0.0826, ""t"": 0.86, ""wr"": 0.5588}, ""2021"": {""n"": 66, ""expr"": -0.0556, ""t"": -0.46, ""wr"": 0.4848}, ""2022"": {""n"": 121, ""expr"": -0.0316, ""t"": -0.35, ""wr"": 0.4959}, ""2023"": {""n"": 20, ""expr"": -0.2248, ""t"": -1.03, ""wr"": 0.4}, ""2024"": {""n"": 74, ""expr"": 0.2119, ""t"": 1.91, ""wr"": 0.6216}, ""2025"": {""n"": 145, ""expr"": 0.1479, ""t"": 1.84, ""wr"": 0.5862}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""fail"", ""bh_fdr_primary"": ""fail"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",False
10,MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT12,NYSE_OPEN,5,1.0,COST_LT12,xmes_only,1669,0.08204955062911924,3.498023956190983,71,0.13603098591549292,717,0.11801659693165968,3.291293824385381,0.0010461846244702588,0.9601431996843672,0.5760111576011158,44,0.2525363636363637,1.7488782033130723,0.08744792110289135,True,0.03596704630254044,0.015196298403991726,0.0549609243697479,952,0.42959856201318153,0.4258712344949793,0.06286027786389872,2.1398377025106132,True,[],"{""2019"": {""n"": 32, ""expr"": -0.3041, ""t"": -1.88, ""wr"": 0.375}, ""2020"": {""n"": 143, ""expr"": 0.0383, ""t"": 0.47, ""wr"": 0.5385}, ""2021"": {""n"": 58, ""expr"": 0.1393, ""t"": 1.1, ""wr"": 0.5862}, ""2022"": {""n"": 155, ""expr"": 0.1087, ""t"": 1.39, ""wr"": 0.5677}, ""2023"": {""n"": 32, ""expr"": 0.0265, ""t"": 0.15, ""wr"": 0.5312}, ""2024"": {""n"": 161, ""expr"": 0.2639, ""t"": 3.62, ""wr"": 0.6522}, ""2025"": {""n"": 136, ""expr"": 0.1516, ""t"": 1.83, ""wr"": 0.5882}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""pass"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",True
11,MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT12,NYSE_OPEN,5,1.0,COST_LT12,ovn_or_xmes,1669,0.08204955062911924,3.498023956190983,71,0.13603098591549292,887,0.08793438556933485,2.715271173055534,0.006750996131793752,0.9645113316572828,0.560315670800451,66,0.10318030303030307,0.8517044308935414,0.3975052360440865,True,0.005884834940215605,-0.000499188396673067,0.07537455242966754,782,0.5314559616536848,0.5262847017129356,0.08636739848249946,1.1733783361566457,False,"[{""era"": ""2023"", ""n"": 52, ""expr"": -0.0701346153846154}]","{""2019"": {""n"": 34, ""expr"": -0.2892, ""t"": -1.84, ""wr"": 0.3824}, ""2020"": {""n"": 169, ""expr"": 0.05, ""t"": 0.67, ""wr"": 0.5444}, ""2021"": {""n"": 94, ""expr"": 0.0344, ""t"": 0.34, ""wr"": 0.5319}, ""2022"": {""n"": 177, ""expr"": 0.081, ""t"": 1.11, ""wr"": 0.5537}, ""2023"": {""n"": 52, ""expr"": -0.0701, ""t"": -0.52, ""wr"": 0.4808}, ""2024"": {""n"": 177, ""expr"": 0.2376, ""t"": 3.38, ""wr"": 0.6384}, ""2025"": {""n"": 184, ""expr"": 0.1272, ""t"": 1.78, ""wr"": 0.5761}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""fail"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""fail"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",False
12,MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT12,NYSE_OPEN,5,1.0,COST_LT12,london_range_only,1669,0.08204955062911924,3.498023956190983,71,0.13603098591549292,673,0.08785705794947994,2.3552923834604402,0.018794626824276017,0.9676969238414292,0.5586924219910847,62,0.11212903225806452,0.8965426266379334,0.37348766064156713,True,0.0058075073203607,-0.0021224372060393293,0.07812540160642571,996,0.40323547034152185,0.39751919669226227,0.0974058182030238,1.2762666412360586,True,[],"{""2019"": {""n"": 8, ""expr"": 0.177, ""t"": 0.51, ""wr"": 0.625}, ""2020"": {""n"": 94, ""expr"": 0.0121, ""t"": 0.12, ""wr"": 0.5213}, ""2021"": {""n"": 72, ""expr"": 0.1328, ""t"": 1.17, ""wr"": 0.5833}, ""2022"": {""n"": 159, ""expr"": 0.0082, ""t"": 0.11, ""wr"": 0.5157}, ""2023"": {""n"": 70, ""expr"": 0.0198, ""t"": 0.17, ""wr"": 0.5286}, ""2024"": {""n"": 116, ""expr"": 0.1564, ""t"": 1.76, ""wr"": 0.5948}, ""2025"": {""n"": 154, ""expr"": 0.17, ""t"": 2.19, ""wr"": 0.5974}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""fail"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",False
13,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT12,TOKYO_OPEN,5,1.5,COST_LT12,xmes_only,950,0.12217399999999999,3.2679762563319246,70,0.15303000000000003,516,0.17628546511627907,3.4516175046894815,0.0006030485543564446,1.1601621532304556,0.5077519379844961,45,0.11429555555555558,0.6362423785632618,0.5279144586165878,True,0.05411146511627908,0.020383516931864576,0.057838709677419345,434,0.5431578947368421,0.4250871080139373,0.2649449333767881,0.6483549592711201,True,[],"{""2019"": {""n"": 9, ""expr"": 0.2599, ""t"": 0.65, ""wr"": 0.5556}, ""2020"": {""n"": 108, ""expr"": 0.3071, ""t"": 2.77, ""wr"": 0.5648}, ""2021"": {""n"": 46, ""expr"": 0.1863, ""t"": 1.1, ""wr"": 0.5217}, ""2022"": {""n"": 129, ""expr"": 0.1718, ""t"": 1.67, ""wr"": 0.5039}, ""2023"": {""n"": 8, ""expr"": -0.1322, ""t"": -0.31, ""wr"": 0.375}, ""2024"": {""n"": 92, ""expr"": 0.1534, ""t"": 1.27, ""wr"": 0.5}, ""2025"": {""n"": 124, ""expr"": 0.0941, ""t"": 0.89, ""wr"": 0.4677}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""pass"", ""bh_fdr_primary"": ""pass"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",True
14,MNQ_US_DATA_1000_E2_RR1.5_CB1_ORB_G5_O15,US_DATA_1000,15,1.5,ORB_G5,ovn_only,1491,0.10550167672702884,3.38896141182111,55,0.16088,484,0.09885826446280993,1.7896312162364096,0.07413957935315718,1.2152681504715759,0.45041322314049587,52,0.22785384615384618,1.3251704108810756,0.19102109830072656,True,-0.006643412264218912,-0.0083392919500474,0.10869473684210525,1007,0.32461435278336687,0.3237458193979933,0.03583754711911507,2.3048537964123765,True,[],"{""2019"": {""n"": 6, ""expr"": -0.2015, ""t"": -0.4, ""wr"": 0.3333}, ""2020"": {""n"": 101, ""expr"": 0.1753, ""t"": 1.45, ""wr"": 0.4851}, ""2021"": {""n"": 61, ""expr"": 0.1586, ""t"": 1.01, ""wr"": 0.4754}, ""2022"": {""n"": 111, ""expr"": 0.2335, ""t"": 2.0, ""wr"": 0.5045}, ""2023"": {""n"": 15, ""expr"": -0.1896, ""t"": -0.62, ""wr"": 0.3333}, ""2024"": {""n"": 61, ""expr"": 0.3249, ""t"": 2.06, ""wr"": 0.541}, ""2025"": {""n"": 129, ""expr"": -0.1645, ""t"": -1.6, ""wr"": 0.3411}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""fail"", ""bh_fdr_primary"": ""fail"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",False
15,MNQ_US_DATA_1000_E2_RR1.5_CB1_ORB_G5_O15,US_DATA_1000,15,1.5,ORB_G5,xmes_only,1491,0.10550167672702884,3.38896141182111,55,0.16088,644,0.07432422360248447,1.5623308370408253,0.11870207952990364,1.2072586061222184,0.44254658385093165,36,0.23068055555555558,1.108887415407604,0.27504041063633755,True,-0.03117745312454437,-0.016205931239611615,0.12920684769775678,847,0.431924882629108,0.4307692307692308,0.045057732003484265,3.1037062262409494,True,[],"{""2019"": {""n"": 28, ""expr"": 0.1705, ""t"": 0.76, ""wr"": 0.5}, ""2020"": {""n"": 139, ""expr"": 0.1577, ""t"": 1.54, ""wr"": 0.482}, ""2021"": {""n"": 54, ""expr"": -0.1, ""t"": -0.62, ""wr"": 0.3704}, ""2022"": {""n"": 143, ""expr"": 0.1136, ""t"": 1.11, ""wr"": 0.4545}, ""2023"": {""n"": 27, ""expr"": -0.0139, ""t"": -0.06, ""wr"": 0.4074}, ""2024"": {""n"": 132, ""expr"": 0.1257, ""t"": 1.18, ""wr"": 0.4621}, ""2025"": {""n"": 121, ""expr"": -0.0487, ""t"": -0.45, ""wr"": 0.3884}}","{""t0_not_tautology"": ""pass"", ""fire_rate_band"": ""pass"", ""not_arithmetic_only"": ""pass"", ""chordia_t_ge_3"": ""fail"", ""bh_fdr_primary"": ""fail"", ""dir_match"": ""pass"", ""c8_ratio"": ""pass"", ""era_stable"": ""pass"", ""t4_sensitivity"": ""pending"", ""t6_null_bootstrap"": ""pending""}",False
