instrument,bris_h,bris_m,time,us_winter_days,us_winter_vol_mean,us_summer_days,us_summer_vol_mean,us_summer_winter_ratio,uk_winter_days,uk_winter_vol_mean,uk_summer_days,uk_summer_vol_mean,uk_summer_winter_ratio,edge_n_trades,edge_avg_r,edge_n_winter,edge_avg_r_winter,edge_n_summer,edge_avg_r_summer,session
MGC,0,0,00:00,892,5235.1,1690,8412.6,1.607,1060,5663.5,1522,8465.0,1.495,70,0.0022,32,-0.2215,38,0.1906,
MGC,0,15,00:15,892,4493.9,1689,5947.7,1.324,1060,4721.9,1521,5949.3,1.260,47,0.1155,21,-0.2857,26,0.4395,
MGC,0,30,00:30,892,7279.7,1689,5637.4,0.774,1060,7022.8,1521,5635.1,0.802,49,0.1590,24,0.0000,25,0.3116,0030 (NYSE winter)
MGC,0,45,00:45,892,6418.8,1689,5206.2,0.811,1060,6219.0,1521,5211.5,0.838,52,0.0962,19,0.1053,33,0.0909,
MGC,1,0,01:00,892,8034.5,1689,5039.3,0.627,1060,7671.7,1521,4961.4,0.647,68,0.3381,24,0.5412,44,0.2273,
MGC,1,15,01:15,892,5669.7,1689,4328.7,0.763,1060,5461.2,1521,4325.9,0.792,62,0.3376,28,0.1786,34,0.4686,
MGC,1,30,01:30,892,5331.9,1689,3881.8,0.728,1060,5160.7,1521,3840.9,0.744,160,0.2169,71,0.0551,89,0.3460,
MGC,1,45,01:45,892,4653.6,1689,3304.8,0.710,1060,4522.1,1521,3247.5,0.718,99,0.1119,44,0.1591,55,0.0741,
MGC,2,0,02:00,892,4646.2,1689,3189.2,0.686,1060,4495.7,1521,3133.1,0.697,133,0.1169,46,0.1590,87,0.0946,
MGC,2,15,02:15,892,4041.9,1689,2776.8,0.687,1060,3933.8,1521,2712.4,0.690,107,0.3169,36,0.3333,71,0.3086,
MGC,2,30,02:30,892,3687.5,1689,2640.8,0.716,1060,3577.3,1521,2602.0,0.727,121,-0.1075,52,0.0037,69,-0.1913,
MGC,2,45,02:45,892,3136.8,1689,2535.1,0.808,1060,3086.4,1521,2503.7,0.811,91,0.2860,38,0.3718,53,0.2245,
MGC,3,0,03:00,892,3000.7,1670,2798.8,0.933,1060,3000.1,1502,2776.7,0.926,161,0.2033,47,0.1652,114,0.2190,
MGC,3,15,03:15,892,2537.2,1670,4004.3,1.578,1060,2831.1,1502,3961.0,1.399,105,0.0590,33,0.0909,72,0.0444,
MGC,3,30,03:30,892,2442.6,1670,2470.2,1.011,1060,2465.9,1502,2456.9,0.996,130,-0.0595,45,-0.0164,85,-0.0824,
MGC,3,45,03:45,892,2378.9,1670,1780.9,0.749,1060,2309.3,1502,1763.1,0.763,125,0.0616,44,-0.2322,81,0.2212,
MGC,4,0,04:00,874,2698.4,1670,2519.5,0.934,1042,2856.5,1502,2389.8,0.837,162,0.1705,75,0.0737,87,0.2539,
MGC,4,15,04:15,874,4017.4,1670,1882.4,0.469,1042,3759.0,1502,1822.8,0.485,111,0.3942,51,0.3412,60,0.4393,
MGC,4,30,04:30,874,2413.1,1655,1829.2,0.758,1042,2453.6,1487,1734.9,0.707,102,-0.1682,48,-0.1387,54,-0.1945,
MGC,4,45,04:45,861,1674.8,1655,1687.8,1.008,1029,1808.6,1487,1596.6,0.883,79,-0.0703,40,-0.0007,39,-0.1417,
MGC,5,0,05:00,861,2107.7,1655,1602.2,0.760,1029,2104.8,1487,1547.0,0.735,133,0.0584,60,0.1976,73,-0.0560,
MGC,5,15,05:15,861,1673.3,1655,1338.5,0.800,1029,1683.0,1487,1293.9,0.769,96,0.0079,46,0.1998,50,-0.1686,
MGC,5,30,05:30,848,1625.9,1655,1310.4,0.806,1016,1621.4,1487,1277.8,0.788,121,-0.0111,40,-0.2431,81,0.1034,
MGC,5,45,05:45,846,1562.1,1655,1650.9,1.057,1014,1612.2,1487,1626.8,1.009,87,0.3051,37,0.1737,50,0.4023,
MGC,6,0,06:00,846,1556.5,1655,835.3,0.537,1014,1454.2,1487,823.6,0.566,113,0.0341,49,-0.1485,64,0.1738,
MGC,6,15,06:15,846,1241.8,1655,469.5,0.378,1014,1119.0,1487,466.0,0.416,84,0.1619,31,-0.0996,53,0.3148,
MGC,6,30,06:30,846,1220.4,1655,491.5,0.403,1014,1106.4,1487,486.8,0.440,101,-0.2083,57,-0.3816,44,0.0162,
MGC,6,45,06:45,846,1606.1,1655,647.8,0.403,1014,1454.3,1487,643.0,0.442,64,0.3940,24,0.3022,40,0.4490,
MGC,7,0,07:00,846,778.1,26,6.7,0.009,846,778.1,26,6.7,0.009,107,0.2407,34,0.2297,73,0.2459,
MGC,7,15,07:15,846,395.9,0,0.0,0.000,846,395.9,0,0.0,0.000,84,0.0661,28,0.0878,56,0.0552,
MGC,7,30,07:30,847,406.2,0,0.0,0.000,847,406.2,0,0.0,0.000,105,0.0779,38,-0.1713,67,0.2193,
MGC,7,45,07:45,846,546.9,1,87.0,0.159,846,546.9,1,87.0,0.159,113,-0.0456,43,-0.1526,70,0.0201,
MGC,8,0,08:00,1,1.0,1688,974.7,974.653,169,1023.3,1520,968.6,0.947,174,0.1064,51,-0.0453,123,0.1694,CME summer
MGC,8,15,08:15,0,0.0,1688,534.9,,168,639.4,1520,523.3,0.818,185,0.0253,40,-0.0308,145,0.0408,
MGC,8,30,08:30,0,0.0,1689,473.0,,168,555.1,1521,463.9,0.836,468,0.0148,38,0.1100,430,0.0064,
MGC,8,45,08:45,0,0.0,1689,420.5,,168,478.2,1521,414.1,0.866,186,-0.0471,30,0.0286,156,-0.0617,
MGC,9,0,09:00,890,1120.0,1689,559.2,0.499,1058,1034.4,1521,556.8,0.538,439,0.0755,125,0.0485,314,0.0863,0900 (CME winter)
MGC,9,15,09:15,890,652.8,1689,495.1,0.758,1058,630.2,1521,493.4,0.783,319,-0.0252,105,0.1954,214,-0.1334,
MGC,9,30,09:30,890,688.6,1689,578.6,0.840,1058,674.7,1521,576.1,0.854,687,0.1643,274,0.1403,413,0.1802,
MGC,9,45,09:45,890,719.8,1689,712.9,0.990,1058,716.2,1521,714.6,0.998,508,0.1059,140,0.0280,368,0.1355,
MGC,10,0,10:00,892,1054.2,1690,1185.4,1.125,1060,1052.1,1522,1201.4,1.142,612,0.0935,127,0.1499,485,0.0787,1000 (Tokyo)
MGC,10,15,10:15,892,893.3,1690,1009.1,1.130,1060,898.1,1522,1018.6,1.134,385,0.0829,112,0.1598,273,0.0513,
