symbol,time,dst_type,winter_n,winter_mean,winter_median,summer_n,summer_mean,summer_median,ratio,post_winter,post_summer,post_ratio
MGC,0030,US,892,2646.5840807174886,2199.5,1689,1997.3469508584963,1619,1.3250497514114603,444.69030269058237,326.97548845470686,1.3600111274156916
MGC,0830,US,0,,,1688,172.92417061611374,100.0,,,32.76272709320689,
MGC,0900,US,890,584.6932584269663,364.5,1689,212.21669626998224,125,2.755170864045113,43.27516853932583,35.559048746793,1.2169945503176243
MGC,0930,US,890,229.95168539325843,139.0,1689,190.12374185908823,116,1.2094843239709063,19.641029962546824,18.356690349319074,1.0699657502952535
MGC,1000,NONE,2582,417.13787761425255,315.0,,,,,79.64133100955331,,
MGC,1045,NONE,2581,310.03487020534675,208,,,,,114.77057342115477,,
MGC,1100,NONE,2581,1097.9310344827586,803,,,,,109.6339274183135,,
MGC,1700,UK,1059,689.1218130311614,551,1522,1087.6622864651774,817.0,0.6335806818040521,123.38685867170281,146.81122426631634,0.8404456763324744
MGC,1800,UK,1059,1038.426817752597,806,1522,792.9862023653088,606.0,1.3095143580748203,143.49962228517467,122.61735654840093,1.170304321709389
MGC,1900,UK,1059,730.6487252124646,555,1522,630.5065703022339,477.0,1.1588280909780646,116.29003777148239,112.44057161629422,1.034235561949334
MGC,2300,US,891,1436.2491582491582,1167,1690,2526.710650887574,2021.0,0.5684264471456744,360.49218106995846,446.0888560157795,0.8081174326784948
MNQ,0030,US,177,41619.78531073446,40510,338,20701.470414201183,19798.5,2.0104748347819457,5375.6204331450135,3158.9862426035506,1.7016916251951046
MNQ,0830,US,0,,,338,1428.2189349112425,1056.5,,,249.42174556213018,
MNQ,0900,US,178,4105.29213483146,3118.5,338,1598.2810650887575,1204.5,2.5685670840400534,307.57883895131084,231.90991124260356,1.3262858724030522
MNQ,0930,US,178,1772.9044943820224,1333.5,338,1349.1479289940828,929.5,1.3140919956078427,123.15187265917609,101.70734714003939,1.2108453924140805
MNQ,1000,NONE,516,2535.1162790697676,2066.0,,,,,342.23546511627916,,
MNQ,1045,NONE,516,1603.4127906976744,1187.5,,,,,331.19140826873377,,
MNQ,1100,NONE,516,2041.906976744186,1450.0,,,,,319.273966408269,,
MNQ,1700,UK,216,2124.3981481481483,1847.5,299,3089.598662207358,2487,0.6875967982943053,340.31990740740736,447.7377369007804,0.7600876123667524
MNQ,1800,UK,216,3422.2268518518517,3168.0,299,3187.665551839465,2732,1.073584037032063,468.92376543209866,377.4858416945371,1.242228750427025
MNQ,1900,UK,216,3074.953703703704,2684.0,299,1902.732441471572,1524,1.616072568419308,396.01921296296274,301.04559643255277,1.3154791754334403
MNQ,2300,US,177,3344.2203389830506,2777,338,5505.860946745562,4351.5,0.6073928076515941,948.3991525423731,3652.5541913214975,0.25965368420700735
MES,0030,US,178,25192.8202247191,23562.0,338,14979.612426035503,13372.5,1.68180721291109,3518.939138576779,2329.3811637080858,1.5106755362334365
MES,0830,US,0,,,338,951.7692307692307,598.5,,,156.41385601577912,
MES,0900,US,178,2877.9157303370785,2134.0,338,1021.5798816568048,694.0,2.8171225589032316,188.13773408239703,137.78071992110452,1.3654866529230487
MES,0930,US,178,1095.1348314606741,753.0,338,798.9112426035502,503.0,1.3707841034903563,70.13258426966293,59.24383629191324,1.1837954572033007
MES,1000,NONE,517,1544.257253384913,1185,,,,,189.61321727917453,,
MES,1045,NONE,517,839.2224371373308,569,,,,,179.90132172791758,,
MES,1100,NONE,517,1146.787234042553,743,,,,,170.93439716312045,,
MES,1700,UK,217,1000.2903225806451,813,299,1951.2240802675585,1450,0.512647590144276,172.40629800307215,254.5907469342252,0.6771899610617592
MES,1800,UK,217,2064.36866359447,1733,299,1773.6120401337794,1364,1.1639347370684061,251.30668202764957,204.25484949832773,1.230358459761843
MES,1900,UK,217,1567.8755760368663,1357,299,1061.675585284281,782,1.476793474173226,209.77473118279553,167.45746934225207,1.252704534511117
MES,2300,US,178,1921.5112359550562,1456.5,338,3645.476331360947,2724.5,0.527094695259675,551.1688202247188,2439.277120315582,0.2259558029033664
