id,test_year,n_test_on,test_avg_r,test_uplift_vs_base
A0,2023,31,0.5115774193548387,0.5871585304659498
A0,2024,23,0.5856260869565217,0.26344692028985506
A0,2025,29,0.40172068965517244,0.26283351016799295
A1,2022,114,0.018221052631578936,0.0
A1,2023,97,-0.20623608247422678,0.0
A1,2024,83,0.22972530120481927,0.0
A1,2025,104,0.2865230769230769,0.0
A2,2023,45,0.05459555555555555,0.0772226232247285
A2,2024,37,0.3148945945945946,0.18461894242068158
A2,2025,39,0.029146153846153836,-0.008497771387491006
A3,2023,41,-0.056714634146341474,0.010462288930581633
A3,2024,38,0.13971842105263155,0.0010652960526315314
A3,2025,37,0.2356351351351351,0.0012307395307395164
B1,2022,64,0.5802296875,0.37075355113636366
B1,2023,68,-0.2794926470588235,-0.07801682288299933
B1,2024,51,0.21192745098039215,0.2113910873440285
B1,2025,58,0.2905827586206897,0.16154717579860384
B2,2021,84,0.08234642857142857,0.04666404761904763
B2,2022,88,0.37813295454545454,0.2750397727272727
B2,2023,91,-0.2272725274725275,-0.04618226198580183
B2,2024,85,0.16161882352941176,0.19007187517260424
B2,2025,84,0.3302702380952381,0.20167309523809523
