symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on,n_test_off
MES,CME_CLOSE,E0,1,1.0,fast_and_q75,1503,446,55.75,0.2303533632286996,0.05670510879848629,0.1736482544302133,0.6659192825112108,0.651844843897824,4,6,0.6666666666666666,0.21564843764683012,0.056385769230769225,100,130
MES,CME_CLOSE,E0,1,1.0,size_q75_plus,1503,458,57.25,0.22995327510917027,0.05488641148325359,0.17506686362591667,0.665938864628821,0.6516746411483254,4,6,0.6666666666666666,0.21558867902382076,0.056385769230769225,100,130
MES,CME_CLOSE,E0,1,1.5,fast_and_q75,1308,351,43.875,0.2113925925925926,0.05009237199582027,0.16130022059677235,0.5242165242165242,0.5193312434691745,4,6,0.6666666666666666,0.2653966810134239,-0.1979156097560976,82,125
MES,CME_CLOSE,E0,1,1.5,size_q75_plus,1308,359,44.875,0.20960000000000004,0.04941074815595364,0.1601892518440464,0.5236768802228412,0.5194942044257113,4,6,0.6666666666666666,0.26117640761065425,-0.1979156097560976,82,125
MES,0030,E0,2,1.5,size_q75_plus,717,176,22.0,0.20690454545454548,0.01474528650646951,0.19215925894807598,0.5113636363636364,0.47504621072088726,3,5,0.6,,,0,0
MES,CME_CLOSE,E0,1,1.5,long_fast,1308,565,70.625,0.20640761061946905,0.007425168236877542,0.1989824423825915,0.5716814159292035,0.48183041722745623,5,6,0.8333333333333334,0.23849942395654658,0.09425059210526317,112,95
MES,CME_CLOSE,E0,1,2.0,long_fast,1145,496,62.0,0.19638770161290323,-0.04580123266563944,0.24218893427854266,0.47580645161290325,0.38366718027734975,6,6,1.0,,,0,0
MES,1100,E0,2,2.0,size_q75_plus,652,176,22.0,0.1905613636363637,-0.1357512605042017,0.3263126241405654,0.45454545454545453,0.42857142857142855,3,3,1.0,,,0,0
MES,1100,E0,2,2.5,size_q75_plus,651,176,22.0,0.1849539772727273,-0.15680526315789478,0.3417592404306221,0.38636363636363635,0.35789473684210527,3,3,1.0,,,0,0
MES,CME_CLOSE,E0,1,1.0,long_fast,1503,653,81.625,0.18252235834609498,0.05116211764705883,0.13136024069903615,0.6937212863705973,0.6270588235294118,5,6,0.8333333333333334,0.16878379385217984,0.0028746031746031617,126,104
MES,1100,E0,2,3.0,size_q75_plus,650,175,21.875,0.18032457142857142,-0.1802515789473684,0.3605761503759398,0.33714285714285713,0.30526315789473685,3,3,1.0,,,0,0
MES,1100,E0,2,4.0,size_q75_plus,649,174,21.75,0.17856896551724136,-0.24101999999999998,0.41958896551724134,0.27011494252873564,0.22736842105263158,3,3,1.0,,,0,0
MES,CME_CLOSE,E0,1,1.0,size_q50_plus,1503,888,111.0,0.17601486486486487,0.010363739837398378,0.16565112502746648,0.6565315315315315,0.6552845528455284,5,7,0.7142857142857143,0.18741748417058035,0.08923045337895635,167,63
MES,0030,E0,2,1.0,size_q75_plus,727,180,22.5,0.1742411111111111,0.05778446069469835,0.11645665041641275,0.6222222222222222,0.6215722120658135,4,5,0.8,,,0,0
MES,CME_CLOSE,E0,1,1.5,long_only,1308,646,80.75,0.17408018575851392,0.014624471299093639,0.15945571445942028,0.565015479876161,0.4773413897280967,6,7,0.8571428571428571,0.1875883121195351,0.07434096215401996,113,94
MES,0030,E0,2,1.5,fast_and_q75,717,159,19.875,0.17316918238993712,0.030212365591397863,0.14295681679853925,0.4968553459119497,0.48028673835125446,2,3,0.6666666666666666,,,0,0
MES,0030,E0,2,2.0,long_fast,709,281,35.125,0.17083772241992887,0.062249532710280386,0.10858818970964848,0.4412811387900356,0.4088785046728972,4,6,0.6666666666666666,,,0,0
MES,US_EQUITY_OPEN,E0,2,2.0,size_q75_plus,724,183,22.875,0.17079125683060106,0.09752107208872461,0.07327018474187645,0.4098360655737705,0.4121996303142329,1,3,0.3333333333333333,,,0,0
MES,US_EQUITY_OPEN,E0,2,2.0,long_only,724,365,45.625,0.16520493150684934,0.06605543175487465,0.09914949975197469,0.4301369863013699,0.39275766016713093,3,7,0.42857142857142855,,,0,0
M2K,CME_CLOSE,E0,1,1.0,fast_and_q75,1032,305,50.833333333333336,0.16483803278688525,0.0002932599724896843,0.16454477281439556,0.6655737704918033,0.656121045392022,3,5,0.6,0.20597260555344238,-0.002755113696456913,61,155
MES,CME_CLOSE,E0,1,2.0,long_only,1145,566,70.75,0.16367667844522968,-0.043104835924006914,0.20678151436923659,0.46996466431095407,0.37823834196891193,7,7,1.0,,,0,0
MES,US_EQUITY_OPEN,E0,2,2.0,fast_and_q75,724,167,20.875,0.16355449101796407,0.1017955116696589,0.06175897934830517,0.40718562874251496,0.4129263913824057,1,3,0.3333333333333333,,,0,0
M2K,CME_CLOSE,E0,1,1.0,size_q75_plus,1032,309,51.5,0.16121262135922332,0.0009323651452282148,0.1602802562139951,0.6634304207119741,0.656984785615491,3,5,0.6,0.19978724505946727,-0.002755113696456913,61,155
MES,US_POST_EQUITY,E0,2,2.0,long_fast,723,296,37.0,0.1607375,0.03678430913348947,0.12395319086651053,0.4391891891891892,0.40046838407494145,4,6,0.6666666666666666,,,0,0
