symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift
MES,1100,E0,2,4.0,long_q60,649,150,18.75,0.23841733333333331,-0.23882985971943888,0.4772471930527722,0.29333333333333333,0.22244488977955912,3,3,1.0,,
MES,CME_CLOSE,E0,1,1.0,long_q60,1503,303,37.875,0.22547062706270626,0.07863108333333332,0.14683954372937294,0.6732673267326733,0.6516666666666666,5,6,0.8333333333333334,0.1917311994150853,-0.005654921710466061
MES,CME_CLOSE,E0,1,1.5,long_fast30,1308,567,70.875,0.2060726631393298,0.007144399460188939,0.19892826367914085,0.5714285714285714,0.4817813765182186,5,6,0.8333333333333334,0.23821313573233227,0.09425059210526318
MES,1100,E0,2,3.0,long_q60,650,151,18.875,0.20212185430463583,-0.16950521042084168,0.3716270647254775,0.3576158940397351,0.30060120240480964,3,3,1.0,,
MES,CME_CLOSE,E0,1,2.0,long_fast30,1145,497,62.125,0.19398048289738432,-0.044328703703703703,0.23830918660108802,0.47484909456740443,0.38425925925925924,6,6,1.0,,
MES,CME_CLOSE,E0,1,1.0,fast30_and_q60,1503,644,80.5,0.19345139751552795,0.044344819557625155,0.1491065779579028,0.65527950310559,0.6565774155995343,4,6,0.6666666666666666,0.17711933272504943,0.0857295609152752
MES,CME_CLOSE,E0,1,1.0,size_q60_plus,1503,667,83.375,0.19225937031484258,0.04119366028708134,0.15106571002776126,0.6551724137931034,0.6566985645933014,5,7,0.7142857142857143,0.1814472584373555,0.067328687698628
MES,CME_CLOSE,E0,1,1.0,long_fast30,1503,655,81.875,0.18162656488549617,0.051544221698113214,0.13008234318738296,0.6931297709923664,0.6273584905660378,5,6,0.8333333333333334,0.16705207841636371,0.0028746031746031825
MES,1100,E0,2,3.0,fast30_and_q60,650,250,31.25,0.18034239999999999,-0.24787075000000003,0.42821315000000004,0.352,0.29,4,5,0.8,,
MES,US_EQUITY_OPEN,E0,2,2.0,long_fast30,724,318,39.75,0.17863679245283018,0.06701280788177341,0.11162398457105677,0.4308176100628931,0.39655172413793105,2,6,0.3333333333333333,,
MES,1100,E0,2,1.0,long_q60,652,152,19.0,0.1752111842105263,-0.1135148,0.2887259842105263,0.7039473684210527,0.624,3,3,1.0,,
MES,CME_CLOSE,E0,1,1.5,long_q60,1308,238,29.75,0.1740836134453782,0.0754255140186916,0.0986580994266866,0.5168067226890757,0.5214953271028038,2,5,0.4,0.1625859924141926,-0.11832155865657525
MES,CME_CLOSE,E0,1,1.0,fast30_and_q40,1503,981,122.625,0.17224841997961263,-0.012070498084291182,0.1843189180639038,0.6605504587155964,0.6475095785440613,4,5,0.8,0.21901018096073702,0.0235674242424242
MES,US_EQUITY_OPEN,E0,2,2.0,fast30_and_q40,724,423,52.875,0.1713808510638298,0.03827109634551494,0.13310975471831488,0.41843971631205673,0.4019933554817276,3,5,0.6,,
MES,CME_CLOSE,E0,1,1.5,fast30_and_q40,1308,823,102.875,0.1677992709599028,-0.03291051546391752,0.2007097864238203,0.528554070473876,0.5072164948453608,3,5,0.6,0.2590058838307708,-0.06136728587634716
MES,1000,E0,1,3.0,long_q60,1767,373,46.625,0.16481742627345844,-0.07223830703012912,0.23705573330358756,0.3378016085790885,0.3113342898134864,5,6,0.8333333333333334,0.20470527113555603,0.2077909320809248
MES,CME_CLOSE,E0,1,1.0,short_q60,1503,364,45.5,0.16461373626373627,0.09021553994732222,0.07439819631641405,0.6401098901098901,0.6611062335381914,3,6,0.5,0.08443944683396065,0.08595388026607538
MES,CME_CLOSE,E0,1,1.0,size_q40_plus,1503,1025,128.125,0.16106497560975613,-0.005055857740585774,0.16612083335034192,0.6546341463414634,0.6589958158995816,4,6,0.6666666666666666,0.1996242618947537,-0.005909016291506031
M2K,CME_CLOSE,E0,1,1.5,long_q60,893,193,32.166666666666664,0.16050310880829016,-0.013544714285714292,0.17404782309400446,0.5440414507772021,0.5128571428571429,4,4,1.0,0.22524214544735283,0.04799789029535867
MES,US_POST_EQUITY,E0,1,1.5,short_q60,1764,370,46.25,0.16044864864864863,0.019797058823529414,0.14065158982511922,0.4945945945945946,0.4734576757532281,5,6,0.8333333333333334,0.11867990831740832,0.28356201563142736
MES,CME_CLOSE,E0,1,1.5,size_q40_plus,1308,861,107.625,0.15669965156794427,-0.028593288590604025,0.1852929401585483,0.5238095238095238,0.5145413870246085,4,6,0.6666666666666666,0.2433972833808794,-0.09320904761904762
MES,US_EQUITY_OPEN,E0,2,2.0,fast30_and_q60,724,284,35.5,0.1564704225352113,0.08994568181818183,0.06652474071702946,0.4084507042253521,0.41363636363636364,3,5,0.6,,
MES,0030,E0,2,1.5,fast30_and_q60,717,291,36.375,0.1543718213058419,-0.0012436619718309626,0.15561548327767286,0.4948453608247423,0.4765258215962441,6,6,1.0,,
MES,US_POST_EQUITY,E0,1,2.0,short_q60,1728,361,45.125,0.15261274238227146,0.013378346744696429,0.13923439563757503,0.4099722991689751,0.3928310168251646,5,6,0.8333333333333334,0.11820347579263066,0.23247268200549448
MES,0030,E0,2,2.0,fast30_and_q60,709,286,35.75,0.1525716783216783,0.0733160756501182,0.07925560267156011,0.4125874125874126,0.42789598108747046,4,6,0.6666666666666666,,
MES,US_EQUITY_OPEN,E0,2,1.5,long_fast30,735,322,40.25,0.15190217391304348,0.01667602905569008,0.1352261448573534,0.5062111801242236,0.45278450363196127,3,6,0.5,,
MES,0030,E0,2,2.5,fast30_and_q40,690,414,51.75,0.15186908212560385,-0.005507971014492737,0.1573770531400966,0.35990338164251207,0.35144927536231885,5,5,1.0,,
MES,0030,E0,2,2.0,size_q60_plus,709,291,36.375,0.15175841924398625,0.07293421052631578,0.07882420871767047,0.41237113402061853,0.42822966507177035,4,6,0.6666666666666666,,
MES,0030,E0,2,2.0,fast30_and_q40,709,425,53.125,0.15115670588235294,0.036642957746478876,0.11451374813587406,0.4188235294117647,0.426056338028169,5,5,1.0,,
M2K,CME_CLOSE,E0,1,1.0,long_q60,1032,236,39.333333333333336,0.15079406779661017,0.01872035175879398,0.1320737160378162,0.673728813559322,0.6545226130653267,4,5,0.8,0.18078706108315748,-0.04882925831202045
MES,0030,E0,2,1.5,size_q60_plus,717,296,37.0,0.1504304054054054,-0.0003206650831353682,0.15075107048854075,0.49324324324324326,0.47743467933491684,6,6,1.0,,
MES,0030,E0,2,2.0,long_fast30,709,307,38.375,0.15008078175895764,0.07107810945273633,0.07900267230622131,0.43322475570032576,0.4129353233830846,4,6,0.6666666666666666,,
MES,1000,E0,1,4.0,long_q60,1765,371,46.375,0.14868948787061992,-0.09501241032998566,0.24370189820060556,0.2668463611859838,0.24318507890961263,5,6,0.8333333333333334,0.20845889005025364,0.2527486416184971
MES,1100,E0,2,2.5,fast30_and_q60,651,251,31.375,0.1474645418326693,-0.1973605,0.34482504183266927,0.3904382470119522,0.35,4,5,0.8,,
MES,US_EQUITY_OPEN,E0,2,2.5,long_fast30,697,305,38.125,0.1471711475409836,0.010319897959183673,0.13685124958179992,0.36065573770491804,0.32142857142857145,2,6,0.3333333333333333,,
MES,0030,E0,2,2.0,size_q40_plus,709,436,54.5,0.14710435779816514,0.03850073260073261,0.10860362519743252,0.41743119266055045,0.42857142857142855,5,5,1.0,,
MES,1000,E0,1,2.5,long_q60,1767,373,46.625,0.14681045576407506,-0.06589670014347203,0.21270715590754707,0.3806970509383378,0.3565279770444763,5,6,0.8333333333333334,0.18317792332680516,0.22088620664739883
MES,US_EQUITY_OPEN,E0,2,2.0,size_q40_plus,724,442,55.25,0.14644864253393666,0.0683808510638298,0.07806779147010687,0.4095022624434389,0.4148936170212766,2,5,0.4,,
MES,US_POST_EQUITY,E0,2,2.0,long_fast30,723,321,40.125,0.14477757009345796,0.041819900497512434,0.10295766959594552,0.43302180685358255,0.40298507462686567,4,6,0.6666666666666666,,
MES,CME_CLOSE,E0,1,1.5,size_q60_plus,1308,537,67.125,0.1439154562383613,0.05817717250324255,0.08573828373511874,0.5027932960893855,0.5330739299610895,2,6,0.3333333333333333,0.1484985664335664,-0.1298683769534927
MES,0030,E0,2,2.5,size_q40_plus,690,423,52.875,0.14243664302600473,0.0041307116104869115,0.1383059314155178,0.35697399527186763,0.35580524344569286,5,5,1.0,,
MES,CME_CLOSE,E0,1,1.5,fast30_and_q60,1308,519,64.875,0.1409369942196532,0.06209239543726235,0.07884459878239083,0.5009633911368016,0.5335868187579215,2,6,0.3333333333333333,0.13763767135712252,-0.10961328007518793
MES,CME_CLOSE,E0,1,1.0,fast_le_30,1503,1310,163.75,0.13909778625954197,-0.101260103626943,0.240357889886485,0.6641221374045801,0.6010362694300518,0,0,,0.25698609266287165,
M2K,CME_CLOSE,E0,1,1.0,size_q60_plus,1032,483,80.5,0.13859813664596268,-0.029971038251366107,0.16856917489732878,0.6645962732919255,0.6539162112932605,4,5,0.8,0.22165178764618,-0.003218574027549186
MES,1100,E0,2,2.0,fast30_and_q60,652,252,31.5,0.13782063492063493,-0.164524,0.3023446349206349,0.4523809523809524,0.425,4,5,0.8,,
MES,US_EQUITY_OPEN,E0,2,1.0,long_fast30,742,326,40.75,0.13774815950920247,0.02394447115384616,0.11380368835535631,0.6257668711656442,0.5697115384615384,4,6,0.6666666666666666,,
M2K,CME_CLOSE,E0,1,1.0,fast30_and_q60,1032,482,80.33333333333333,0.13752842323651454,-0.028727090909090893,0.16625551414560544,0.6639004149377593,0.6545454545454545,4,5,0.8,0.21870994009661837,-0.003218574027549186
MES,US_EQUITY_OPEN,E0,2,2.0,size_q60_plus,724,299,37.375,0.13603277591973245,0.10197623529411765,0.034056540625614806,0.4013377926421405,0.4188235294117647,3,5,0.6,,
MES,US_POST_EQUITY,E0,2,2.5,fast30_and_q40,708,392,49.0,0.13560739795918367,0.03837848101265822,0.09722891694652544,0.3520408163265306,0.3670886075949367,2,5,0.4,,
MES,1000,E0,2,2.5,short_q60,637,158,19.75,0.13360949367088615,-0.08387995824634656,0.2174894519172327,0.37341772151898733,0.35281837160751567,3,3,1.0,,
MES,US_POST_EQUITY,E0,2,1.5,size_q60_plus,737,288,36.0,0.1333545138888889,0.041262583518930966,0.09209193036995791,0.4826388888888889,0.5011135857461024,4,6,0.6666666666666666,,
MES,US_POST_EQUITY,E0,2,1.5,long_fast30,737,326,40.75,0.13324693251533745,0.032833333333333346,0.1004135991820041,0.5122699386503068,0.4793187347931874,4,6,0.6666666666666666,,
MES,1100,E0,2,3.0,size_q60_plus,650,290,36.25,0.1324275862068966,-0.2568519444444445,0.3892795306513411,0.33793103448275863,0.29444444444444445,4,5,0.8,,
MES,US_POST_EQUITY,E0,2,3.0,fast30_and_q40,690,378,47.25,0.13031640211640214,0.010728525641025631,0.1195878764753765,0.30687830687830686,0.3141025641025641,3,5,0.6,,
MES,US_POST_EQUITY,E0,1,2.5,short_q60,1694,351,43.875,0.13025669515669516,0.004455398361876397,0.12580129679481877,0.34472934472934474,0.3343261355174981,5,6,0.8333333333333334,0.11433095548924531,0.2152323674138874
MES,US_POST_EQUITY,E0,1,2.0,short_fast30,1728,721,90.125,0.13025353675450763,-0.020388679245283016,0.15064221599979064,0.42302357836338417,0.37735849056603776,4,6,0.6666666666666666,0.13789878813490009,0.28712381700239
MES,CME_CLOSE,E0,1,1.5,fast_le_30,1308,1136,142.0,0.13019278169014084,-0.1497779069767442,0.279970688666885,0.5308098591549296,0.45348837209302323,0,0,,0.2978733617653711,
MES,1100,E0,2,4.0,fast30_and_q60,649,249,31.125,0.12895020080321284,-0.28880525,0.41775545080321286,0.26907630522088355,0.22,4,5,0.8,,
MES,LONDON_OPEN,E0,2,1.5,fast30_and_q60,658,257,32.125,0.12862996108949418,-0.09212418952618454,0.2207541506156787,0.5058365758754864,0.4763092269326683,4,5,0.8,,
MES,1000,E0,2,2.5,fast30_and_q60,637,234,29.25,0.12780683760683761,-0.12152605459057074,0.24933289219740834,0.3717948717948718,0.34987593052109184,4,5,0.8,,
