symbol,session,rr_target,confirm_bars,n_winners,sample_class,session_max_min,t50,t80,t90,t95,t_max_obs,dead_exposure_min
MES,0030,1.0,1,1713,CORE,300,14.0,38.0,63.0,106.0,444.0,262.0
MES,0030,1.0,2,847,CORE,300,22.0,59.0,102.0,170.0,419.0,241.0
MES,0030,1.0,3,847,CORE,300,25.0,71.0,130.0,188.0,445.0,229.0
MES,0030,1.0,4,843,CORE,300,29.0,75.0,137.0,202.0,441.0,225.0
MES,0030,1.0,5,831,CORE,300,32.0,86.0,146.0,206.0,434.0,214.0
MES,0030,1.5,1,1367,CORE,300,27.0,73.0,127.0,197.0,444.0,227.0
MES,0030,1.5,2,677,CORE,300,41.0,111.0,187.0,244.0,443.0,189.0
MES,0030,1.5,3,658,CORE,300,48.0,136.0,205.0,261.0,467.0,164.0
MES,0030,1.5,4,640,CORE,300,55.0,147.0,212.0,284.0,487.0,153.0
MES,0030,1.5,5,637,CORE,300,60.0,167.0,241.0,290.0,472.0,133.0
MES,0030,2.0,1,1157,CORE,300,42.0,120.0,200.0,263.0,450.0,180.0
MES,0030,2.0,2,543,CORE,300,63.0,158.0,249.0,294.0,449.0,142.0
MES,0030,2.0,3,518,CORE,300,70.0,194.0,262.0,318.0,487.0,106.0
MES,0030,2.0,4,511,CORE,300,78.0,192.0,276.0,325.0,487.0,108.0
MES,0030,2.0,5,491,CORE,300,90.0,214.0,284.0,329.0,472.0,86.0
MES,0030,2.5,1,939,CORE,300,61.0,157.0,250.0,312.0,491.0,143.0
MES,0030,2.5,2,433,CORE,300,88.0,211.0,288.0,335.0,469.0,89.0
MES,0030,2.5,3,409,CORE,300,92.0,226.0,286.0,336.0,460.0,74.0
MES,0030,2.5,4,402,CORE,300,103.0,240.0,296.0,332.0,483.0,60.0
MES,0030,2.5,5,374,CORE,300,114.0,254.0,304.0,339.0,467.0,46.0
MES,0030,3.0,1,778,CORE,300,84.0,204.0,286.0,332.0,471.0,96.0
MES,0030,3.0,2,356,CORE,300,118.0,250.0,300.0,356.0,478.0,50.0
MES,0030,3.0,3,330,CORE,300,131.0,255.0,304.0,326.0,477.0,45.0
MES,0030,3.0,4,314,CORE,300,131.0,261.0,308.0,359.0,457.0,39.0
MES,0030,3.0,5,294,CORE,300,138.0,272.0,313.0,359.0,453.0,28.0
MES,0030,4.0,1,553,CORE,300,117.0,238.0,298.0,344.0,490.0,62.0
MES,0030,4.0,2,231,CORE,300,159.0,289.0,322.0,374.0,489.0,11.0
